観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
宮津市惣,集落内,135.2019444,35.53138889,2016/4/2,,1,,住民がクマを目撃した。,,,26205,宮津市
宮津市小田宿野,水田,135.2486111,35.56527778,2016/4/4,,1,,住民が子グマを目撃した。,,,26205,宮津市
福知山市三和町大原,路上,135.2894,35.24448056,2016/4/5,,,1,山から谷へ向けて国道を横断するクマを目撃,,,26201,福知山市
宮津市小田,路上,135.1547222,35.50722222,2016/4/6,1,,,住民がクマを目撃した。,,,26205,宮津市
綾部市新庄町,畑,135.2098028,35.35026944,2016/4/7,,1,,自宅裏畑のコンポストの中にいるのを発見,０．５ｍ,追いはらい、コンポスト撤去、自治会周知,26203,綾部市
京丹後市大宮町上常吉,その他,135.0791667,35.54527778,2016/4/9,1,,,有害の捕獲許可にクマが誤捕獲された。,オス　体重48kg　体長71.5cm,計測後放獣,26212,京丹後市
綾部市新庄町,集落内,135.2101972,35.35248611,2016/4/11,,1,,自宅から目撃。家の前を通過し山へ移動,０．５ｍ,自治会周知,26203,綾部市
南丹市日吉町保野田,路上,135.5036111,35.17555556,2016/4/12,,1,,子グマが道路を横切って山手へ行ったのを目撃。,,,26213,南丹市
綾部市新庄町,集落内,135.2044361,35.35253889,2016/4/13,,1,,散歩中に目撃,０．５ｍ,,26203,綾部市
宮津市小田宿野,集落内,135.2416667,35.56166667,2016/4/14,,1,,永福寺近くの山肌から民家方向へ移動するクマを目撃した。,,警察によるパトロール及び市役所よる注意喚起,26205,宮津市
宮津市田原,水田,135.2663889,35.685,2016/4/14,,1,,住民が子グマを目撃した。クラクションを鳴らすと山に向かっていった。,,,26205,宮津市
京丹波町口八田笹尾,その他,135.4061111,35.11138889,2016/4/15,,,1,有害捕獲許可を得て設置した箱わなにクマが誤捕獲された。,"オス　体重38kg　体長1,164mm　（亜成獣）",計測後放獣,26407,京丹波町
京丹波町才原,路上,135.3369444,35.27777778,2016/4/24,,,1,和知インター下り出口付近の高速道路上でクマを目撃。,,,26407,京丹波町
南丹市日吉町佐々江,その他,135.5708333,35.21055556,2016/4/26,1,,,山の方へ移動するクマを目撃。,,,26213,南丹市
福知山市岩間,集落内,135.1650056,35.26759167,2016/4/27,1,,,イノシシ用有害捕獲に誤捕獲,1207mm、46kg、オス,計測後放獣,26201,福知山市
京都市北区中川西ノ谷,スギ林,135.6749083,35.08455833,2016/5/1,,,1,有害捕獲作業中に熊剥ぎされた杉の木を発見,,,26101,京都市
京丹後市網野町郷,その他,135.0288889,35.65166667,2016/5/3,1,,,有害の捕獲許可をうけたくくりわなにクマが誤捕獲された。,オス　体重41kg　体長72.6cm,計測後放獣,26212,京丹後市
綾部市黒谷町,路上,135.3150806,35.38139444,2016/5/7,,,1,車でクマと接触。逃げた。,,,26203,綾部市
京丹後市久美浜町甲山,路上,134.9244444,35.61888889,2016/5/9,1,,,北から南へ道路を横断していくクマを目撃した。,100cmくらい,,26212,京丹後市
京丹後市網野町浅茂川,その他,135.0138889,35.68527778,2016/5/9,,1,,クマを目撃した。,,,26212,京丹後市
京丹後市網野町磯,路上,134.9872222,35.68527778,2016/5/11,1,,,府道走行中に、15メートルほど先の路上で目撃。,60cmくらい,,26212,京丹後市
京丹後市丹後町矢畑,その他,135.1219444,35.72027778,2016/5/11,,,1,くくりわなにかかったシカを半日後に確認したところ、喰われていた。,,,26212,京丹後市
福知山市三和町下川合,路上,135.2524861,35.23221111,2016/5/11,1,,,川から山へ（東から西へ）府道を横断するクマを目撃,,,26201,福知山市
京丹後市弥栄町溝谷,その他,135.1208333,35.65777778,2016/5/12,1,,,カズベ谷を山頂方向へ移動するクマを目撃した。,,,26212,京丹後市
福知山市東羽合町,市街地,135.1129833,35.29142778,2016/5/12,,,1,共栄学園高校運動部部室裏のため池の前にいるクマを目撃。山方向（南）へ移動,,,26201,福知山市
京都市左京区静市野中町,天然林,135.7647222,35.08861111,2016/5/12,,,1,電車乗務中に山中にいるクマを目撃,,,26103,京都市
京丹後市大宮町三重,路上,135.1105556,35.54972222,2016/5/13,,1,,国道を峰山方向へ走行中前方を線路側から山側へ横断するクマを目撃した。,,,26212,京丹後市
与謝野町温江,路上,135.1258333,35.50277778,2016/5/13,,1,,府道中藤加悦線（粟峠）頂上付近で子グマを目撃した。,,,26465,与謝野町
京丹後市大宮町三重,その他,135.1091667,35.56083333,2016/5/13,,,1,クマが列車にぶつかった。,,,26212,京丹後市
京都市左京区岩倉長谷町,天然林,135.7877778,35.09166667,2016/5/14,,3,,散歩中に山中にいるクマを目撃,,,26103,京都市
舞鶴市城屋,集落内,135.2975222,35.42645,2016/5/16,,1,,公園付近で歩いているところを目撃,,,26202,舞鶴市
綾部市戸奈瀬町,路上,135.3340028,35.28931389,2016/5/17,,,1,山へ移動,,関係機関及び学校教育課へ報告,26203,綾部市
与謝野町岩屋,その他,135.0602778,35.525,2016/5/17,,,1,浄水場付近でクマを目撃した。,,,26465,与謝野町
舞鶴市余部下,集落内,135.3642556,35.47963056,2016/5/18,1,,,民家横空き地で目撃。その後山へ逃げた。１ヶ月ほど前にも目撃。,1ｍ,警察の戸別訪問、回覧、広報誌による注意喚起。お墓のお供え、餌付けへの注意,26202,舞鶴市
舞鶴市余部下,集落内,135.3643917,35.47995833,2016/5/18,1,,,住宅北側の薮の中で目撃,,,26202,舞鶴市
舞鶴市清道,集落内,135.3632056,35.45601667,2016/5/18,,1,,クマと車両が衝突。その後清道集落へ移動,,,26202,舞鶴市
