避難施設名称,よみ,住所,経度,緯度,避難所種別,災害種別,連絡先,延べ面積[㎡],屋内収容可能人数,URL,備考
京都市立上賀茂小学校,,京都市北区上賀茂烏帽子ヶ垣内町1,135.7576444,35.05671792,,,757110804,,5009,,
京都市立大宮小学校,,京都市北区大宮中ノ社町37,135.7462922,35.05904166,,,754910783,,2291,,
京都市立紫竹小学校,,京都市北区紫竹下園生町26,135.7505997,35.05317639,,,754916005,,3601,,
京都市立元町小学校,,京都市北区小山西元町14,135.7541563,35.05033593,,,754917690,,1569,,
京都市立鳳徳小学校,,京都市北区紫野上鳥田町30,135.7522981,35.04517623,,,754913592,,1698,,
京都市立紫明小学校,,京都市北区小山東大野町55,135.7569455,35.04305168,,,754512156,,2015,,
京都市立紫野小学校,,京都市北区紫野下築山町21,135.7457044,35.03990958,,,754414606,,883,,
京都市立柏野小学校,,京都市北区紫野郷ノ上町36,135.7362892,35.03739071,,,754618330,,1699,,
京都市立大将軍小学校,,京都市北区大将軍南一条町48-2,135.7284799,35.02443061,,,754614310,,2257,,
京都市立衣笠小学校,,京都市北区平野宮本町19-6,135.7320032,35.03018619,,,754620034,,1879,,
京都市立金閣小学校,,京都市北区平野上柳町61-1,135.7283181,35.03662166,,,754621700,,4010,,
京都市立楽只小学校,,京都市北区紫野西舟岡町2,135.7397572,35.03964375,,,754510044,,1309,,
京都市立待鳳小学校,,京都市北区紫竹西北町1-3,135.7465148,35.04901642,,,754914343,,2971,,
京都市立鷹峯小学校,,京都市北区鷹峯北鷹峯町12,135.7309613,35.05434122,,,754913607,,3306,,
京都市立柊野小学校,,京都市北区上賀茂女夫岩町21,135.7453445,35.06952295,,,757914700,,2821,,
京都市立小野郷小・中学校(休校中),,京都市北区小野中ノ町30,135.6739995,35.11069687,,,754062341,,1191,,
京都市立中川小学校(休校中),,京都市北区中川北山町46,135.6879809,35.08972158,,,754062331,,1634,,
京都市立中川真弓分校(休校中),,京都市北区真弓八幡町195,135.7021162,35.1214105,,,,,213,,
京都市立雲ヶ畑小・中学校(休校中),,京都市北区雲ヶ畑中畑町76,135.7199259,35.1130261,,,754062073,,1154,,
京都市立加茂川中学校,,京都市北区紫竹上長目町5,135.7520072,35.05476036,,,754921884,,6292,,
京都市立旭丘中学校,,京都市北区紫野東蓮台野町1,135.7403043,35.04681588,,,754921330,,2420,,
京都市立衣笠中学校,,京都市北区衣笠衣笠山町2,135.7269209,35.03675104,,,754612222,,3753,,
京都市立西賀茂中学校,,京都市北区西賀茂円峰2-26,135.7398425,35.07067641,,,754937001,,3556,,
京都市立紫野高等学校,,京都市北区紫野大徳寺町22,135.7413378,35.04320295,,,754910221,,6832,,
京都府立盲学校小学部・中学部,,京都市北区紫野大徳寺町27,135.7388256,35.04417277,,,754926733,,2840,,
京都府立山城高等学校,,京都市北区大将軍坂田町29,135.7256797,35.0231198,,,754638261,,9177,,
京都府立盲学校高等部,,京都市北区紫野花ノ坊町1,135.7373383,35.04013957,,,754625083,,923,,
京都府立医科大学花園学舎,,京都市北区大将軍西鷹司町13-2,135.7276881,35.02293672,,,,,1843,,
立命館大学 京都衣笠体育館,,京都市北区等持院北町56-1,135.7243133,35.03258534,,,754658144,,7717,,
京都産業大学,,京都市北区上賀茂本山,135.7571825,35.06883804,,,757051422,,2563,,
大谷大学,,京都市北区小山上総町,135.7598479,35.04171572,,,754118163,,2429,,
京都教育大学附属京都小学校,,京都市北区紫野東御所田町37,135.7543207,35.03987886,,,754414166,,0,,
京都教育大学附属京都中学校,,京都市北区小山南大野町1,135.755639,35.04029295,,,754317131,,0,,
佛教大学,,京都市北区紫野北花ノ坊町96,135.737385,35.04329994,,,754912141,,0,,
京都市交響楽団練習場,,京都市北区出雲路立テ本町103,135.76446,35.0389005,,,752220331,,0,,
京都市立小野郷小学校大森分校(休校中),,京都市北区小野中ノ町30,135.6739995,35.11069687,,,,,0,,
杉阪公民館,,京都市北区杉阪道風町87,135.7005317,35.09461134,,,,,0,,
元京都市立春日小学校,,京都市上京区丸太町通河原町西入高島町,135.7685347,35.01805243,,,752312973,,1118,,
元京都市立西陣小学校,,京都市上京区上立売堀川西入幸在町689,135.7498184,35.03242398,,,754410172,,1168,,
元京都市立聚楽小学校,,京都市上京区葭屋町通中立売下ル北俵町317,135.7510257,35.02441738,,,754510090,,1158,,
元京都市立待賢小学校,,京都市上京区猪熊通丸太町下ル藁屋町536-1,135.7499786,35.01716085,,,758410094,,1545,,
京都まなびの街生き方探究館,,京都市上京区西洞院通下立売下ル東裏辻町402,135.7545813,35.01959042,,,752530880,,1544,,
京都市立京極小学校,,京都市上京区寺町通石薬師下ル西側染殿町658,135.7673016,35.02765016,,,752310959,,1505,,
京都市立室町小学校,,京都市上京区室町通上立売上ル室町頭町261,135.7583868,35.03346523,,,754310358,,1777,,
京都市立新町小学校,,京都市上京区中立売通室町西入三丁町457,135.7560202,35.02526959,,,754324190,,1747,,
京都市立西陣中央小学校,,京都市上京区大宮通今出川上ル観世町135-1,135.7478752,35.0305486,,,754325522,,1574,,
京都市立乾隆小学校,,京都市上京区寺之内通千本東入1丁目下ル姥ヶ寺之前町919-3,135.7425875,35.03366261,,,754510085,,1328,,
京都市立翔鸞小学校,,京都市上京区御前通今出川上ル鳥居前町671,135.7382173,35.03192543,,,754620084,,2379,,
京都市立仁和小学校,,京都市上京区御前通一条下ル東竪町132-1,135.7368917,35.02565755,,,754620092,,3986,,
京都市立二条城北小学校,,京都市上京区浄福寺通下立売下ル中務町487,135.7453171,35.01915341,,,758418684,,1872,,
京都市立正親小学校,,京都市上京区浄福寺通中立売下ル菱丸町173,135.7459623,35.02443511,,,754510091,,1352,,
京都市立烏丸中学校,,京都市上京区烏丸通上立売上ル相国寺門前町647-23,135.7599446,35.03468575,,,754310168,,2859,,
京都市立嘉楽中学校,,京都市上京区今出川通千本東入般舟院前町148,135.7436051,35.0307954,,,754310312,,1893,,
京都市立上京中学校,,京都市上京区一条通室町西入東日野殿町395・396,135.7575615,35.02577948,,,754318151,,3119,,
京都市立二条中学校,,京都市上京区竹屋町通千本東入主税町911,135.7445964,35.01546083,,,758211196,,3032,,
京都市立みつば幼稚園,,京都市上京区小川通今出川下ル針屋町370,135.7539916,35.02915775,,,754413752,,1160,,
京都市立北総合支援学校,,京都市上京区堀川通寺之内上ル2丁目下天神町650-1,135.750674,35.03535118,,,754316636,,2115,,
京都府立鴨沂高等学校,,京都市上京区寺町通荒神口下ル松蔭町131,135.7680081,35.02071292,,,752311512,,2914,,
旧京都産業大学附属中学校・高等学校,,京都市上京区相国寺門前町709,135.7629101,35.03438968,,,752125610,,797,,
京都市立錦林小学校,,京都市左京区岡崎入江町1-1,135.782411,35.01812939,,,757710921,,3310,,
京都市立第三錦林小学校,,京都市左京区鹿ヶ谷宮ノ前町6,135.792981,35.01913589,,,757714844,,2362,,
京都市立第四錦林小学校,,京都市左京区吉田上阿達町15-2,135.7745802,35.02546612,,,757710384,,1913,,
元京都市立新洞小学校,,京都市左京区仁王門通新東洞院西入新東洞院町252,135.7748187,35.01238356,,,757710459,,1632,,
京都市立北白川小学校,,京都市左京区北白川別当町70,135.7929364,35.032025,,,757911158,,1900,,
京都市立養正小学校,,京都市左京区田中飛鳥井町1,135.77885,35.03236389,,,757917178,,3114,,
京都市立養徳小学校,,京都市左京区田中上大久保町24,135.7832325,35.03764898,,,757216623,,2436,,
京都市立下鴨小学校,,京都市左京区下鴨宮崎町4-2,135.7684622,35.03741256,,,757810382,,2114,,
京都市立葵小学校,,京都市左京区下鴨東梅ノ木町8,135.7732819,35.04550239,,,757017151,,1609,,
京都市立修学院小学校,,京都市左京区修学院沖殿町1,135.7943267,35.05298418,,,757814439,,2769,,
京都市立修学院第二小学校,,京都市左京区一乗寺里ノ西町35,135.7886697,35.04478349,,,757815400,,2356,,
京都市立上高野小学校,,京都市左京区上高野松田町8,135.7952581,35.06128283,,,757013995,,3414,,
京都市立松ヶ崎小学校,,京都市左京区松ヶ崎堀町40,135.7821715,35.05333076,,,757813380,,3090,,
京都市立明徳小学校,,京都市左京区岩倉忠在地町221,135.7866217,35.07523203,,,757010111,,3520,,
京都市立岩倉南小学校,,京都市左京区岩倉北四ノ坪町33,135.784992,35.06732875,,,757913207,,2622,,
京都市立岩倉北小学校,,京都市左京区岩倉忠在地町5,135.788484,35.0856988,,,757215618,,2440,,
京都市立八瀬小学校,,京都市左京区八瀬秋元町324-1,135.8184773,35.08151262,,,757815092,,2949,,
京都市立大原小学校(京都大原学院),,京都市左京区大原来迎院町22,135.8287324,35.12118417,,,757442021,,1828,,
京都市立大原百井分校(休校中),,京都市左京区大原百井町105,135.8118234,35.1631704,,,757442010,,186,,
京都市立市原野小学校,,京都市左京区静市野中町105,135.7646077,35.08985506,,,757412450,,2307,,
京都市立静原小学校,,京都市左京区静市静原町1125-1,135.7964017,35.10911553,,,757412075,,1818,,
京都市立鞍馬小学校,,京都市左京区鞍馬本町632,135.7648122,35.10592013,,,757412006,,1573,,
