山岳名,標高(m),所在地
皆子山,971,京都市（左）・滋賀県
峰床山,970,京都市（左）
三国岳,959,京都市（左）・南丹市・滋賀県
鎌倉山,951,京都市（左）・滋賀県
地蔵山,947,京都市（右）
天狗岳,928,南丹市
愛宕山,924,京都市（右）
竜ヶ岳,921,京都市（右）
長老ヶ岳,917,南丹市・京丹波町
桟敷ヶ岳,896,京都市（北）
経ヶ岳,889,京都市（左）・滋賀県
品谷山,881,京都市（右）・南丹市
滝谷山,876,京都市（左）
頭巾山,871,綾部市・南丹市・福井県
鍋谷山,859,京都市（左）・京都市（右）
比叡山,848,京都市（左）・滋賀県
三岳山,839,福知山市
大江山,832,福知山市・与謝野町
ソトバ山,806,京都市（右）
八ヶ峰,800,南丹市・福井県
大段谷山,795,南丹市
水井山,794,京都市（左）・滋賀県
飯森山,791,京都市（北）・京都市（右）
深山,791,南丹市・大阪府
天ヶ岳,788,京都市（左）
鴨瀬芦谷山,778,京都市（右）
三国岳,776,南丹市・滋賀県
天童山,775,京都市（北）・京都市（右）
鉄鈷山,775,福知山市・兵庫県
半国山,774,亀岡市
横高山,767,京都市（左）・滋賀県
掛橋谷山,766,京都市（右）・南丹市
鍋塚,763,宮津市・福知山市・与謝野町
湯槽山,763,京都市（左）・京都市（右）
奥八丁山,752,南丹市
ホサビ山,750,南丹市
白尾山,749,南丹市
鳩ヶ峰,746,福知山市・与謝野町
大悲山,741,京都市（左）
赤石ヶ岳,736,福知山市・与謝野町
居母山,731,福知山市
三頭山,728,京都市（右）
江笠山,728,福知山市・与謝野町・兵庫県
焼杉山,717,京都市（左）
貴船山,716,京都市（左）
富岡山,707,福知山市
ハナノ谷段山,704,南丹市
