港名,所在地,停泊地の広さ（㎡）,停泊地の広さ（大型船）（㎡）,停泊地の広さ（小型船）（㎡）,定期船の有無
舞鶴港,舞鶴市,-,914000,25000,有
宮津港,宮津市、与謝野町,-,307000,66000,有
久美浜港,京丹後市,-,-,37400,無
伏見港,京都市伏見区,-,-,-,無
舞鶴漁港,舞鶴市字下安久、東吉原、西吉原,122845,-,-,-
田井(舞鶴)漁港,舞鶴市字田井,87600,-,-,-
野原漁港,舞鶴市字野原,44100,-,-,-
竜宮浜漁港,舞鶴市字小橋、三浜,45780,-,-,-
栗田漁港,宮津市字脇、中村、小寺、上司、中津、小田宿野,12500,-,-,-
養老漁港,宮津市字大島、岩ヶ鼻、長江、里波見,70100,-,-,-
伊根漁港,伊根町字平田、亀島、日出,948900,-,-,-
新井漁港,伊根町字新井,12953,-,-,-
浦島漁港,伊根町字本庄浜,25640,-,-,-
本庄漁港,伊根町字蒲入,55600,-,-,-
中浜漁港,京丹後市丹後町中浜、久僧,20990,-,-,-
間人漁港,京丹後市丹後町間人,24410,-,-,-
浅茂川漁港,京丹後市網野町浅茂川,52410,-,-,-
