地域コード,地域,2011年_面積(km2),2012年_面積(km2),2013年_面積(km2),2014年_面積(km2),2015年_面積(km2)
26000,京都府,4613.21,4613.21,4613.26,4612.2,4612.19
26100,京都市,827.9,827.9,827.9,827.83,827.83
26101,京都市北区,94.92,94.92,94.92,94.88,94.88
26102,京都市上京区,7.11,7.11,7.11,7.03,7.03
26103,京都市左京区,246.88,246.88,246.88,246.77,246.77
26104,京都市中京区,7.38,7.38,7.38,7.41,7.41
26105,京都市東山区,7.46,7.46,7.46,7.48,7.48
26106,京都市下京区,6.82,6.82,6.82,6.78,6.78
26107,京都市南区,15.78,15.78,15.78,15.81,15.81
26108,京都市右京区,291.95,291.95,291.95,292.07,292.07
26109,京都市伏見区,61.62,61.62,61.62,61.66,61.66
26110,京都市山科区,28.78,28.78,28.78,28.7,28.7
26111,京都市西京区,59.2,59.2,59.2,59.24,59.24
26201,福知山市,552.57,552.57,552.57,552.54,552.54
26202,舞鶴市,342.35,342.35,342.39,342.1,342.12
26203,綾部市,347.11,347.11,347.11,347.1,347.1
26204,宇治市,67.55,67.55,67.55,67.54,67.54
26205,宮津市,169.32,169.32,172.87,172.73,172.74
26206,亀岡市,224.9,224.9,224.9,224.8,224.8
26207,城陽市,32.74,32.74,32.74,32.71,32.71
26208,向日市,7.67,7.67,7.67,7.72,7.72
26209,長岡京市,19.18,19.18,19.18,19.17,19.17
26210,八幡市,24.37,24.37,24.37,24.35,24.35
26211,京田辺市,42.94,42.94,42.94,42.92,42.92
26212,京丹後市,501.84,501.84,501.85,501.46,501.43
26213,南丹市,616.31,616.31,616.31,616.4,616.4
26214,木津川市,85.12,85.12,85.12,85.13,85.13
26303,乙訓郡大山崎町,5.97,5.97,5.97,5.97,5.97
26322,久世郡久御山町,13.86,13.86,13.86,13.86,13.86
26343,綴喜郡井手町,18.02,18.02,18.02,18.04,18.04
26344,綴喜郡宇治田原町,58.26,58.26,58.26,58.16,58.16
26364,相楽郡笠置町,23.57,23.57,23.57,23.52,23.52
26365,相楽郡和束町,64.87,64.87,64.87,64.93,64.93
26366,相楽郡精華町,25.66,25.66,25.66,25.68,25.68
26367,相楽郡南山城村,64.21,64.21,64.21,64.11,64.11
26407,船井郡京丹波町,303.07,303.07,303.07,303.09,303.09
26463,与謝郡伊根町,62,62,62,61.95,61.95
26465,与謝郡与謝野町,107.04,107.04,108.3,108.38,108.38
-,阿蘇海,4.81,4.81,-,-,-
