西暦,和暦,地域コード,地域,面積_総数(千㎡),面積_田(千㎡),面積_畑(千㎡),面積_宅地(千㎡),面積_池沼(千㎡),面積_山林(千㎡),面積_原野(千㎡),面積_雑種地(千㎡)
2011年,平成23年,26000,京都府,1547928,268168,94498,218547,1510,874433,34010,56761
2012年,平成24年,26000,京都府,1546177,267329,94201,219272,1516,873443,34014,56401
2013年,平成25年,26000,京都府,1545504,266458,93874,219884,1506,873238,34166,56378
2014年,平成26年,26000,京都府,1541414,265338,93007,220592,1502,870025,34273,56678
2015年,平成27年,26000,京都府,1539621,264212,92548,221174,1485,869420,34286,56496
2015年,平成27年,26100,京都市,328260,19499,7157,81635,62,208221,1262,10425
2015年,平成27年,26201,福知山市,165612,33162,12542,15241,80,94284,6175,4129
2015年,平成27年,26202,舞鶴市,100237,14076,7331,12534,7,62076,1568,2646
2015年,平成27年,26203,綾部市,106037,23695,8804,8032,33,60071,3101,2301
2015年,平成27年,26204,宇治市,42390,2914,1170,12369,17,22634,19,3267
2015年,平成27年,26205,宮津市,37030,7295,3171,3641,5,17425,3754,1738
2015年,平成27年,26206,亀岡市,91615,26855,1553,10730,57,47609,710,4100
2015年,平成27年,26207,城陽市,21434,3000,2250,5546,6,7351,161,3121
2015年,平成27年,26208,向日市,5305,958,534,2880,-,212,-,722
2015年,平成27年,26209,長岡京市,11176,1075,1459,5192,1,2913,4,530
2015年,平成27年,26210,八幡市,14236,3603,2089,6197,-,894,18,1436
2015年,平成27年,26211,京田辺市,27761,7481,2716,6479,7,8517,247,2315
2015年,平成27年,26212,京丹後市,166084,38969,14961,11889,40,90835,6622,2769
2015年,平成27年,26213,南丹市,131629,25923,3078,7378,841,89733,2117,2559
2015年,平成27年,26214,木津川市,46678,10248,6752,8401,66,16523,898,3790
2015年,平成27年,26303,乙訓郡大山崎町,2723,155,150,1422,1,763,-,233
2015年,平成27年,26322,久世郡久御山町,9499,4687,1235,3218,4,-,1,354
2015年,平成27年,26343,綴喜郡井手町,5923,1307,1176,1112,5,1732,227,364
2015年,平成27年,26344,綴喜郡宇治田原町,41293,2309,2857,2178,5,32174,149,1622
2015年,平成27年,26364,相楽郡笠置町,7273,559,357,297,7,5244,107,702
2015年,平成27年,26365,相楽郡和束町,20186,2089,3683,861,10,12849,269,424
2015年,平成27年,26366,相楽郡精華町,12841,3980,600,4153,166,3038,324,580
2015年,平成27年,26367,相楽郡南山城村,21586,2366,1819,619,33,14759,824,1166
2015年,平成27年,26407,船井郡京丹波町,83209,15356,3132,4116,33,52737,3289,4546
2015年,平成27年,26463,与謝郡伊根町,13592,2588,662,505,-,7764,1962,111
2015年,平成27年,26465,与謝郡与謝野町,26011,10066,1308,4551,-,9062,478,546
