西暦,和暦,都市計画区域名,市町,都市計画区域(ha),市街化区域(ha),市街化調整区域(ha),用途地域計(ha),第1種低層住居専用地域(ha),第2種低層住居専用地域(ha),第1種中高層住居専用地域(ha),第2種中高層住居専用地域(ha),第1種住居地域(ha),第2種住居地域(ha),準住居地域(ha),近隣商業地域(ha),商業地域(ha),準工業地域(ha),工業地域(ha),工業専用地域(ha)
2011年,平成23年,京都府,-,197433,31384,127616,32121.1,7416.8,102.5,3997.2,1008,7157.9,1850.1,374.2,1451,1333.1,4003.9,2404.7,1021.7
2012年,平成24年,京都府,-,197433,31384,127616,32207.8,7407,102.5,3997.2,1004.5,7205.2,1860.9,374.3,1452,1333.1,4004,2445.5,1021.6
2013年,平成25年,京都府,-,197436,31406,127597,32230.5,7389.8,104.9,3997.2,1004.5,7218.8,1863.2,375.4,1463.4,1333.5,4015.5,2442.7,1021.6
2014年,平成26年,京都府,-,197436,31445,127557,32269.4,7403.5,104.7,3994.7,1004.5,7220.7,1862.9,375.3,1468.1,1333.1,4022.7,2457.7,1021.6
2015年,平成27年,京都府,-,195670,31445,127551,32269.5,7402.9,104.7,3994.7,1005.1,7220.7,1856.5,375.3,1468.1,1333.1,4029.1,2457.7,1021.6
2015年,平成27年,京都,京都市,48051,14987,33064,14987,3550,21,2358,713,1786,1272,97,944,998,1879,1301,68
2015年,平成27年,京都,向日市,767,524,243,524,124.8,1.4,25.9,-,206.8,10.8,15.4,32,4.6,31.7,70.6,-
2015年,平成27年,京都,長岡京市,1917,958,959,958,185.1,-,88.1,-,381.9,33.1,18.2,23.9,2.3,42.8,138.4,44.2
2015年,平成27年,京都,大山崎町,597,318,279,318,17,-,59.6,2.6,124.4,3.8,-,-,-,20.6,90,-
2015年,平成27年,京都,久御山町(一部),33,11,22,11,-,-,-,-,11,-,-,-,-,-,-,-
2015年,平成27年,京都,八幡市(一部),31,13,18,13,-,-,1,-,-,-,-,-,-,12,-,-
2015年,平成27年,宇治,宇治市,4654,2224,2430,2224.1,641.3,2.1,142,22.3,817.9,50.1,37.2,45.6,16.5,315.9,133.2,-
2015年,平成27年,宇治,城陽市,3271,802,2469,801.1,375.2,19.8,-,-,305.9,1.1,14.9,20.7,1.6,46.2,9.7,6
2015年,平成27年,宇治,久御山町,1353,395,958,394.9,14.6,-,23,-,78.5,5.7,2.1,3,-,76.7,52.1,139.2
2015年,平成27年,宇治,井手町,829,232,596,232.7,-,-,-,-,138.4,-,3.1,11.3,-,69.6,10.3,-
2015年,平成27年,宇治田原,宇治田原町,2995,-,-,331.4,35,0.7,0.7,-,109,24,-,13,-,32,117,-
2015年,平成27年,綴喜,八幡市,2404,1019,1385,1018.7,138.5,13.1,337.4,32.3,237.4,37.3,11.3,25.2,4,73.6,13,95.6
2015年,平成27年,綴喜,京田辺市,4292,1074,3218,1074.3,256.7,14.6,234.8,18.1,286.1,76.7,-,21.4,28.7,6,34.2,97
2015年,平成27年,相楽,木津川市,6709,1758,4951,1758,722.6,-,109.1,86.5,459,64,3.2,42.2,31,240.4,-,-
2015年,平成27年,相楽,精華町,2568,708,1860,708.2,353.5,8.4,17.7,41.3,97.1,13.6,4.1,17.3,29.1,126.1,-,-
2015年,平成27年,南丹,亀岡市,13010,1076,11934,1076.6,307.2,11.7,60,38.4,415.8,35.7,33.3,38,26,66.1,44.4,-
2015年,平成27年,南丹,南丹市,9415,566,8849,565.7,165.1,1.6,49.1,32.4,175.1,57.8,-,22.3,-,55.7,6.6,-
2015年,平成27年,丹波,京丹波町,5895,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,福知山,福知山市,13256,1903,11353,1902.9,152.5,-,206.2,-,524.6,68.9,43.3,106,35.9,273.8,147.7,344
2015年,平成27年,綾部,綾部市,19543,740,18803,739.8,90,-,101.1,6.7,152.5,31.8,54,23.5,5.4,81.1,44.8,148.9
2015年,平成27年,舞鶴,舞鶴市,26297,2137,24160,2137.8,211.4,10.3,123,11.5,648.5,42,38.2,59.9,120.6,549,244.7,78.7
2015年,平成27年,大江,福知山市,3344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,宮津,宮津市,16932,-,-,492.3,62.4,-,58,-,264.8,28.1,-,18.8,29.4,30.8,-,-
2015年,平成27年,宮津,与謝野町,1209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,峰山,京丹後市,6298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,網野,京丹後市,6298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
