西暦,和暦,年月,平均気温(℃),日最高平均気温(℃),日最低平均気温(℃),最高気温(℃),最低気温(℃),平均相対湿度(%),平均風速(m/s),最大瞬間風速(m/s),日照時間(時間),降水量_合計(mm),降水量_最大日量(mm),降水量_最大1時間量(mm),降雪の深さ_合計(cm),降雪の深さ_最大日量(cm),最深積雪(cm),現象日数_雪(日),現象日数_霧(日),現象日数_雷(日),不照日数(日)
2011年,平成23年,年次,16,21,11.9,36.9,-3.9,67,2.1,23.9,1770,1650.5,119.5,35.5,19,9,9,36,-,18,44
2012年,平成24年,年次,15.8,20.6,11.8,37.5,-3.5,67,2.1,24.3,1752.2,1562,117.5,59,5,4,5,51,-,35,44
2013年,平成25年,年次,16.2,21.4,12,39,-2.3,64,2.1,21.9,1939.8,1450.5,133.5,32.5,-,-,0,34,-,21,40
2014年,平成26年,年次,16.1,21.1,12.1,38.3,-1.7,65,2.1,20.7,1824.6,1377,121,87.5,9,4,4,38,-,10,41
2015年,平成27年,年次,16.6,21.4,12.7,39.1,-1.7,67,2,20.1,1793,2042.5,183.5,29,45,17,22,26,-,9,58
2015年,平成27年,1月,4.9,8.4,2.2,13,-1.7,74,1.9,16.4,97.4,120.5,25.5,9.5,35,17,22,11,-,-,3
2015年,平成27年,2月,5.6,9.9,2.3,15.9,-1,69,1.9,14.3,104.8,43.5,13,4.5,7,6,7,10,-,-,3
2015年,平成27年,3月,9.4,14.8,4.9,24.5,-1.2,64,2.1,16.6,170.9,159,34,8,-,-,0,3,-,-,4
2015年,平成27年,4月,15.6,20.5,10.9,28.8,4.5,64,2.3,12,150,163.5,42.5,7,-,-,-,-,-,-,10
2015年,平成27年,5月,21.2,27.7,15.8,33.6,10.7,55,2.2,12.8,222.6,128,40.5,14.5,-,-,-,-,-,1,1
2015年,平成27年,6月,22.8,27.5,18.9,32.9,14.4,68,2.2,15.4,119.6,263,65,29,-,-,-,-,-,1,7
2015年,平成27年,7月,27.2,31.7,23.8,36.5,19.4,71,2.3,20.1,128.7,416.5,183.5,25.5,-,-,-,-,-,1,7
2015年,平成27年,8月,28.3,33.6,24.6,39.1,21.9,67,2,15.8,175.7,241.5,59.5,27,-,-,-,-,-,5,2
2015年,平成27年,9月,22.9,27.5,19.5,31.6,16.3,70,2,11.9,139.8,190.5,37.5,28.5,-,-,-,-,-,1,7
2015年,平成27年,10月,18.1,23.9,13.3,28,8.4,61,1.9,15.5,234.3,38.5,21,19.5,-,-,-,-,-,-,1
2015年,平成27年,11月,14.5,18.4,11.2,25.3,4.1,72,1.7,12.8,116.8,177,34.5,12,-,-,-,-,-,-,8
2015年,平成27年,12月,9,13.2,5.3,18.9,0.6,69,1.8,15,132.4,101,52.5,17,-,-,-,-,-,-,5
