西暦,和暦,年月,種別,間人(℃),宮津(℃),福知山(℃),美山(℃),園部(℃),京田辺(℃)
2011年,平成23年,年次,平均気温,15.3,14.7,14.5,12.8,13.7,15.5
2011年,平成23年,年次,最高気温,34.8,37.2,37,36.6,38.1,37.1
2011年,平成23年,年次,最低気温,-2.8,-3.9,-5.6,-6.9,-10.8,-5.6
2012年,平成24年,年次,平均気温,15.1,14.5,14.4,12.5,13.6,15.2
2012年,平成24年,年次,最高気温,35.6,37.3,37.2,35.5,36.3,37.2
2012年,平成24年,年次,最低気温,-2,-5.8,-7.3,-9.4,-10.5,-6.4
2013年,平成25年,年次,平均気温,15.4,14.9,14.8,12.8,13.8,15.6
2013年,平成25年,年次,最高気温,35,37.3,37.4,35.2,36.8,38.3
2013年,平成25年,年次,最低気温,-2.4,-3,-3.8,-7,-6.4,-5.3
2014年,平成26年,年次,平均気温,15,14.5,14.6,12.4,13.5,15.3
2014年,平成26年,年次,最高気温,35.1,37.8,36.9,35,36.4,37.9
2014年,平成26年,年次,最低気温,-1.3,-2.6,-3.6,-5.6,-6.6,-5.3
2015年,平成27年,年次,平均気温,15.5,15,15.1,13.1,14.2,15.9
2015年,平成27年,年次,最高気温,35.5,36.5,37.8,35.4,37,38.2
2015年,平成27年,年次,最低気温,-1.6,-2.2,-5.1,-7.1,-5.3,-4.8
2015年,平成27年,1月,平均気温,5.5,4.1,3.5,1.7,2.7,4.6
2015年,平成27年,1月,最高気温,12.2,11.9,12.3,11,11.9,12.8
2015年,平成27年,1月,最低気温,-0.9,-1.2,-3.1,-5.2,-5.3,-4.8
2015年,平成27年,2月,平均気温,5.8,4.6,4.5,2.1,3.5,5.4
2015年,平成27年,2月,最高気温,14.9,15.9,15.5,13.1,14.5,15.8
2015年,平成27年,2月,最低気温,-1.6,-2.2,-2.5,-4.1,-4.8,-3.7
2015年,平成27年,3月,平均気温,8.5,7.7,7.8,5.9,6.8,8.7
2015年,平成27年,3月,最高気温,22.7,24.4,24.5,22.6,23.5,24.1
2015年,平成27年,3月,最低気温,-0.7,-1.1,-5.1,-7.1,-4.7,-2.2
2015年,平成27年,4月,平均気温,13.5,13.4,14.2,12.4,13.3,14.9
2015年,平成27年,4月,最高気温,25,27.8,29.3,27.7,28.4,28.3
2015年,平成27年,4月,最低気温,4.2,3.4,2.1,-0.1,0.7,2.7
2015年,平成27年,5月,平均気温,18.8,18.5,19.5,17,18.6,20.4
2015年,平成27年,5月,最高気温,30,29.5,32.9,31.2,32.8,33.2
2015年,平成27年,5月,最低気温,10.2,8.7,7.5,5.1,6.3,6.6
2015年,平成27年,6月,平均気温,20.9,21.1,21.6,19.4,21,22.3
2015年,平成27年,6月,最高気温,29.9,31.1,32.4,29.9,30.9,32.3
2015年,平成27年,6月,最低気温,13,12.5,12.5,11,11.2,12.7
2015年,平成27年,7月,平均気温,25,25.5,26.1,24.1,25.3,26.6
2015年,平成27年,7月,最高気温,35.5,36.5,36.1,33.8,35.8,36.9
2015年,平成27年,7月,最低気温,18.3,17.1,18.5,15.6,17.6,19.4
2015年,平成27年,8月,平均気温,25.6,26,26.6,24.6,26.1,27.6
2015年,平成27年,8月,最高気温,32.8,36,37.8,35.4,37,38.2
2015年,平成27年,8月,最低気温,20.5,18.6,19.5,14.9,17.1,20.2
2015年,平成27年,9月,平均気温,21.1,21,21.1,19.2,20.4,22.2
2015年,平成27年,9月,最高気温,29.8,31.1,29.6,27.6,29.2,31.1
2015年,平成27年,9月,最低気温,16.2,13.6,13.5,11.2,12,12
2015年,平成27年,10月,平均気温,17.4,16.3,15.8,14,14.8,16.7
2015年,平成27年,10月,最高気温,24.9,26.4,26.5,24.6,26.4,27.6
2015年,平成27年,10月,最低気温,10.6,7.4,6,4.2,3.1,4.4
2015年,平成27年,11月,平均気温,14.1,13.5,12.9,11.3,11.9,13.7
2015年,平成27年,11月,最高気温,20.6,23.8,24.8,23,24.2,24.9
2015年,平成27年,11月,最低気温,4.3,2.3,0.8,-0.8,-1,1.5
2015年,平成27年,12月,平均気温,9.2,8.4,7.4,5.8,6.2,8.1
2015年,平成27年,12月,最高気温,17.8,18.1,17.9,18.3,19.7,19.4
2015年,平成27年,12月,最低気温,1.1,0,-0.9,-1.3,-3.3,-2.9
