西暦,和暦,年月,降水量_間人(mm),降水量_峰山(mm),降水量_宮津(mm),降水量_三岳(mm),降水量_坂浦(mm),降水量_睦寄(mm),降水量_福知山(mm),降水量_綾部(mm),降水量_三和(mm),降水量_本庄(mm),降水量_美山(mm),降水量_須知(mm),降水量_京北(mm),降水量_園部(mm),降水量_長岡京(mm),降水量_京田辺(mm)
2011年,平成23年,年次,2441,2696.5,2537,2389,…,2506.5,1977,1984.5,1973,1904.5,2123,1720,1891,1770,1611,1541.5
2012年,平成24年,年次,2191.5,2188.5,1966.5,1770,…,2077,1535.5,1592,1547,1706.5,1836,1410,1661,1532,1544.5,1680
2013年,平成25年,年次,1869.5,2053.5,2112.5,…,"1,669.50",2343.5,1828.5,1730.5,1837.5,1812.5,1912,1542,1708,1498.5,1550,1685.5
2014年,平成26年,年次,1815,1830.5,1899,…,2130,2287,1957,2004.5,1737.5,1841.5,1954.5,1552.5,1814.5,1673.5,1404.5,1387
2015年,平成27年,年次,1681.5,1739.5,1927,…,2185,2097,1843,1717,1710,1662.5,1992.5,1576.5,1916.5,1706.5,2048.5,1750
2015年,平成27年,1月,224.5,309,297,…,369,325,225,232,218,232.5,266,161,194,153,104.5,99.5
2015年,平成27年,2月,71,116.5,159.5,…,139,165.5,89.5,70.5,66,79,137,54,111.5,58,32.5,36.5
2015年,平成27年,3月,145.5,142.5,170.5,…,166,177.5,141.5,138.5,134,138,161,133.5,150.5,143,149,171.5
2015年,平成27年,4月,157.5,126.5,129.5,…,165,151.5,163.5,152,150.5,152.5,180.5,124.5,141.5,141.5,164.5,125
2015年,平成27年,5月,78.5,69.5,88.5,…,79,85.5,79,79.5,81.5,80,107,106,98,113,100.5,89
2015年,平成27年,6月,140,137,137,…,230,166,170.5,170.5,156.5,157.5,174,185,174,194.5,302.5,212
2015年,平成27年,7月,93.5,108.5,147,…,201.5,268,226,265.5,268.5,264,361.5,232,355,307,474.5,332
2015年,平成27年,8月,74.5,91,114.5,…,150,135,172,133,131,121.5,101.5,125.5,195,156.5,254.5,262
2015年,平成27年,9月,199,224.5,281.5,…,258.5,206,260,193,197.5,164.5,177,174.5,214,153.5,164,137.5
2015年,平成27年,10月,56.5,41.5,66.5,…,62,40.5,35.5,21,35,30,28,21.5,22.5,24,41.5,35.5
2015年,平成27年,11月,167,150.5,151,…,165.5,179.5,148.5,146,145,117,139,122,142,130,159,158.5
2015年,平成27年,12月,274,222.5,184.5,…,199.5,197,132,115.5,126.5,126,160,137,118.5,132.5,101.5,91
