西暦,和暦,人口_総数(人),人口_男(人),人口_女(人)
1885年,明治18年,846761,423995,422766
1886年,明治19年,849362,… ,… 
1887年,明治20年,866743,… ,… 
1888年,明治21年,875084,… ,… 
1889年,明治22年,887031,… ,… 
1890年,明治23年,894928,… ,… 
1891年,明治24年,903189,… ,… 
1892年,明治25年,914700,… ,… 
1893年,明治26年,924093,… ,… 
1894年,明治27年,937383,… ,… 
1895年,明治28年,951825,… ,… 
1896年,明治29年,971321,… ,… 
1897年,明治30年,965444,… ,… 
1898年,明治31年,990771,497530,493241
1899年,明治32年,1002774,502573,500201
1900年,明治33年,1022695,514215,508480
1901年,明治34年,1034892,522673,512219
1902年,明治35年,1054702,532747,521955
1903年,明治36年,1047382,527105,520277
1904年,明治37年,1047715,521944,525771
1905年,明治38年,1057044,527778,529266
1906年,明治39年,1082154,544917,537237
1907年,明治40年,1105160,557262,547898
1908年,明治41年,1143978,579735,564243
1909年,明治42年,1167297,590815,576482
1910年,明治43年,1197473,607550,589923
1911年,明治44年,1226774,623016,603758
1912年,大正元年,1256315,638249,618066
1913年,大正2年,1274859,648270,626589
1914年,大正3年,1293710,657932,635778
1915年,大正4年,1325711,672250,653461
1916年,大正5年,1350019,686123,663896
1917年,大正6年,1367306,693316,673990
1918年,大正7年,1369100,688912,680188
1919年,大正8年,1399076,704971,694105
1920年,大正9年,1287147,650780,636367
1921年,大正10年,1306200,661000,645200
1922年,大正11年,1330300,674900,655400
1923年,大正12年,1361400,693100,668300
1924年,大正13年,1388000,708100,679900
1925年,大正14年,1406382,717464,688918
1926年,大正15年,1435900,732800,703200
1927年,昭和2年,1462000,746000,716000
1928年,昭和3年,1488200,759000,729200
1929年,昭和4年,1515400,773400,742100
1930年,昭和5年,1552832,792420,760412
1931年,昭和6年,1593900,812200,781700
1932年,昭和7年,1626400,826900,799500
1933年,昭和8年,1650900,838400,812500
1934年,昭和9年,1672600,849400,823200
1935年,昭和10年,1702508,862998,839510
1936年,昭和11年,1697100,850700,846400
1937年,昭和12年,1702900,849400,853500
1938年,昭和13年,1707500,849600,858000
1939年,昭和14年,1705400,844900,860600
1940年,昭和15年,1729993,863494,866499
1941年,昭和16年,1696100,819400,876600
1942年,昭和17年,1684700,806200,878500
1943年,昭和18年,1652100,781400,870600
1944年,昭和19年,1635500,766700,868800
1945年,昭和20年,1603796,752494,851302
1946年,昭和21年,1622000,766100,855900
1947年,昭和22年,1739084,845277,893807
1948年,昭和23年,1777600,865200,912400
1949年,昭和24年,1813700,884100,929600
1950年,昭和25年,1832934,891616,941318
1951年,昭和26年,1860000,905000,955000
1952年,昭和27年,1883000,917000,966000
1953年,昭和28年,1898000,924000,975000
1954年,昭和29年,1913000,932000,982000
1955年,昭和30年,1935161,944278,990883
1956年,昭和31年,1950000,953000,998000
1957年,昭和32年,1964000,961000,1004000
1958年,昭和33年,1977000,967000,1010000
1959年,昭和34年,1988000,972000,1016000
1960年,昭和35年,1993403,973040,1020363
1961年,昭和36年,2009000,980000,1028000
1962年,昭和37年,2029000,990000,1038000
1963年,昭和38年,2052000,1001000,1051000
1964年,昭和39年,2076000,1014000,1063000
1965年,昭和40年,2102808,1028073,1074735
1966年,昭和41年,2122000,1037000,1085000
1967年,昭和42年,2154000,1053000,1101000
1968年,昭和43年,2187000,1070000,1117000
1969年,昭和44年,2218000,1085000,1132000
1970年,昭和45年,2250087,1102011,1148076
1971年,昭和46年,2281000,1118000,1164000
1972年,昭和47年,2323000,1138000,1185000
1973年,昭和48年,2364000,1160000,1204000
1974年,昭和49年,2396000,1176000,1220000
1975年,昭和50年,2424856,1190854,1234002
1976年,昭和51年,2452000,1203000,1249000
1977年,昭和52年,2474000,1214000,1260000
1978年,昭和53年,2494000,1224000,1271000
1979年,昭和54年,2512000,1232000,1280000
1980年,昭和55年,2527330,1238365,1288965
1981年,昭和56年,2539000,1244000,1295000
1982年,昭和57年,2553000,1250000,1303000
1983年,昭和58年,2569000,1257000,1312000
1984年,昭和59年,2578000,1261000,1317000
1985年,昭和60年,2586574,1264035,1322539
1986年,昭和61年,2595000,1268000,1328000
1987年,昭和62年,2601000,1270000,1331000
1988年,昭和63年,2604000,1270000,1334000
1989年,平成元年,2604000,1270000,1335000
1990年,平成2年,2602460,1267620,1334840
1991年,平成3年,2606196,1268531,1337665
1992年,平成4年,2612619,1270781,1341838
1993年,平成5年,2614955,1270941,1344014
1994年,平成6年,2619007,1272081,1346926
1995年,平成7年,2629592,1276838,1352754
1996年,平成8年,2633334,1278095,1355239
1997年,平成9年,2636750,1278838,1357912
1998年,平成10年,2641787,1279787,1362000
1999年,平成11年,2643580,1279182,1364398
2000年,平成12年,2644391,1278142,1366249
2001年,平成13年,2646143,1277124,1369019
2002年,平成14年,2646555,1275900,1370655
2003年,平成15年,2647889,1275355,1372534
2004年,平成16年,2648245,1274410,1373835
2005年,平成17年,2647660,1272993,1374667
2006年,平成18年,2645962,1271870,1374092
2007年,平成19年,2642279,1269505,1372774
2008年,平成20年,2640782,1268253,1372529
2009年,平成21年,2638972,1267108,1371864
2010年,平成22年,2636092,1265387,1370705
2011年,平成23年,2632979,1263289,1369690
2012年,平成24年,2628268,1259922,1368346
2013年,平成25年,2621658,1256043,1365615
2014年,平成26年,2615514,1252501,1363013
2015年,平成27年,2610353,1248972,1361381
2016年,平成28年,2605731,1246257,1359474
