地域コード,地域,2000年_人口(人),2005年_人口(人),2010年_人口(人),2015年_人口(人),2015年_人口密度(人/km2),2015年_面積(km2)
26000,京都府,2644391,2647660,2636092,2610353,566,4612.19
26100,京都市,1467785,1474811,1474015,1475183,1782,827.83
26101,京都市北区,126125,124266,122037,119474,1259.2,94.88
26102,京都市上京区,84187,83534,83264,85113,12107.1,7.03
26103,京都市左京区,171556,169587,168802,168266,681.9,246.77
26104,京都市中京区,95038,102129,105306,109341,14755.9,7.41
26105,京都市東山区,44813,42464,40528,39044,5219.8,7.48
26110,京都市山科区,137624,136670,136045,135471,4720.2,28.7
26106,京都市下京区,71212,75437,79287,82668,12192.9,6.78
26107,京都市南区,97820,98193,98744,99927,6320.5,15.81
26108,京都市右京区,195573,202356,202943,204262,699.4,292.07
26111,京都市西京区,155928,154756,152974,150962,2548.3,59.24
26109,京都市伏見区,287909,285419,284085,280655,4551.7,61.66
26201,福知山市,68098,67858,79652,78935,142.9,552.54
26202,舞鶴市,94050,91733,88669,83990,245.5,342.12
26203,綾部市,38881,37755,35836,33821,97.4,347.1
26204,宇治市,189112,189591,189609,184678,2734.4,67.54
26205,宮津市,23276,21512,19948,18426,106.7,172.74
26206,亀岡市,94555,93996,92399,89479,398,224.8
26207,城陽市,84346,81636,80037,76869,2350,32.71
26208,向日市,53425,55041,54328,53380,6914.5,7.72
26209,長岡京市,77846,78335,79844,80090,4177.9,19.17
26210,八幡市,73682,74252,74227,72664,2984.1,24.35
26211,京田辺市,59577,64008,67910,70835,1650.4,42.92
26212,京丹後市,・,62723,59038,55054,109.8,501.43
26213,南丹市,・,・,35214,33145,53.8,616.4
26214,木津川市,・,・,69761,72840,855.6,85.13
26303,乙訓郡大山崎町,15736,15191,15121,15181,2542.9,5.97
26322,久世郡久御山町,17080,16610,15914,15805,1140.3,13.86
26343,綴喜郡井手町,9102,8951,8447,7910,438.5,18.04
26344,綴喜郡宇治田原町,9840,10060,9711,9319,160.2,58.16
26214,相楽郡山城町,9122,8913,・,・,・,・
26214,相楽郡木津町,33683,39129,・,・,・,・
26214,相楽郡加茂町,16004,15607,・,・,・,・
26364,相楽郡笠置町,2056,1876,1626,1368,58.2,23.52
26365,相楽郡和束町,5457,4998,4482,3956,60.9,64.93
26366,相楽郡精華町,26357,34236,35630,36376,1416.5,25.68
26367,相楽郡南山城村,3784,3466,3078,2652,41.4,64.11
26108,北桑田郡京北町,6686,・,・,・,・,・
26213,北桑田郡美山町,5231,4855,・,・,・,・
26213,船井郡園部町,16776,17061,・,・,・,・
26213,船井郡八木町,9391,8869,・,・,・,・
26407,船井郡丹波町,8690,8280,・,・,・,・
26213,船井郡日吉町,6219,5951,・,・,・,・
26407,船井郡瑞穂町,5235,4947,・,・,・,・
26407,船井郡和知町,4004,3666,・,・,・,・
26407,船井郡京丹波町,・,・,15732,14453,47.7,303.09
26201,天田郡三和町,4448,4240,・,・,・,・
26201,天田郡夜久野町,4869,4453,・,・,・,・
26201,加佐郡大江町,5705,5426,・,・,・,・
26465,与謝郡加悦町,7867,7526,・,・,・,・
26465,与謝郡岩滝町,6648,6539,・,・,・,・
26463,与謝郡伊根町,3112,2718,2410,2110,34.1,61.95
26465,与謝郡野田川町,11078,10841,・,・,・,・
26465,与謝郡与謝野町,・,・,23454,21834,201.5,108.38
26212,中郡峰山町,13564,・,・,・,・,・
26212,中郡大宮町,10805,・,・,・,・,・
26212,竹野郡網野町,16056,・,・,・,・,・
26212,竹野郡丹後町,7164,・,・,・,・,・
26212,竹野郡弥栄町,6132,・,・,・,・,・
26212,熊野郡久美浜町,11857,・,・,・,・,・
