地域コード,地域,基準人口_総人口(人),基準人口_男(人),基準人口_女(人),2015年推計人口_総人口(人),2015年推計人口_男(人),2015年推計人口_女(人),2020年推計人口_総人口(人),2020年推計人口_男(人),2020年推計人口_女(人),2025年推計人口_総人口(人),2025年推計人口_男(人),2025年推計人口_女(人),2030年推計人口_総人口(人),2030年推計人口_男(人),2030年推計人口_女(人),2035年推計人口_総人口(人),2035年推計人口_男(人),2035年推計人口_女(人),2040年推計人口_総人口(人),2040年推計人口_男(人),2040年推計人口_女(人),基準人口_0〜14歳(人),基準人口_15〜64歳(人),基準人口_65歳以上(人),2015年推計人口_0〜14歳(人),2015年推計人口_15〜64歳(人),2015年推計人口_65歳以上(人),2020年推計人口_0〜14歳(人),2020年推計人口_15〜64歳(人),2020年推計人口_65歳以上(人),2025年推計人口_0〜14歳(人),2025年推計人口_15〜64歳(人),2025年推計人口_65歳以上(人),2030年推計人口_0〜14歳(人),2030年推計人口_15〜64歳(人),2030年推計人口_65歳以上(人),2035年推計人口_0〜14歳(人),2035年推計人口_15〜64歳(人),2035年推計人口_65歳以上(人),2040年推計人口_0〜14歳(人),2040年推計人口_15〜64歳(人),2040年推計人口_65歳以上(人)
26000,京都府,2636092,1265387,1370705,2614519,1252298,1362221,2566846,1226376,1340470,2499460,1190793,1308667,2418108,1148967,1269141,2325138,1102557,1222581,2223586,1053553,1170033,335449,1683691,616952,317561,1566229,730729,293222,1504939,768685,266664,1463071,769725,241986,1404457,771665,226608,1317495,781035,215212,1199230,809144
26100,京都市,1474015,701088,772927,1472803,698558,774245,1453125,687480,765645,1421963,670845,751118,1382430,650522,731908,1335272,626908,708364,1281381,600478,680903,171989,961854,340171,164234,901782,406787,153275,871364,428486,140226,849838,431899,127217,816458,438755,118790,765936,450546,111654,698660,471067
26101,京都市北区,122037,58053,63984,121131,57370,63761,118770,56089,62681,115620,54484,61136,112016,52733,59283,107867,50725,57142,103103,48438,54665,13537,78645,29855,12645,73227,35259,11588,70131,37051,10480,67596,37544,9463,64112,38441,8870,59567,39430,8378,54200,40525
26102,京都市上京区,83264,38404,44860,83191,38261,44930,82125,37729,44396,80736,37074,43662,79091,36307,42784,77104,35368,41736,74677,34197,40480,7777,54441,21046,7870,51641,23680,7551,50645,23929,7027,49981,23728,6509,48741,23841,6192,46635,24277,5856,43429,25392
26103,京都市左京区,168802,81838,86964,168582,81477,87105,166457,80405,86052,163388,78933,84455,159642,77165,82477,154963,74941,80022,149251,72228,77023,17577,111118,40107,17424,103396,47762,16641,99444,50372,15312,97002,51074,14000,94100,51542,13229,89175,52559,12515,82506,54230
26104,京都市中京区,105306,48686,56620,106275,48966,57309,105499,48488,57011,103877,47612,56265,101565,46442,55123,98574,44949,53625,94952,43150,51802,10534,69873,24899,10806,66403,29066,10500,64679,30320,9724,63440,30713,8766,61134,31665,8107,57416,33051,7561,52251,35140
26105,京都市東山区,40528,17138,23390,38866,16435,22431,36982,15593,21389,35028,14706,20322,33104,13827,19277,31157,12945,18212,29189,12048,17141,2853,25519,12156,2654,22807,13405,2402,21309,13271,2183,20271,12574,1988,19147,11969,1863,17846,11448,1724,16188,11277
26110,京都市山科区,136045,64866,71179,135983,64473,71510,134207,63235,70972,131092,61309,69783,126972,58911,68061,122139,56270,65869,116912,53553,63359,16834,87385,31825,15722,80435,39826,14427,77509,42271,13066,75557,42469,11751,72269,42952,10896,67041,44202,10251,60176,46485
26106,京都市下京区,79287,36727,42560,81954,38060,43894,82847,38528,44319,83178,38729,44449,83050,38704,44346,82427,38422,44005,81270,37855,43415,7508,53659,18120,8004,53567,20383,8163,53973,20711,7949,54584,20645,7425,54527,21098,6963,53220,22244,6457,50196,24617
26107,京都市南区,98744,49350,49394,98780,49449,49331,97661,48902,48759,95853,47991,47862,93539,46813,46726,90760,45378,45382,87513,43704,43809,12104,65731,20909,11748,62439,24593,11288,60496,25877,10473,59605,25775,9706,57723,26110,9231,54881,26648,8773,50886,27854
