地域コード,地域,2010年_人口(人),2015年_人口(人),2010年〜2015年の増加数(人),2010年〜2015年の増加率(%),2015年_面積(k㎡),2015年_人口密度(1k㎡当たり)
26000,京都府,2186952,2181169,-5783,-0.3,263.34,8282.7
26100,京都市,1403631,1407087,3456,0.2,143.62,9797.3
26101,京都市北区,114407,112285,-2122,-1.9,11.2,10025.4
26102,京都市上京区,83264,85113,1849,2.2,7.03,12107.1
26103,京都市左京区,151865,151585,-280,-0.2,17.59,8617.7
26104,京都市中京区,105306,109341,4035,3.8,7.41,14755.9
26105,京都市東山区,40278,38739,-1539,-3.8,5.2,7449.8
26110,京都市山科区,129804,129242,-562,-0.4,11.99,10779.1
26106,京都市下京区,79287,82668,3381,4.3,6.78,12192.9
26107,京都市南区,98051,99130,1079,1.1,14.2,6981
26108,京都市右京区,191654,193425,1771,0.9,16.78,11527.1
26111,京都市西京区,140419,139079,-1340,-1.0,14.9,9334.2
26111,京都市西京区Ⅰ,96764,97749,985,1.0,9.44,10354.8
26111,京都市西京区Ⅱ,43655,41330,-2325,-5.3,5.46,7569.6
26109,京都市伏見区,269296,266480,-2816,-1.0,30.54,8725.6
26109,京都市伏見区Ⅰ,242252,237863,-4389,-1.8,27.2,8745
26109,京都市伏見区Ⅱ,27044,28617,1573,5.8,3.34,8568
26201,福知山市,36731,38022,1291,3.5,12.52,3036.9
26201,福知山市Ⅰ,24865,25676,811,3.3,6.26,4101.6
26201,福知山市Ⅱ,11866,12346,480,4.0,6.26,1972.2
26202,舞鶴市,62461,58260,-4201,-6.7,17.02,3423
26202,舞鶴市Ⅰ,39546,36215,-3331,-8.4,10.72,3378.3
26202,舞鶴市Ⅱ,22915,22045,-870,-3.8,6.29,3504.8
26203,綾部市,12617,12046,-571,-4.5,3.48,3461.5
26204,宇治市,185499,180546,-4953,-2.7,22.35,8078.1
26205,宮津市,6451,5822,-629,-9.8,1.65,3528.5
26206,亀岡市,62239,61048,-1191,-1.9,8.4,7267.6
26206,亀岡市Ⅰ,62239,47611,-,-,6.62,7192
26206,亀岡市Ⅱ,-,13437,-,-,1.77,7591.5
26207,城陽市,71790,69223,-2567,-3.6,7.17,9654.5
26208,向日市,54085,53107,-978,-1.8,5.94,8940.6
26209,長岡京市,78816,78900,84,0.1,9.69,8142.4
26210,八幡市,64227,66888,2661,4.1,7.6,8801.1
26210,八幡市Ⅰ,64227,61607,-2620,-4.1,7.04,8751
26210,八幡市Ⅱ,-,5281,5281,-,0.57,9264.9
26211,京田辺市,52369,54480,2111,4.0,6.22,8758.8
26211,京田辺市Ⅰ,30688,31424,736,2.4,3.68,8539.1
26211,京田辺市Ⅱ,21681,23056,1375,6.3,2.54,9077.2
26212,京丹後市,6073,5258,-815,-13.4,1.76,2987.5
26213,南丹市,7626,7311,-315,-4.1,1.95,3749.2
26214,木津川市,32065,37648,5583,17.4,5.2,7240
26214,木津川市Ⅰ,11242,11420,178,1.6,1.91,5979.1
26214,木津川市Ⅱ,8271,7864,-407,-4.9,1.05,7489.5
26214,木津川市Ⅲ,6476,6482,6,0.1,0.83,7809.6
26214,木津川市Ⅳ,-,6387,6387,-,0.67,9532.8
26214,木津川市Ⅴ,6076,5495,-581,-9.6,0.74,7425.7
26303,大山崎町,14418,14421,3,0.0,2.9,4972.8
26322,久御山町,11666,11737,71,0.6,3.19,3679.3
26366,精華町,19107,19365,258,1.4,2.67,7252.8
26366,精華町Ⅰ,7298,7579,281,3.9,0.99,7655.6
26366,精華町Ⅱ,6471,6472,1,0.0,0.94,6885.1
26366,精華町Ⅲ,5338,5314,-24,-0.4,0.74,7181.1
