地域コード,地域,性別,総数_年齢計(人),0〜4歳(人),5〜9歳(人),10〜14歳(人),15〜19歳(人),20〜24歳(人),25〜29歳(人),30〜34歳(人),35〜39歳(人),40〜44歳(人),45〜49歳(人),50〜54歳(人),55〜59歳(人),60〜64歳(人),65〜69歳(人),70〜74歳(人),75〜79歳(人),80〜84歳(人),85〜89歳(人),90〜94歳(人),95〜99歳(人),100歳以上(人),年齢不詳(人),(再掲)15歳未満(人),(再掲)15〜64歳(人),(再掲)65歳以上(人),割合_15歳未満(%),割合_15〜64歳(%),割合_65歳以上(%)
26000,京都府,総数,2610353,97280,105169,111417,131235,147511,131935,140899,163859,196711,172296,154842,140488,159764,207567,166300,128812,101223,62605,27553,7896,1463,53528,313866,1539540,703419,12.3,60.2,27.5
26100,京都市,総数,1475183,52276,53572,56293,73312,98099,82790,83754,92902,109162,98023,87827,76541,84012,110781,89491,71053,56089,33652,14946,4330,790,45488,162141,886422,381132,11.3,62,26.7
26101,京都市北区,総数,119474,3690,4238,4476,7410,10389,5248,5251,6449,8029,7749,7313,6375,6813,8847,7096,5926,5070,3108,1482,430,68,4017,12404,71026,32027,10.7,61.5,27.7
26102,京都市上京区,総数,85113,2362,2599,2647,4619,8500,4849,4279,4893,5531,4972,4572,4103,4150,5670,4648,4104,3558,2239,1013,253,53,5499,7608,50468,21538,9.6,63.4,27.1
26103,京都市左京区,総数,168266,5659,5941,5772,9131,16172,9473,8623,9645,11168,10182,9278,8516,9332,12263,9731,7937,6717,4394,2060,620,112,5540,17372,101520,43834,10.7,62.4,26.9
26104,京都市中京区,総数,109341,3808,3687,3653,4827,7218,7682,7186,7698,8275,7625,6799,5777,5638,7176,6033,4978,4173,2398,1034,295,51,3330,11148,68725,26138,10.5,64.8,24.7
26105,京都市東山区,総数,39044,967,943,985,1874,2866,2144,2090,2266,2383,2191,2033,2005,2290,3225,2636,2279,2085,1272,565,146,30,1769,2895,22142,12238,7.8,59.4,32.8
26110,京都市山科区,総数,135471,4879,4986,5505,6431,6886,6620,7315,8492,10725,9438,7941,6752,7906,11634,9655,7092,5145,3087,1480,439,80,2983,15370,78506,38612,11.6,59.3,29.1
26106,京都市下京区,総数,82668,2805,2449,2415,2845,5467,7067,6808,6425,6513,5313,4561,3878,3794,5108,3990,3440,2966,1735,711,194,40,4144,7669,52671,18184,9.8,67.1,23.2
26107,京都市南区,総数,99927,4104,3744,3718,4300,5387,6889,6980,6917,7655,6837,6337,5337,6053,7399,5782,4547,3401,1984,788,215,45,1508,11566,62692,24161,11.8,63.7,24.5
26108,京都市右京区,総数,204262,7454,7638,8191,9718,11482,10446,11246,12846,15499,13828,12752,10829,11723,15048,12587,10314,7805,4569,2082,588,93,7524,23283,120369,53086,11.8,61.2,27
26111,京都市西京区,総数,150962,6208,6339,7086,7730,7649,7484,8358,9519,11691,10561,9311,8403,9223,11939,9560,6938,4925,2910,1099,341,63,3625,19633,89929,37775,13.3,61,25.6
