年齢,総数(人),男(人),女(人),人口性比(女性＝100)
総数,2610353,1248972,1361381,91.7
0〜4歳,97280,49926,47354,105.4
0歳,18542,9527,9015,105.7
1歳,18955,9637,9318,103.4
2歳,19550,10119,9431,107.3
3歳,19709,10083,9626,104.7
4歳,20524,10560,9964,106
5〜9歳,105169,54001,51168,105.5
5歳,20366,10496,9870,106.3
6歳,20917,10744,10173,105.6
7歳,21313,10923,10390,105.1
8歳,21182,10837,10345,104.8
9歳,21391,11001,10390,105.9
10〜14歳,111417,56853,54564,104.2
10歳,21334,10913,10421,104.7
11歳,21516,10880,10636,102.3
12歳,22592,11629,10963,106.1
13歳,22851,11667,11184,104.3
14歳,23124,11764,11360,103.6
15〜19歳,131235,66973,64262,104.2
15歳,23876,12228,11648,105
16歳,24310,12446,11864,104.9
17歳,24263,12395,11868,104.4
18歳,27386,13954,13432,103.9
19歳,31400,15950,15450,103.2
20〜24歳,147511,75026,72485,103.5
20歳,32286,16548,15738,105.1
21歳,32016,16295,15721,103.7
22歳,29721,15158,14563,104.1
23歳,27491,14034,13457,104.3
24歳,25997,12991,13006,99.9
25〜29歳,131935,65446,66489,98.4
25歳,26092,12967,13125,98.8
26歳,26169,12927,13242,97.6
27歳,26211,13136,13075,100.5
28歳,26677,13231,13446,98.4
29歳,26786,13185,13601,96.9
30〜34歳,140899,68779,72120,95.4
30歳,27162,13356,13806,96.7
31歳,28344,13744,14600,94.1
32歳,28579,13964,14615,95.5
33歳,28136,13720,14416,95.2
34歳,28678,13995,14683,95.3
35〜39歳,163859,80786,83073,97.2
35歳,30269,14847,15422,96.3
36歳,31067,15290,15777,96.9
37歳,32999,16336,16663,98
38歳,33758,16656,17102,97.4
39歳,35766,17657,18109,97.5
40〜44歳,196711,96717,99994,96.7
40歳,37291,18293,18998,96.3
41歳,39777,19532,20245,96.5
42歳,40865,20056,20809,96.4
43歳,40107,19792,20315,97.4
44歳,38671,19044,19627,97
45〜49歳,172296,84496,87800,96.2
45歳,37392,18445,18947,97.4
46歳,36608,17898,18710,95.7
47歳,35420,17459,17961,97.2
48歳,34940,16976,17964,94.5
49歳,27936,13718,14218,96.5
50〜54歳,154842,75265,79577,94.6
50歳,34456,16687,17769,93.9
51歳,31765,15418,16347,94.3
52歳,30692,14892,15800,94.3
53歳,29684,14622,15062,97.1
54歳,28245,13646,14599,93.5
55〜59歳,140488,68230,72258,94.4
55歳,28860,14128,14732,95.9
56歳,28913,14078,14835,94.9
57歳,27906,13610,14296,95.2
58歳,26811,12972,13839,93.7
59歳,27998,13442,14556,92.3
60〜64歳,159764,75795,83969,90.3
60歳,29247,14020,15227,92.1
61歳,29143,13938,15205,91.7
62歳,31058,14639,16419,89.2
63歳,33509,15860,17649,89.9
64歳,36807,17338,19469,89.1
65〜69歳,207567,97506,110061,88.6
65歳,40730,19335,21395,90.4
66歳,47629,22458,25171,89.2
67歳,47575,22321,25254,88.4
68歳,44830,20917,23913,87.5
69歳,26803,12475,14328,87.1
70〜74歳,166300,76712,89588,85.6
70歳,27489,12733,14756,86.3
71歳,35569,16574,18995,87.3
72歳,34101,15767,18334,86
73歳,35321,16252,19069,85.2
74歳,33820,15386,18434,83.5
75〜79歳,128812,57399,71413,80.4
75歳,28280,12900,15380,83.9
76歳,23599,10661,12938,82.4
77歳,25345,11280,14065,80.2
78歳,25777,11460,14317,80
79歳,25811,11098,14713,75.4
80〜84歳,101223,41254,59969,68.8
80歳,22802,9836,12966,75.9
81歳,21585,8989,12596,71.4
82歳,20215,8182,12033,68
83歳,19227,7582,11645,65.1
84歳,17394,6665,10729,62.1
85〜89歳,62605,21408,41197,52
85歳,14999,5547,9452,58.7
86歳,14162,5025,9137,55
87歳,12613,4249,8364,50.8
88歳,11072,3609,7463,48.4
89歳,9759,2978,6781,43.9
90〜94歳,27553,6495,21058,30.8
90歳,8193,2331,5862,39.8
91歳,6499,1610,4889,32.9
92歳,5309,1148,4161,27.6
93歳,4230,820,3410,24
94歳,3322,586,2736,21.4
95〜99歳,7896,1312,6584,19.9
95歳,2855,484,2371,20.4
96歳,1785,337,1448,23.3
97歳,1419,227,1192,19
98歳,1089,156,933,16.7
99歳,748,108,640,16.9
100歳以上,1463,201,1262,15.9
年齢不詳,53528,28392,25136,-
