種別,性別,1995年(人),2000年(人),2005年(人),2010年(人),2015年(人),2015年_15〜19歳(人),2015年_20〜29歳(人),2015年_30〜39歳(人),2015年_40〜49歳(人),2015年_50〜59歳(人),2015年_60歳以上(人)
総数,総数,2229443,2269506,2285797,2259521,2242959,131235,279446,304758,369007,295330,863183
未婚,総数,678837,677154,673636,657595,641418,128748,221495,110274,85882,42083,52936
有配偶,総数,1292342,1302729,1289725,1266495,1241323,494,39878,174234,248147,216013,562557
死別,総数,173321,176388,182941,186011,189166,14,90,374,2004,6378,180306
離別,総数,64695,78404,97516,107457,113338,39,2044,10847,25468,25749,49191
総数,男,1070280,1084875,1087398,1070978,1059800,66973,140472,149565,181213,143495,378082
未婚,男,366569,362975,359610,351663,340373,65766,114555,60610,49062,24785,25595
有配偶,男,645888,651250,643830,631804,617796,185,16494,80099,118573,104675,297770
死別,男,25949,27379,28962,31162,31967,9,38,103,470,1308,30039
離別,男,21575,26690,34097,38644,39825,19,592,3402,8373,9604,17835
総数,女,1159163,1184631,1198399,1188543,1183159,64262,138974,155193,187794,151835,485101
未婚,女,312268,314179,314026,305932,301045,62982,106940,49664,36820,17298,27341
有配偶,女,646454,651479,645895,634691,623527,309,23384,94135,129574,111338,264787
死別,女,147372,149009,153979,154849,157199,5,52,271,1534,5070,150267
離別,女,43120,51714,63419,68813,73513,20,1452,7445,17095,16145,31356
