西暦,和暦,年齢階級,人口総数_15歳以上(人),労働力人口(人),就業者_男女計(人),就業者_男(人),就業者_女(人),完全失業者_男女計(人),完全失業者_男(人),完全失業者_女(人),非労働力人口_男女計(人),非労働力人口_男(人),非労働力人口_女(人)
1990年,平成2年,総数,2143444,1310827,1273483,764864,508619,37344,24296,13048,806247,226185,580062
1995年,平成7年,総数,2229443,1376518,1315528,782909,532619,60990,38615,22375,832461,235907,596554
2000年,平成12年,総数,2269506,1335672,1270485,745478,525007,65187,41016,24171,859067,253411,605656
2005年,平成17年,総数,2285797,1328122,1248020,715838,532182,80102,52058,28044,866299,263274,603025
2010年,平成22年,総数,2259521,1300144,1219370,687458,531912,80774,53349,27425,837368,272285,565083
2015年,平成27年,15〜19歳,130780,20519,18479,8968,9511,2040,1206,834,107136,54977,52159
2015年,平成27年,20〜24歳,158153,94026,85850,41709,44141,8176,4741,3435,57290,30936,26354
2015年,平成27年,25〜29歳,148125,118423,108468,56653,51815,9955,5850,4105,19558,5177,14381
2015年,平成27年,30〜34歳,166881,130856,121916,69492,52424,8940,5368,3572,26600,2626,23974
2015年,平成27年,35〜39歳,198650,154919,145354,84888,60466,9565,5841,3724,33830,2492,31338
2015年,平成27年,40〜44歳,172942,138479,130687,73825,56862,7792,4766,3026,26205,2341,23864
2015年,平成27年,45〜49歳,156165,127603,121518,66818,54700,6085,3790,2295,21627,2129,19498
2015年,平成27年,50〜54歳,142366,115499,110268,61067,49201,5231,3532,1699,21537,2205,19332
2015年,平成27年,55〜59歳,163431,123049,116629,66553,50076,6420,4735,1685,34607,4147,30460
2015年,平成27年,60〜64歳,216319,133020,123866,73730,50136,9154,7260,1894,74440,18209,56231
2015年,平成27年,65歳以上,605709,143751,136335,83755,52580,7416,6260,1156,414538,147046,267492
