西暦,和暦,年齢階級,性別,総数(人),卒業者総数(人),小学校・中学校(高小含む)の卒業者(人),旧青年学校の卒業者(人),高校・旧中の卒業者(人),短大・高専の卒業者(人),大学・大学院の卒業者(人),在学者(人),未就学者(人)
1980年,昭和55年,総数,男女計,1951019,1723262,605105,47910,765430,121118,180232,221166,6591
1990年,平成2年,総数,男女計,2143444,1868179,501529,…,851840,188367,251955,270809,4456
2000年,平成12年,総数,男女計,2269506,2029366,404007,…,879835,256532,340443,236124,4016
2010年,平成22年,総数,男女計,2259521,2049641,271153,…,753151,273175,412143,206466,3249
2010年,平成22年,15〜19歳,男女計,130780,10927,3040,…,7886,-,-,119661,154
2010年,平成22年,20〜24歳,男女計,158153,82456,4798,…,28402,16702,19633,75558,129
2010年,平成22年,25〜29歳,男女計,148125,141712,5698,…,33810,24358,49697,6287,105
2010年,平成22年,30〜34歳,男女計,166881,164617,6051,…,43762,35059,50892,2136,118
2010年,平成22年,35〜39歳,男女計,198650,197459,8632,…,62072,44410,50133,1014,163
2010年,平成22年,40〜44歳,男女計,172942,172240,8469,…,60246,35466,41085,545,145
2010年,平成22年,45〜49歳,男女計,156165,155660,6658,…,56858,29802,39541,336,160
2010年,平成22年,50〜54歳,男女計,142366,142013,6567,…,51907,25013,39025,209,139
2010年,平成22年,55〜59歳,男女計,163431,163047,15746,…,69728,19285,34903,168,203
2010年,平成22年,60〜64歳,男女計,216319,215891,33923,…,97394,17272,33469,172,246
2010年,平成22年,65〜69歳,男女計,176653,176189,41285,…,76060,8202,20193,129,328
2010年,平成22年,70〜74歳,男女計,142861,142467,39025,…,58741,5427,13322,77,310
2010年,平成22年,75〜79歳,男女計,120796,120434,34838,…,48485,3923,10954,79,277
2010年,平成22年,80〜84歳,男女計,87049,86688,25766,…,34060,4868,6024,82,276
2010年,平成22年,85歳以上,男女計,78350,77841,30657,…,23740,3388,3272,13,496
2010年,平成22年,総数,男,1070978,960000,120676,…,341935,66486,270695,109638,1244
2010年,平成22年,15〜19歳,男,66839,6180,1635,…,4545,-,-,60561,76
2010年,平成22年,20〜24歳,男,80854,38400,2509,…,15051,4870,9339,42394,53
2010年,平成22年,25〜29歳,男,72896,68701,3310,…,17983,7188,25613,4133,50
2010年,平成22年,30〜34歳,男,82568,81222,3709,…,23948,9414,28850,1276,66
2010年,平成22年,35〜39歳,男,98234,97646,5269,…,32839,11713,30902,512,68
2010年,平成22年,40〜44歳,男,85158,84854,5168,…,29902,8475,27203,229,68
2010年,平成22年,45〜49歳,男,76198,75988,4080,…,26977,6043,27305,119,85
2010年,平成22年,50〜54歳,男,69544,69387,3822,…,23654,4592,27399,81,73
2010年,平成22年,55〜59歳,男,78224,78051,7885,…,30019,3457,25297,75,89
2010年,平成22年,60〜64歳,男,103225,103016,16097,…,42135,3338,25620,82,121
2010年,平成22年,65〜69歳,男,83731,83521,18897,…,33220,1667,15876,60,146
2010年,平成22年,70〜74歳,男,66115,65968,16878,…,25658,1269,10732,32,112
2010年,平成22年,75〜79歳,男,52979,52843,14521,…,18762,1082,9123,39,93
2010年,平成22年,80〜84歳,男,34059,33946,9638,…,11583,2111,4981,40,72
2010年,平成22年,85歳以上,男,20354,20277,7258,…,5659,1267,2455,5,72
2010年,平成22年,総数,女,1188543,1089641,150477,…,411216,206689,141448,96828,2005
2010年,平成22年,15〜19歳,女,63941,4747,1405,…,3341,-,-,59100,78
2010年,平成22年,20〜24歳,女,77299,44056,2289,…,13351,11832,10294,33164,76
2010年,平成22年,25〜29歳,女,75229,73011,2388,…,15827,17170,24084,2154,55
2010年,平成22年,30〜34歳,女,84313,83395,2342,…,19814,25645,22042,860,52
2010年,平成22年,35〜39歳,女,100416,99813,3363,…,29233,32697,19231,502,95
2010年,平成22年,40〜44歳,女,87784,87386,3301,…,30344,26991,13882,316,77
2010年,平成22年,45〜49歳,女,79967,79672,2578,…,29881,23759,12236,217,75
2010年,平成22年,50〜54歳,女,72822,72626,2745,…,28253,20421,11626,128,66
2010年,平成22年,55〜59歳,女,85207,84996,7861,…,39709,15828,9606,93,114
2010年,平成22年,60〜64歳,女,113094,112875,17826,…,55259,13934,7849,90,125
2010年,平成22年,65〜69歳,女,92922,92668,22388,…,42840,6535,4317,69,182
2010年,平成22年,70〜74歳,女,76746,76499,22147,…,33083,4158,2590,45,198
2010年,平成22年,75〜79歳,女,67817,67591,20317,…,29723,2841,1831,40,184
2010年,平成22年,80〜84歳,女,52990,52742,16128,…,22477,2757,1043,42,204
2010年,平成22年,85歳以上,女,57996,57564,23399,…,18081,2121,817,8,424
