地域コード,地域,総数(人),農林漁業者(人),農林漁業雇用者(人),会社団体役員(人),商店主(人),工場主(人),サービス・その他の事業主(人),専門職業者(人),技術者(人),教員・宗教家(人),文筆家・芸術家・芸能家(人),管理職(人),事務職(人),販売人(人),技能者(人),労務作業者(人),個人サービス人(人),保安職(人),内職者(人),学生生徒(人),家事従事者(人),その他の15歳以上非就業者(人),分類不能(人)
26000,京都府,2254150,19990,2690,23520,13970,13810,17340,30130,82500,56620,19480,4250,213920,157190,223380,69630,136050,25100,4770,164290,364990,386960,223570
26100,京都市,1263570,3130,470,14370,8970,8330,10070,20910,44970,29860,13040,2200,119310,91970,110420,36790,82500,9670,2650,98480,190730,202160,162560
26101,京都市北区,103250,430,30,1470,820,870,800,1820,3040,3020,960,120,9300,7300,7710,2790,7140,740,340,11280,14910,16010,12350
26102,京都市上京区,72620,10,-,920,800,680,590,1690,2600,2010,820,140,7380,5200,5190,1760,5070,670,190,7990,10140,10940,7820
26103,京都市左京区,144990,160,80,1960,1280,680,1050,6000,5510,4150,2320,260,12960,9430,8030,3160,10040,880,250,16580,22500,22540,15180
26104,京都市中京区,86730,-,20,1340,950,720,1000,2340,3390,1920,1310,210,9400,7540,6020,2240,6290,590,160,5870,12370,11880,11160
26105,京都市東山区,36890,-,10,490,590,290,460,510,930,940,370,50,2640,2610,2310,850,3510,180,50,3170,5030,6680,5230
26110,京都市山科区,117920,240,40,1120,760,790,950,1470,4410,2120,880,180,10460,9040,11620,3470,7800,910,320,7610,17680,20880,15170
26106,京都市下京区,68980,60,10,1020,720,560,580,1230,2410,1550,770,130,7900,5940,4720,1570,4680,450,120,4270,8530,9240,12520
26107,京都市南区,86380,290,50,660,650,740,670,560,2960,1390,610,90,7620,6430,10230,3390,4960,810,90,4780,12770,16000,10640
26108,京都市右京区,174680,590,100,1850,900,1110,1310,1360,6460,3750,2030,280,16460,13710,17950,5090,12320,1240,460,12000,27370,27690,20660
26111,京都市西京区,129330,470,40,1630,540,820,1030,2150,5500,3530,1300,300,13390,10040,11930,3860,7120,1080,260,9340,21630,19980,13400
26109,京都市伏見区,241790,890,90,1920,960,1070,1620,1770,7770,5500,1660,430,21800,14740,24720,8630,13560,2130,400,15580,37810,40310,38430
26201,福知山市,67460,1940,130,690,440,300,860,340,2400,2240,200,210,5920,4240,9830,2640,4030,1620,150,2980,10480,12150,3700
26202,舞鶴市,75930,1380,230,740,360,530,530,480,2150,1920,250,170,5520,4040,8560,2940,3900,4540,30,4200,13340,13350,6780
26203,綾部市,31090,1170,60,260,210,190,170,170,1230,840,100,80,2690,1270,4460,1180,1590,260,120,1310,5470,7380,840
26204,宇治市,161350,230,50,1570,780,870,1010,1710,6000,3950,1320,260,15680,11770,16870,4140,7810,2360,310,10550,28650,30060,15380
26205,宮津市,17670,620,90,180,270,110,190,70,410,590,50,60,1380,950,1800,700,1360,230,60,780,2740,3660,1370
26206,亀岡市,78970,1430,210,640,460,490,670,540,2930,2040,430,130,7660,5870,9510,3050,4660,1020,280,5890,12920,12540,5570
26207,城陽市,69500,310,110,740,300,390,600,460,2340,1960,530,210,6630,4770,7740,2200,3840,790,90,4510,12610,13330,5030
26208,向日市,45900,190,-,480,310,280,330,620,1860,1000,350,70,5110,3780,5210,1540,2390,390,70,2730,8530,8960,1670
26209,長岡京市,67700,270,30,570,200,230,420,940,3810,1830,700,130,8240,5470,7040,1630,3690,500,90,4020,13550,13170,1160
26210,八幡市,63140,510,70,580,200,310,390,570,2250,1290,430,120,5870,4450,6780,2370,2810,500,40,3540,12960,12450,4640
26211,京田辺市,57330,570,10,530,160,260,310,820,2320,1580,420,140,6110,3830,5090,1400,3000,470,40,8150,9690,8860,3590
26212,京丹後市,50170,2200,350,480,270,370,490,220,1630,1700,270,90,3740,2350,8060,1990,3800,580,240,2340,6630,11250,1130
26213,南丹市,31280,1490,270,190,140,170,260,170,1020,950,200,70,2540,1450,3650,950,1800,330,160,3210,4990,6030,1260
26214,木津川市,57190,930,50,540,300,230,250,1050,2940,1680,420,40,6560,4170,4240,1870,2580,740,40,4350,11330,9030,3860
26303,乙訓郡大山崎町,12930,50,-,130,60,70,60,90,540,420,180,30,1510,860,1440,450,640,110,10,810,2480,2610,370
26322,久世郡久御山町,13560,610,50,130,90,120,80,60,390,240,80,30,1220,730,2000,690,620,80,50,730,2160,2430,970
26343,綴喜郡井手町,7380,70,10,70,20,70,40,20,150,180,20,20,650,320,810,280,320,40,-,420,1430,1660,770
26344,綴喜郡宇治田原町,8500,290,100,70,40,80,60,30,360,230,50,30,880,430,1420,370,370,70,20,740,1240,1430,200
26364,相楽郡笠置町,1500,10,10,20,10,10,20,10,30,30,10,-,130,60,140,60,110,20,-,90,290,440,-
26365,相楽郡和束町,4080,470,10,30,30,50,30,20,80,90,20,10,300,150,400,90,200,20,10,230,760,950,140
26366,相楽郡精華町,29060,420,20,300,100,60,150,700,1610,890,200,70,3670,2470,2120,850,1480,360,40,2290,5610,4530,1120
26367,相楽郡南山城村,2810,230,20,-,-,10,10,10,70,80,20,10,230,130,320,80,210,20,-,100,540,680,20
26407,船井郡京丹波町,14090,1000,140,90,100,80,140,30,420,400,50,40,910,560,1980,510,940,130,30,720,2550,2980,280
26463,与謝郡伊根町,2180,200,90,10,10,20,20,-,40,50,-,10,150,70,150,90,160,10,10,90,510,480,10
26465,与謝郡与謝野町,19840,270,100,130,110,190,190,80,560,580,140,40,1320,1010,3340,750,1230,240,240,1020,2780,4380,1140
