地域コード,地域,増減数_男女計(人),自然動態増減数_男女計(人),出生_男女計(人),出生_男(人),出生_女(人),死亡_男女計(人),死亡_男(人),死亡_女(人),社会動態増減数_男女計(人),転入_男女計(人),転入_男(人),転入_女(人),転出_男女計(人),転出_男(人),転出_女(人)
26000,京都府,-5644,-6142,19905,10216,9689,26047,13171,12876,498,123801,63404,60397,123303,63961,59342
26100,京都市,-611,-2898,11300,5830,5470,14198,7167,7031,2287,83096,41489,41607,80809,41046,39763
26101,京都市北区,-150,-417,771,425,346,1188,571,617,267,5934,2935,2999,5667,2877,2790
26102,京都市上京区,78,-346,507,268,239,853,396,457,424,6414,3132,3282,5990,2934,3056
26103,京都市左京区,-589,-490,1163,599,564,1653,811,842,-99,9849,4981,4868,9948,4994,4954
26104,京都市中京区,284,-107,925,479,446,1032,517,515,391,8434,4044,4390,8043,3990,4053
26105,京都市東山区,-230,-294,239,135,104,533,236,297,64,2734,1281,1453,2670,1269,1401
26110,京都市山科区,-298,-250,1023,546,477,1273,673,600,-48,5506,2719,2787,5554,2821,2733
26106,京都市下京区,556,-111,690,329,361,801,426,375,667,7592,3649,3943,6925,3380,3545
26107,京都市南区,392,-5,955,475,480,960,503,457,397,6363,3406,2957,5966,3329,2637
26108,京都市右京区,-83,-331,1549,797,752,1880,975,905,248,9767,4814,4953,9519,4809,4710
26111,京都市西京区,-170,28,1305,645,660,1277,649,628,-198,6979,3516,3463,7177,3643,3534
26109,京都市伏見区,-401,-575,2173,1132,1041,2748,1410,1338,174,13524,7012,6512,13350,7000,6350
26201,福知山市,-705,-339,733,358,375,1072,540,532,-366,2816,1687,1129,3182,1802,1380
26202,舞鶴市,-921,-333,720,360,360,1053,549,504,-588,3690,2566,1124,4278,2842,1436
26203,綾部市,-456,-327,221,111,110,548,263,285,-129,999,526,473,1128,575,553
26204,宇治市,-1169,-298,1367,710,657,1665,864,801,-871,6302,3359,2943,7173,3807,3366
26205,宮津市,-368,-226,96,51,45,322,144,178,-142,550,271,279,692,358,334
26206,亀岡市,-663,-141,657,338,319,798,404,394,-522,2363,1245,1118,2885,1542,1343
26207,城陽市,-463,-197,552,294,258,749,397,352,-266,2310,1138,1172,2576,1286,1290
26208,向日市,216,-39,394,175,219,433,222,211,255,2305,1139,1166,2050,1067,983
26209,長岡京市,434,120,713,383,330,593,317,276,314,3564,1880,1684,3250,1767,1483
26210,八幡市,-486,-133,536,253,283,669,333,336,-353,2318,1208,1110,2671,1382,1289
26211,京田辺市,712,31,538,291,247,507,246,261,681,3211,1695,1516,2530,1357,1173
26212,京丹後市,-874,-527,335,170,165,862,438,424,-347,1111,555,556,1458,689,769
26213,南丹市,-521,-338,191,99,92,529,269,260,-183,1103,605,498,1286,712,574
26214,木津川市,1173,91,628,312,316,537,269,268,1082,3569,1761,1808,2487,1265,1222
26303,乙訓郡大山崎町,96,-30,142,68,74,172,87,85,126,774,418,356,648,354,294
26322,久世郡久御山町,14,-13,142,72,70,155,84,71,27,745,390,355,718,394,324
26343,綴喜郡井手町,-92,-41,39,20,19,80,46,34,-51,200,101,99,251,131,120
26344,綴喜郡宇治田原町,-130,-28,55,30,25,83,34,49,-102,261,150,111,363,197,166
26364,相楽郡笠置町,-62,-19,5,-,5,24,14,10,-43,18,9,9,61,24,37
26365,相楽郡和束町,-107,-58,14,7,7,72,37,35,-49,72,32,40,121,58,63
26366,相楽郡精華町,101,38,282,153,129,244,123,121,63,1438,710,728,1375,675,700
26367,相楽郡南山城村,-65,-38,4,3,1,42,22,20,-27,62,30,32,89,45,44
26407,船井郡京丹波町,-335,-185,70,36,34,255,129,126,-150,373,189,184,523,247,276
26463,与謝郡伊根町,-72,-45,7,2,5,52,22,30,-27,54,31,23,81,37,44
26465,与謝郡与謝野町,-290,-169,164,90,74,333,151,182,-121,497,220,277,618,302,316
