西暦,和暦,都道府県,総数_転入(人),総数_転出(人),1月_転入(人),1月_転出(人),2月_転入(人),2月_転出(人),3月_転入(人),3月_転出(人),4月_転入(人),4月_転出(人),5月_転入(人),5月_転出(人),6月_転入(人),6月_転出(人),7月_転入(人),7月_転出(人),8月_転入(人),8月_転出(人),9月_転入(人),9月_転出(人),10月_転入(人),10月_転出(人),11月_転入(人),11月_転出(人),12月_転入(人),12月_転出(人),転入超過数(-は転出超過)(人)
2011年,平成23年,総数,53997,53960,2826,3039,3110,3436,11213,11239,8900,8001,4176,4007,3448,3395,3315,3184,3991,4177,3324,3407,3584,3733,3062,3213,3048,3129,37
2012年,平成24年,総数,53821,54239,3081,3091,3266,3501,10883,10658,9564,8538,3891,4230,3017,3176,3537,3679,3630,3895,3054,3046,3853,4078,2867,3089,3178,3258,-418
2013年,平成25年,総数,53307,55280,2853,3246,3157,3338,10909,10556,10278,9247,3590,4047,2758,3010,3703,3997,3525,3982,3094,3656,3623,3865,2869,3023,2948,3313,-1973
2014年,平成26年,総数,53417,54591,2897,3146,3245,3571,12113,11429,9114,8638,3502,3694,2905,3335,3525,3528,3381,3693,3268,3754,3688,3757,2774,2760,3005,3286,-1174
2015年,平成27年,総数,55488,55767,2963,3045,3210,3365,12470,12262,9165,8256,3420,3631,3326,3531,3641,3702,3550,3820,3709,4091,3994,3872,2895,3002,3145,3190,-279
2015年,平成27年,北海道,817,815,39,31,52,32,236,202,168,123,47,52,27,47,19,75,45,58,54,75,64,55,38,34,28,31,2
2015年,平成27年,青森,169,113,4,6,3,2,68,24,21,13,9,6,8,6,9,6,12,19,12,16,8,4,2,2,13,9,56
2015年,平成27年,岩手,105,95,2,4,2,7,42,29,9,14,4,3,4,6,2,3,10,6,6,5,10,6,9,5,5,7,10
2015年,平成27年,宮城,375,374,19,15,20,12,100,112,70,68,21,26,19,26,21,20,25,21,25,28,23,22,15,13,17,11,1
2015年,平成27年,秋田,91,54,7,1,3,4,32,17,12,9,8,3,1,2,4,4,4,3,8,6,5,1,1,1,6,3,37
2015年,平成27年,山形,124,85,10,2,4,7,42,26,19,9,1,3,2,7,2,2,22,7,9,7,3,10,6,3,4,2,39
2015年,平成27年,福島,188,208,12,7,13,15,45,37,36,27,12,22,12,19,9,9,15,15,9,18,11,14,8,13,6,12,-20
2015年,平成27年,茨城,371,401,18,26,22,17,96,108,71,63,19,21,16,18,19,20,19,22,21,21,27,41,25,22,18,22,-30
2015年,平成27年,栃木,217,187,8,8,12,11,53,27,31,31,7,10,15,7,9,5,11,9,16,21,24,23,9,23,22,12,30
2015年,平成27年,群馬,245,172,14,9,17,13,65,24,32,27,11,12,12,6,7,21,23,12,24,12,24,15,11,9,5,12,73
2015年,平成27年,埼玉,1085,1288,53,79,45,60,252,342,204,234,73,82,66,87,71,76,77,70,68,59,83,100,30,38,63,61,-203
2015年,平成27年,千葉,1172,1369,63,67,58,81,214,365,260,229,73,92,78,81,80,81,85,78,60,88,84,79,65,78,52,50,-197
2015年,平成27年,東京,4290,6130,251,316,234,291,840,1786,772,1021,275,399,268,331,277,333,257,349,295,415,351,336,257,278,213,275,-1840
2015年,平成27年,神奈川,2343,2542,104,130,94,107,725,658,397,449,114,144,118,176,133,135,137,167,162,177,153,177,96,128,110,94,-199
2015年,平成27年,新潟,347,270,19,8,12,21,86,64,84,53,17,14,14,6,10,11,20,10,24,16,31,24,18,22,12,21,77
2015年,平成27年,富山,411,358,13,18,16,15,104,80,74,59,25,14,24,24,34,22,31,25,37,40,22,28,12,15,19,18,53
2015年,平成27年,石川,637,587,26,30,29,29,182,124,137,107,31,44,33,38,45,43,39,42,44,47,26,31,28,24,17,28,50
2015年,平成27年,福井,783,682,34,35,57,41,219,160,141,115,50,34,48,46,38,48,29,36,54,39,54,50,28,36,31,42,101
