西暦,和暦,地域コード,地域,常住人口(夜間人口)(A)_男女計(人),流出人口(B)_男女計(人),流出人口(B)_男(人),流出人口(B)_女(人),流出人口(B)_通勤_男女計(人),流出人口(B)_通勤_男(人),流出人口(B)_通勤_女(人),流出人口(B)_通学_男女計(人),流出人口(B)_通学_男(人),流出人口(B)_通学_女(人),流入人口(C)_男女計(人),流入人口(C)_男(人),流入人口(C)_女(人),流入人口(C)_通勤_男女計(人),流入人口(C)_通勤_男(人),流入人口(C)_通勤_女(人),流入人口(C)_通学_男女計(人),流入人口(C)_通学_男(人),流入人口(C)_通学_女(人),流入超過数(-は流出超過)(C)-(B)=(D)(人),昼間人口(A)+(D)(人)
1990年,平成2年,26000,京都府,2592344,731403,483993,247410,596440,410131,186309,134963,73862,61101,763788,503228,260560,589909,406431,183478,173879,96797,77082,32385,2624729
1995年,平成7年,26000,京都府,2619581,774652,501185,273467,640691,427742,212949,133961,73443,60518,791893,508407,283486,625021,417768,207253,166872,90639,76233,17241,2636822
2000年,平成12年,26000,京都府,2630037,731432,464199,267233,620102,404741,215361,111330,59458,51872,743946,466725,277221,604518,395445,209073,139428,71280,68148,12514,2642551
2005年,平成17年,26000,京都府,2630868,716023,442753,273270,617814,390566,227248,98209,52187,46022,736228,449378,286850,605821,383292,222529,130407,66086,64321,20205,2651073
2010年,平成22年,26000,京都府,2636092,642221,390458,251763,554949,344813,210136,87272,45645,41627,674500,403031,271469,553250,342847,210403,121250,60184,61066,32279,2668371
2010年,平成22年,26100,京都市,1474015,366163,215353,150810,316160,189177,126983,50003,26176,23827,491185,286013,205172,395842,239018,156824,95343,46995,48348,125022,1599037
2010年,平成22年,26101,京都市北区,122037,30180,17487,12693,25939,15341,10598,4241,2146,2095,37607,21069,16538,19641,10730,8911,17966,10339,7627,7427,129464
2010年,平成22年,26102,京都市上京区,83264,23220,12630,10590,18905,10360,8545,4315,2270,2045,37789,19889,17900,26844,15034,11810,10945,4855,6090,14569,97833
2010年,平成22年,26103,京都市左京区,168802,36921,22489,14432,31436,19486,11950,5485,3003,2482,44562,24640,19922,28265,16047,12218,16297,8593,7704,7641,176443
2010年,平成22年,26104,京都市中京区,105306,27333,14609,12724,23050,12434,10616,4283,2175,2108,77150,43375,33775,68343,38748,29595,8807,4627,4180,49817,155123
2010年,平成22年,26105,京都市東山区,40528,9166,4882,4284,7933,4209,3724,1233,673,560,24891,10253,14638,17682,8718,8964,7209,1535,5674,15725,56253
2010年,平成22年,26110,京都市山科区,136045,34580,20664,13916,30123,18347,11776,4457,2317,2140,19758,11800,7958,16954,10873,6081,2804,927,1877,-14822,121223
2010年,平成22年,26106,京都市下京区,79287,19594,10583,9011,16722,9160,7562,2872,1423,1449,75963,41057,34906,70783,38205,32578,5180,2852,2328,56369,135656
2010年,平成22年,26107,京都市南区,98744,22847,13680,9167,19625,12016,7609,3222,1664,1558,60240,43499,16741,55814,40450,15364,4426,3049,1377,37393,136137
2010年,平成22年,26108,京都市右京区,202943,51238,30068,21170,44575,26489,18086,6663,3579,3084,37912,23394,14518,30596,20362,10234,7316,3032,4284,-13326,189617
2010年,平成22年,26111,京都市西京区,152974,44920,27881,17039,39607,25139,14468,5313,2742,2571,16519,9496,7023,13563,7990,5573,2956,1506,1450,-28401,124573
2010年,平成22年,26109,京都市伏見区,284085,66164,40380,25784,58245,36196,22049,7919,4184,3735,58794,37541,21253,47357,31861,15496,11437,5680,5757,-7370,276715
2010年,平成22年,26201,福知山市,79652,5660,3879,1781,5263,3722,1541,397,157,240,10364,7358,3006,8734,6465,2269,1630,893,737,4704,84356
2010年,平成22年,26202,舞鶴市,88669,4881,3620,1261,4263,3269,994,618,351,267,4156,3119,1037,3839,2943,896,317,176,141,-725,87944
2010年,平成22年,26203,綾部市,35836,4622,3134,1488,4060,2823,1237,562,311,251,5051,3277,1774,4766,3158,1608,285,119,166,429,36265
2010年,平成22年,26204,宇治市,189609,50834,32230,18604,43761,28418,15343,7073,3812,3261,27780,16660,11120,23293,14746,8547,4487,1914,2573,-23054,166555
2010年,平成22年,26205,宮津市,19948,2424,1586,838,2190,1456,734,234,130,104,3852,2373,1479,3242,2037,1205,610,336,274,1428,21376
2010年,平成22年,26206,亀岡市,92399,21620,14350,7270,18326,12657,5669,3294,1693,1601,8491,6263,2228,7092,5212,1880,1399,1051,348,-13129,79270
2010年,平成22年,26207,城陽市,80037,25094,15739,9355,21725,13983,7742,3369,1756,1613,9794,5889,3905,8656,5283,3373,1138,606,532,-15300,64737
2010年,平成22年,26208,向日市,54328,20300,12254,8046,18098,11118,6980,2202,1136,1066,8505,4964,3541,7648,4736,2912,857,228,629,-11795,42533
2010年,平成22年,26209,長岡京市,79844,25571,16224,9347,22484,14640,7844,3087,1584,1503,19275,13097,6178,18455,12720,5735,820,377,443,-6296,73548
2010年,平成22年,26210,八幡市,74227,22777,14538,8239,19928,12958,6970,2849,1580,1269,10851,7381,3470,10556,7258,3298,295,123,172,-11926,62301
2010年,平成22年,26211,京田辺市,67910,20207,12985,7222,17230,11418,5812,2977,1567,1410,22631,12823,9808,13272,8219,5053,9359,4604,4755,2424,70334
2010年,平成22年,26212,京丹後市,59038,3746,2413,1333,3284,2187,1097,462,226,236,2156,1397,759,2108,1372,736,48,25,23,-1590,57448
2010年,平成22年,26213,南丹市,35214,6433,4117,2316,5366,3553,1813,1067,564,503,7548,4675,2873,6000,3889,2111,1548,786,762,1115,36329
2010年,平成22年,26214,木津川市,69761,22738,14314,8424,19565,12693,6872,3173,1621,1552,8303,4342,3961,7150,3747,3403,1153,595,558,-14435,55326
2010年,平成22年,26303,乙訓郡大山崎町,15121,5785,3343,2442,5027,2938,2089,758,405,353,4000,3041,959,3991,3038,953,9,3,6,-1785,13336
