地域コード,地域,総数_世帯数(世帯),総数_世帯人員(人),一般世帯_世帯数(世帯),一般世帯_1人の世帯数(世帯),一般世帯_2人の世帯数(世帯),一般世帯_3人の世帯数(世帯),一般世帯_4人の世帯数(世帯),一般世帯_5人の世帯数(世帯),一般世帯_6人の世帯数(世帯),一般世帯_7人の世帯数(世帯),一般世帯_8人の世帯数(世帯),一般世帯_9人の世帯数(世帯),一般世帯_10人以上の世帯数(世帯),一般世帯_世帯人員(人),一般世帯_1世帯当たり人員(人),施設等の世帯数(世帯),施設等の世帯人員(人)
26000,京都府,1152902,2610353,1151422,440005,312021,189690,146725,45709,12497,3647,862,188,78,2558495,2.22,1480,51858
26100,京都市,705874,1475183,705142,319562,175597,103237,76901,22327,5616,1459,340,72,31,1447317,2.05,732,27866
26101,京都市北区,56804,119474,56721,25313,14502,8190,6248,1857,472,97,33,6,3,117023,2.06,83,2451
26102,京都市上京区,46849,85113,46803,27386,8950,5268,3720,1098,288,75,15,3,-,83860,1.79,46,1253
26103,京都市左京区,83423,168266,83306,41965,18664,11226,8114,2459,656,165,45,7,5,163289,1.96,117,4977
26104,京都市中京区,59085,109341,59048,32722,12433,7029,5106,1313,329,98,12,2,4,108485,1.84,37,856
26105,京都市東山区,21381,39044,21353,12045,4894,2353,1421,463,134,32,8,2,1,38012,1.78,28,1032
26110,京都市山科区,60451,135471,60348,23104,17418,9799,7269,2070,503,146,31,8,-,131123,2.17,103,4348
26106,京都市下京区,47206,82668,47181,28310,9255,4975,3352,932,266,70,16,3,2,82077,1.74,25,591
26107,京都市南区,47094,99927,47068,20387,11983,7182,5364,1623,389,108,25,5,2,98825,2.1,26,1102
26108,京都市右京区,94525,204262,94425,39637,24390,14830,11311,3181,797,214,47,12,6,200884,2.13,100,3378
26111,京都市西京区,63109,150962,63061,19673,18495,11752,9674,2671,594,158,40,2,2,149002,2.36,48,1960
26109,京都市伏見区,125947,280655,125828,49020,34613,20633,15322,4660,1188,296,68,22,6,274737,2.18,119,5918
26201,福知山市,32170,78935,32065,10357,9605,5557,4172,1614,526,173,43,11,7,75879,2.37,105,3056
26202,舞鶴市,34709,83990,34619,11347,10666,5994,4249,1635,509,154,50,10,5,80510,2.33,90,3480
26203,綾部市,13766,33821,13734,4087,4544,2381,1616,717,273,91,16,7,2,32856,2.39,32,965
26204,宇治市,73317,184678,73218,19695,22164,14527,12088,3616,839,225,45,12,7,181186,2.47,99,3492
26205,宮津市,7738,18426,7710,2403,2683,1360,725,350,122,49,13,4,1,17724,2.3,28,702
26206,亀岡市,33915,89479,33863,8049,10224,6814,5881,2017,644,188,37,5,4,88114,2.6,52,1365
26207,城陽市,29884,76869,29837,6796,10169,6138,4748,1445,415,99,22,5,-,75169,2.52,47,1700
26208,向日市,21356,53380,21345,5433,6689,4377,3643,942,193,51,10,7,-,52882,2.48,11,498
26209,長岡京市,32491,80090,32449,9058,9758,6525,5360,1420,249,62,15,2,-,78755,2.43,42,1335
26210,八幡市,29259,72664,29238,7509,9507,5933,4436,1382,344,96,22,5,4,71975,2.46,21,689
26211,京田辺市,29693,70835,29660,10652,7191,5163,4783,1446,329,77,14,2,3,69558,2.35,33,1277
26212,京丹後市,20469,55054,20425,4881,6506,3948,2821,1333,577,267,79,9,4,53775,2.63,44,1279
26213,南丹市,12783,33145,12731,4165,3403,2198,1682,755,342,138,35,12,1,31484,2.47,52,1661
26214,木津川市,26656,72840,26624,5262,7997,5637,5468,1696,417,108,34,3,2,72098,2.71,32,742
26303,乙訓郡大山崎町,5993,15181,5987,1358,2005,1227,1030,291,59,13,2,2,-,15103,2.52,6,78
26322,久世郡久御山町,6216,15805,6212,1757,1792,1223,904,333,128,63,6,3,3,15605,2.51,4,200
26343,綴喜郡井手町,3059,7910,3058,797,923,583,481,180,65,22,7,-,-,7816,2.56,1,94
26344,綴喜郡宇治田原町,3232,9319,3228,611,926,658,580,294,115,38,5,1,-,9232,2.86,4,87
26364,相楽郡笠置町,573,1368,573,158,208,107,53,29,11,6,1,-,-,1368,2.39,-,-
26365,相楽郡和束町,1445,3956,1444,304,504,267,186,88,65,22,7,1,-,3906,2.7,1,50
26366,相楽郡精華町,12775,36376,12767,2061,3728,2888,2954,869,199,55,12,1,-,36026,2.82,8,350
26367,相楽郡南山城村,1068,2652,1068,257,400,206,113,46,29,15,2,-,-,2652,2.48,-,-
26407,船井郡京丹波町,5448,14453,5434,1309,1872,996,646,354,167,64,18,5,3,14064,2.59,14,389
26463,与謝郡伊根町,873,2110,871,254,311,148,89,40,18,8,2,1,-,2065,2.37,2,45
26465,与謝郡与謝野町,8140,21834,8120,1883,2649,1598,1116,490,246,104,25,8,1,21376,2.63,20,458
