地域コード,地域,一般世帯総数(世帯),親族のみの世帯総数(世帯),核家族世帯(世帯),核家族世帯_夫婦のみ(世帯),核家族世帯_夫婦と子供(世帯),核家族世帯_ひとり親と子供(世帯),核家族以外の世帯(世帯),核家族以外の世帯_夫婦と親(世帯),核家族以外の世帯_夫婦と子供と親(世帯),核家族以外の世帯_夫婦と他の親族(世帯),核家族以外の世帯_他に分類されない(世帯),非親族を含む世帯総数(世帯),単独世帯総数(世帯),18歳未満の世帯員のいるひとり親世帯(世帯),65歳以上の世帯員のいる夫婦のみの世帯(世帯),65歳以上の単独世帯(世帯),(再掲)3世代世帯(世帯)
26000,京都府,1151422,698974,623063,224160,298478,100425,75911,14411,29601,13457,18442,8124,440005,25993,143695,136531,46829
26100,京都市,705142,376226,339598,120308,159514,59776,36628,5510,12767,6471,11880,5712,319562,15238,74095,86310,21261
26101,京都市北区,56721,30380,27368,9795,12987,4586,3012,495,1081,542,894,345,25313,1030,6384,6786,1744
26102,京都市上京区,46803,18928,16585,6015,7667,2903,2343,364,785,383,811,265,27386,584,3870,5495,1286
26103,京都市左京区,83306,40562,36238,13210,17259,5769,4324,720,1549,770,1285,605,41965,1248,8393,9246,2514
26104,京都市中京区,59048,25789,23147,8432,10692,4023,2642,389,886,433,934,513,32722,975,4663,7488,1459
26105,京都市東山区,21353,8959,7767,3061,3030,1676,1192,161,374,187,470,179,12045,340,2041,3547,614
26110,京都市山科区,60348,36172,32997,11761,15114,6122,3175,454,1102,596,1023,539,23104,1732,7614,8424,1905
26106,京都市下京区,47181,18393,16322,6177,7170,2975,2071,283,635,368,785,402,28310,715,3231,4891,1071
26107,京都市南区,47068,25972,23472,7943,11062,4467,2500,350,773,462,915,560,20387,1153,4379,6273,1391
26108,京都市右京区,94425,53379,48147,16848,22914,8385,5232,842,1942,916,1532,781,39637,2054,10364,11409,3184
26111,京都市西京区,63061,42875,39423,13923,19933,5567,3452,602,1425,576,849,438,19673,1422,8757,6111,2235
26109,京都市伏見区,125828,74817,68132,23143,31686,13303,6685,850,2215,1238,2382,1085,49020,3985,14399,16640,3858
26201,福知山市,32065,21470,18216,7370,8232,2614,3254,896,1334,551,473,218,10357,734,4606,4021,2035
26202,舞鶴市,34619,23055,19967,7985,8784,3198,3088,801,1220,524,543,194,11347,891,5308,4712,1891
26203,綾部市,13734,9585,7915,3509,3224,1182,1670,462,674,305,229,61,4087,250,2527,2205,1033
26204,宇治市,73218,52862,48354,16704,24666,6984,4508,778,1875,883,972,379,19695,1785,11379,7698,3003
26205,宮津市,7710,5276,4349,2025,1595,729,927,296,358,141,132,31,2403,144,1442,1360,528
26206,亀岡市,33863,25497,22307,7863,11357,3087,3190,644,1460,567,519,191,8049,865,5148,3229,2182
26207,城陽市,29837,22855,20676,7797,9886,2993,2179,388,902,439,450,166,6796,764,5661,3360,1475
26208,向日市,21345,15751,14564,4953,7430,2181,1187,210,447,236,294,149,5433,571,3168,2578,750
26209,長岡京市,32449,23154,21525,7454,11221,2850,1629,293,651,304,381,197,9058,724,4733,3365,1025
26210,八幡市,29238,21472,19584,7084,9404,3096,1888,357,683,360,488,217,7509,903,4754,3576,1150
26211,京田辺市,29660,18878,17201,5637,9464,2100,1677,311,771,286,309,117,10652,670,3740,2220,1139
26212,京丹後市,20425,15477,11626,4823,4873,1930,3851,1084,1726,655,386,67,4881,394,3336,2795,2487
26213,南丹市,12731,8470,6558,2569,3054,935,1912,478,883,315,236,68,4165,175,1840,1481,1268
26214,木津川市,26624,21214,19132,6355,10510,2267,2082,433,961,360,328,144,5262,788,3964,2132,1434
26303,乙訓郡大山崎町,5987,4591,4255,1571,2122,562,336,60,133,63,80,34,1358,145,1022,629,219
26322,久世郡久御山町,6212,4367,3762,1273,1825,664,605,114,265,112,114,33,1757,203,904,716,405
26343,綴喜郡井手町,3058,2238,1883,652,898,333,355,53,162,72,68,22,797,81,478,400,257
26344,綴喜郡宇治田原町,3228,2609,2081,727,1101,253,528,85,286,93,64,8,611,53,484,289,390
26364,相楽郡笠置町,573,411,327,162,111,54,84,26,41,10,7,4,158,5,128,115,52
26365,相楽郡和束町,1444,1133,802,388,281,133,331,81,170,55,25,7,304,12,302,216,236
26366,相楽郡精華町,12767,10649,9564,2992,5514,1058,1085,200,537,196,152,56,2061,348,1837,868,768
26367,相楽郡南山城村,1068,803,603,334,189,80,200,63,87,32,18,4,257,10,243,179,125
26407,船井郡京丹波町,5434,4100,3061,1441,1144,476,1039,293,484,159,103,24,1309,59,1094,854,673
26463,与謝郡伊根町,871,614,421,225,111,85,193,66,81,23,23,3,254,4,179,164,115
26465,与謝郡与謝野町,8120,6217,4732,1959,1968,805,1485,429,643,245,168,18,1883,177,1323,1059,928
