地域コード,地域,総数(世帯),農林漁業就業者世帯(世帯),農林漁業就業者世帯_業主世帯(世帯),農林漁業就業者世帯_雇用者世帯(世帯),農林漁業・非農林漁業就業者混合世帯(世帯),農林漁業・非農林漁業就業者混合世帯_農林漁業・業主混合世帯(世帯),農林漁業・非農林漁業就業者混合世帯_農林漁業・雇用者混合世帯(世帯),農林漁業・非農林漁業就業者混合世帯_非農林漁業・業主混合世帯(世帯),農林漁業・非農林漁業就業者混合世帯_非農林漁業・雇用者混合世帯(世帯),非農林漁業就業者世帯(世帯),非農林漁業就業者世帯_業主世帯(世帯),非農林漁業就業者世帯_雇用者世帯(世帯),非農林漁業就業者世帯_世帯の主な就業者が業主(世帯),非農林漁業就業者世帯_世帯の主な就業者が雇用者(世帯),非就業者世帯(世帯),分類不能の世帯(世帯)
26000,京都府,1120440,8975,7318,1657,8763,5291,1252,335,1885,666143,60894,557647,34322,13280,362807,73752
26100,京都市,680634,1831,1308,523,1772,1028,318,82,344,382686,38325,316213,20770,7378,241809,52536
26101,京都市北区,56315,253,186,67,219,115,41,14,49,30101,3576,23727,2059,739,21967,3775
26102,京都市上京区,43348,25,10,15,31,10,8,-,13,23632,2817,19037,1323,455,16702,2958
26103,京都市左京区,81941,217,131,86,179,88,40,11,40,43721,4554,36009,2202,956,32891,4933
26104,京都市中京区,55734,29,12,17,34,8,13,2,11,30217,3670,24314,1693,540,21953,3501
26105,京都市東山区,21057,14,8,6,9,2,3,1,3,10786,1828,8083,655,220,8468,1780
26110,京都市山科区,58237,144,98,46,160,102,24,5,29,35108,3463,28777,2180,688,18462,4363
26106,京都市下京区,43515,22,7,15,22,9,7,-,6,22751,2449,18960,999,343,15744,4976
26107,京都市南区,44972,129,108,21,122,89,11,3,19,25982,2140,22135,1275,432,14383,4356
26108,京都市右京区,90718,413,286,127,378,217,94,12,55,52606,5100,43455,3017,1034,30379,6942
26111,京都市西京区,61342,224,177,47,244,159,36,9,40,39088,3223,33076,2019,770,17631,4155
26109,京都市伏見区,123455,361,285,76,374,229,41,25,79,68694,5505,58640,3348,1201,43229,10797
26201,福知山市,30790,935,836,99,781,491,91,33,166,19841,1617,16926,875,423,7854,1379
26202,舞鶴市,35395,555,476,79,549,275,89,26,159,21910,1815,18816,883,396,9858,2523
26203,綾部市,13988,615,553,62,391,276,28,16,71,8414,739,7055,413,207,4261,307
26204,宇治市,72817,186,133,53,189,65,45,9,70,45711,3297,39448,2073,893,21523,5208
26205,宮津市,8165,263,225,38,235,152,34,5,44,4764,643,3742,260,119,2485,418
26206,亀岡市,33589,518,424,94,692,391,107,22,172,22361,1639,18907,1292,523,8170,1848
26207,城陽市,29930,168,127,41,227,125,29,7,66,19823,1436,17092,909,386,8296,1416
26208,向日市,21267,106,91,15,81,59,10,3,9,14790,1029,12821,681,259,5542,748
26209,長岡京市,31486,127,102,25,118,69,15,3,31,22244,1477,19527,872,368,8553,444
26210,八幡市,28782,175,147,28,187,131,22,3,31,18451,1188,16291,671,301,8129,1840
26211,京田辺市,27821,183,165,18,233,162,16,7,48,16452,918,14685,537,312,9768,1185
26212,京丹後市,20652,915,791,124,913,546,114,48,205,13329,2084,9594,1157,494,4947,548
26213,南丹市,12646,567,429,138,677,395,122,21,139,7109,763,5646,513,187,3872,421
26214,木津川市,24370,363,323,40,376,286,26,7,57,16516,991,14622,585,318,5810,1305
26303,乙訓郡大山崎町,5747,19,16,3,22,15,1,1,5,3986,249,3464,201,72,1588,132
26322,久世郡久御山町,5868,161,147,14,199,137,9,8,45,3834,339,3226,190,79,1383,291
26343,綴喜郡井手町,3109,35,32,3,36,23,6,-,7,1765,152,1507,89,17,1004,269
26344,綴喜郡宇治田原町,3095,153,89,64,119,87,16,5,11,2249,192,1854,152,51,528,46
26364,相楽郡笠置町,631,9,6,3,7,5,-,-,2,368,42,292,30,4,246,1
26365,相楽郡和束町,1508,145,143,2,105,92,4,1,8,776,98,602,52,24,446,36
26366,相楽郡精華町,12105,140,129,11,144,102,11,4,27,9043,517,8050,301,175,2402,376
26367,相楽郡南山城村,1128,88,73,15,51,28,7,2,14,649,49,554,30,16,331,9
26407,船井郡京丹波町,5650,447,370,77,382,207,58,9,108,3172,374,2527,204,67,1544,105
26463,与謝郡伊根町,936,129,86,43,112,54,39,5,14,386,52,285,38,11,307,2
26465,与謝郡与謝野町,8331,142,97,45,165,90,35,8,32,5514,869,3901,544,200,2151,359
