地域コード,地域,世帯数_2011年(世帯),世帯数_2012年(世帯),世帯数_2013年(世帯),世帯数_2014年(世帯),世帯数_2015年(世帯),世帯数_2016年(世帯),1世帯当たり人員_2011年(人),1世帯当たり人員_2012年(人),1世帯当たり人員_2013年(人),1世帯当たり人員_2014年(人),1世帯当たり人員_2015年(人),1世帯当たり人員_2016年(人)
26000,京都府,1128531,1132313,1138778,1145817,1152902,1162255,2.33,2.32,2.3,2.28,2.26,2.24
26100,京都市,686248,689063,694432,700124,705874,711558,2.15,2.14,2.12,2.11,2.09,2.07
26101,京都市北区,56488,56262,56393,56621,56804,57061,2.15,2.15,2.13,2.11,2.1,2.09
26102,京都市上京区,44200,44779,45404,46155,46849,47250,1.89,1.88,1.86,1.83,1.82,1.8
26103,京都市左京区,82439,82568,82965,83104,83423,84177,2.05,2.04,2.03,2.03,2.02,2
26104,京都市中京区,56610,56993,57587,58606,59085,60079,1.88,1.88,1.87,1.86,1.85,1.84
26105,京都市東山区,21242,21154,21223,21278,21381,21239,1.9,1.89,1.87,1.85,1.83,1.81
26110,京都市山科区,58698,58554,59287,59862,60451,60696,2.32,2.32,2.29,2.26,2.24,2.23
26106,京都市下京区,44447,45091,45740,46441,47206,47435,1.8,1.79,1.78,1.76,1.75,1.74
26107,京都市南区,45051,45335,45881,46463,47094,47968,2.19,2.19,2.16,2.14,2.12,2.1
26108,京都市右京区,91614,92322,93177,93779,94525,95297,2.22,2.21,2.19,2.18,2.16,2.14
26111,京都市西京区,61380,61876,62152,62611,63109,63437,2.48,2.46,2.44,2.42,2.39,2.37
26109,京都市伏見区,124079,124129,124623,125204,125947,126919,2.29,2.28,2.26,2.24,2.23,2.21
26201,福知山市,31256,31572,31809,32115,32170,32313,2.55,2.53,2.5,2.47,2.45,2.43
26202,舞鶴市,35299,35080,35022,34871,34709,34627,2.49,2.47,2.45,2.44,2.42,2.39
26203,綾部市,13947,13957,13895,13805,13766,13812,2.54,2.51,2.5,2.48,2.46,2.42
26204,宇治市,73374,73316,73359,73335,73317,73697,2.58,2.57,2.56,2.54,2.52,2.49
26205,宮津市,8095,8001,7924,7824,7738,7740,2.43,2.42,2.41,2.4,2.38,2.34
26206,亀岡市,33870,34053,33957,33986,33915,34140,2.72,2.69,2.67,2.65,2.64,2.6
26207,城陽市,29985,29905,29822,29905,29884,29959,2.65,2.63,2.62,2.59,2.57,2.55
26208,向日市,21203,21146,21156,21195,21356,22009,2.54,2.53,2.52,2.51,2.5,2.47
26209,長岡京市,31649,31702,32020,32128,32491,32733,2.52,2.51,2.5,2.48,2.46,2.45
26210,八幡市,28949,28997,29115,29170,29259,29542,2.56,2.54,2.53,2.51,2.48,2.45
26211,京田辺市,28132,28552,28711,29277,29693,30305,2.43,2.43,2.42,2.4,2.39,2.36
26212,京丹後市,20609,20610,20594,20560,20469,20498,2.83,2.79,2.75,2.72,2.69,2.65
26213,南丹市,12718,12657,12868,12836,12783,12905,2.74,2.72,2.66,2.63,2.59,2.55
26214,木津川市,24878,25208,25545,25947,26656,27311,2.84,2.82,2.79,2.77,2.73,2.7
26303,乙訓郡大山崎町,5769,5844,5880,5950,5993,6160,2.6,2.58,2.56,2.53,2.53,2.49
26322,久世郡久御山町,5899,5965,6045,6098,6216,6235,2.69,2.65,2.62,2.58,2.54,2.52
26343,綴喜郡井手町,3109,3095,3066,3066,3059,3027,2.68,2.65,2.65,2.62,2.59,2.56
26344,綴喜郡宇治田原町,3124,3143,3187,3228,3232,3265,3.09,3.04,2.99,2.93,2.88,2.82
26364,相楽郡笠置町,620,612,600,591,573,557,2.56,2.5,2.45,2.42,2.39,2.37
26365,相楽郡和束町,1509,1498,1495,1480,1445,1437,2.91,2.87,2.81,2.75,2.74,2.7
26366,相楽郡精華町,12251,12346,12441,12634,12775,12924,2.93,2.91,2.9,2.87,2.85,2.81
26367,相楽郡南山城村,1114,1117,1101,1091,1068,1084,2.68,2.64,2.57,2.51,2.48,2.4
26407,船井郡京丹波町,5636,5614,5594,5517,5448,5441,2.76,2.74,2.7,2.68,2.65,2.59
26463,与謝郡伊根町,939,924,901,890,873,873,2.52,2.48,2.47,2.45,2.42,2.36
26465,与謝郡与謝野町,8349,8336,8239,8194,8140,8103,2.77,2.74,2.73,2.7,2.68,2.65
