西暦,和暦,地域コード,地域,総数(人),韓国，朝鮮(人),中国(人),フィリピン(人),タイ(人),インドネシア(人),ベトナム(人),インド(人),イギリス(人),アメリカ(人),ブラジル(人),ペルー(人),その他(人)
1995年,平成7年,26000,京都府,46981,38562,3798,651,112,…,…,…,239,869,627,194,1929
2000年,平成12年,26000,京都府,45094,35034,4886,978,152,…,…,…,239,778,476,135,2416
2005年,平成17年,26000,京都府,46044,29066,6355,1276,178,275,120,…,265,865,366,107,7171
2010年,平成22年,26000,京都府,41855,24780,8022,1424,258,228,244,…,252,899,304,108,5336
2015年,平成27年,26000,京都府,43949,23318,10490,1574,393,416,931,200,346,1051,254,106,4870
2015年,平成27年,26100,京都市,34608,19165,8426,738,281,334,538,168,291,787,130,56,3694
2015年,平成27年,26201,福知山市,729,245,138,166,3,8,42,10,3,8,15,15,76
2015年,平成27年,26202,舞鶴市,789,412,70,182,6,-,33,-,2,14,7,-,63
2015年,平成27年,26203,綾部市,258,59,91,33,7,3,20,-,1,6,1,1,36
2015年,平成27年,26204,宇治市,2106,1167,578,71,17,18,34,5,10,34,13,9,150
2015年,平成27年,26205,宮津市,105,51,7,36,1,1,2,-,-,2,-,-,5
2015年,平成27年,26206,亀岡市,662,331,114,47,13,3,27,2,2,15,6,7,95
2015年,平成27年,26207,城陽市,488,256,68,21,3,11,13,-,2,10,4,7,93
2015年,平成27年,26208,向日市,400,268,45,11,3,3,3,1,2,10,3,1,50
2015年,平成27年,26209,長岡京市,512,250,105,22,13,5,13,4,4,19,3,1,73
2015年,平成27年,26210,八幡市,656,204,139,23,3,5,6,2,3,10,30,4,227
2015年,平成27年,26211,京田辺市,684,249,215,21,14,8,32,2,8,39,5,1,90
2015年,平成27年,26212,京丹後市,339,73,84,98,3,3,31,-,-,26,-,1,20
2015年,平成27年,26213,南丹市,204,119,18,17,-,1,10,-,3,4,4,1,27
2015年,平成27年,26214,木津川市,391,110,91,28,6,5,14,6,11,29,10,-,81
2015年,平成27年,26303,乙訓郡大山崎町,98,59,10,3,-,-,12,-,1,4,-,-,9
2015年,平成27年,26322,久世郡久御山町,282,104,102,1,3,1,34,-,-,-,13,-,24
2015年,平成27年,26343,綴喜郡井手町,55,21,10,-,11,-,3,-,-,2,-,-,8
2015年,平成27年,26344,綴喜郡宇治田原町,142,17,78,1,-,-,27,-,1,4,8,1,5
2015年,平成27年,26364,相楽郡笠置町,5,-,4,-,-,-,-,-,-,-,-,-,1
2015年,平成27年,26365,相楽郡和束町,10,2,2,1,-,-,-,-,-,3,-,-,2
2015年,平成27年,26366,相楽郡精華町,198,73,51,4,3,-,21,-,1,19,-,1,25
2015年,平成27年,26367,相楽郡南山城村,12,3,1,-,1,-,-,-,-,-,-,-,7
2015年,平成27年,26407,船井郡京丹波町,110,39,27,17,2,6,13,-,-,1,1,-,4
2015年,平成27年,26463,与謝郡伊根町,5,-,2,1,-,-,-,-,-,1,1,-,-
2015年,平成27年,26465,与謝郡与謝野町,101,41,14,32,-,1,3,-,1,4,-,-,5
