西暦,和暦,地域コード,地域,出生数(人),死亡数(人),乳児死亡数(人),新生児死亡数(人),死産数(胎),自然死産(胎),人工死産(胎),周産期死亡数,婚姻数(組),離婚数(組)
2011年,平成23年,26000,京都府,20707,24733,40,16,476,227,249,83,12900,4713
2012年,平成24年,26000,京都府,20111,25416,40,24,464,207,257,77,13189,4646
2013年,平成25年,26000,京都府,20106,25332,52,29,440,197,243,95,12746,4581
2014年,平成26年,26000,京都府,19583,25507,35,15,447,210,237,71,12671,4462
2015年,平成27年,26000,京都府,19662,25495,50,31,427,197,230,86,12458,4434
2015年,平成27年,26100,京都市,11070,13768,28,20,250,119,131,48,7701,2563
2015年,平成27年,26101,京都市北区,770,1175,-,-,13,6,7,1,476,152
2015年,平成27年,26102,京都市上京区,487,843,1,1,9,7,2,3,313,134
2015年,平成27年,26103,京都市左京区,1074,1541,-,-,30,11,19,2,683,249
2015年,平成27年,26104,京都市中京区,915,985,5,5,23,12,11,6,688,181
2015年,平成27年,26105,京都市東山区,242,519,1,-,4,1,3,1,182,55
2015年,平成27年,26110,京都市山科区,1027,1314,4,2,32,20,12,7,682,267
2015年,平成27年,26106,京都市下京区,656,770,1,1,12,4,8,2,583,168
2015年,平成27年,26107,京都市南区,890,903,3,2,20,8,12,3,717,214
2015年,平成27年,26108,京都市右京区,1538,1815,7,5,34,13,21,10,1037,313
2015年,平成27年,26111,京都市西京区,1304,1268,2,2,23,15,8,4,814,265
2015年,平成27年,26109,京都市伏見区,2167,2635,4,2,50,22,28,9,1526,565
2015年,平成27年,26201,福知山市,720,1044,2,1,12,9,3,3,423,151
2015年,平成27年,26202,舞鶴市,748,1048,3,1,21,7,14,2,398,149
2015年,平成27年,26203,綾部市,220,521,1,1,5,4,1,4,130,35
2015年,平成27年,26204,宇治市,1330,1688,4,1,29,13,16,6,764,322
2015年,平成27年,26205,宮津市,98,338,-,-,1,-,1,-,56,34
2015年,平成27年,26206,亀岡市,642,812,1,1,11,8,3,5,377,161
2015年,平成27年,26207,城陽市,550,756,3,1,7,2,5,2,301,117
2015年,平成27年,26208,向日市,429,414,1,-,6,3,3,2,243,80
2015年,平成27年,26209,長岡京市,714,584,-,-,13,2,11,2,376,134
2015年,平成27年,26210,八幡市,509,665,1,-,17,5,12,1,293,162
2015年,平成27年,26211,京田辺市,531,485,2,2,11,5,6,3,238,92
2015年,平成27年,26212,京丹後市,357,832,1,-,8,3,5,1,216,85
2015年,平成27年,26213,南丹市,188,509,2,2,8,2,6,2,106,43
2015年,平成27年,26214,木津川市,664,526,-,-,12,6,6,2,293,112
2015年,平成27年,26303,乙訓郡大山崎町,134,172,1,1,3,2,1,2,89,18
2015年,平成27年,26322,久世郡久御山町,127,143,-,-,4,1,3,-,80,31
2015年,平成27年,26343,綴喜郡井手町,42,87,-,-,-,-,-,-,33,16
2015年,平成27年,26344,綴喜郡宇治田原町,53,85,-,-,1,1,-,-,28,23
2015年,平成27年,26364,相楽郡笠置町,5,30,-,-,-,-,-,-,4,4
2015年,平成27年,26365,相楽郡和束町,11,65,-,-,-,-,-,-,15,4
2015年,平成27年,26366,相楽郡精華町,286,243,-,-,3,2,1,-,144,45
2015年,平成27年,26367,相楽郡南山城村,8,48,-,-,-,-,-,-,5,2
2015年,平成27年,26407,船井郡京丹波町,72,239,-,-,1,-,1,-,54,17
2015年,平成27年,26463,与謝郡伊根町,5,52,-,-,-,-,-,-,14,2
2015年,平成27年,26465,与謝郡与謝野町,149,341,-,-,4,3,1,1,77,32
