項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%),2013年度_構成比(%)
1産業,8392110,8468751,8572948,8521050,8552277,0.4,87
(1)農林水産業,40669,41284,41650,43529,41774,-4,0.4
a農業,35742,36212,36785,38414,36873,-4,0.4
b林業,2087,2262,2501,2481,2584,4.2,0
c水産業,2840,2810,2364,2635,2316,-12.1,0
(2)鉱業,2362,2080,2706,2341,2936,25.4,0
(3)製造業,2067363,2068021,2172190,2099992,2003760,-4.6,20.4
a食料品,807524,779017,797606,901571,693218,-23.1,7.1
b繊維,43524,40409,45744,40842,35147,-13.9,0.4
cパルプ・紙,36889,31617,23979,19065,24453,28.3,0.2
d化学,69883,80733,73161,60876,78059,28.2,0.8
e石油・石炭製品,3967,3253,4186,2769,2787,0.6,0
f窯業・土石製品,89013,86137,84962,86707,94139,8.6,1
g鉄鋼,9890,8870,15827,13744,12398,-9.8,0.1
h非鉄金属,14109,15944,20473,12154,13027,7.2,0.1
i金属製品,74208,64028,80419,68365,64100,-6.2,0.7
j一般機械,146205,174401,170687,156775,165282,5.4,1.7
k電気機械,267046,287227,358934,290682,306626,5.5,3.1
l輸送用機械,109728,113910,171346,98880,119711,21.1,1.2
m精密機械,63525,75983,78196,99053,88679,-10.5,0.9
nその他の製造業,331852,306493,246670,248510,306135,23.2,3.1
(4)建設業,389198,407082,425664,451735,478033,5.8,4.9
(5)電気・ガス・水道業,266033,286205,208757,194049,227606,17.3,2.3
a電気業,165612,184752,104253,89993,120423,33.8,1.2
bガス・水道・熱供給業,100421,101453,104504,104056,107183,3,1.1
(6)卸売・小売業,1018044,1054874,1113246,1107248,1137300,2.7,11.6
a卸売業,398440,410847,443421,440497,443550,0.7,4.5
b小売業,619604,644027,669825,666751,693750,4,7.1
(7)金融・保険業,408471,395112,372916,361447,355597,-1.6,3.6
(8)不動産業,1579912,1592603,1612655,1617620,1621984,0.3,16.5
a住宅賃貸業,1465486,1475487,1492610,1500184,1507161,0.5,15.3
bその他の不動産業,114426,117116,120045,117436,114823,-2.2,1.2
(9)運輸業,387869,401615,375202,378905,369806,-2.4,3.8
(10)情報通信業,317250,314604,318140,319933,328814,2.8,3.3
a通信業,189792,191006,195607,195426,202344,3.5,2.1
b放送業,11106,12672,12201,11921,12293,3.1,0.1
c情報サービス、映像・文字情報制作業,116353,110926,110332,112587,114176,1.4,1.2
(11)サービス業,1914938,1905270,1929823,1944250,1984668,2.1,20.2
a公共サービス業,611034,639465,646138,669627,682772,2,6.9
b対事業所サービス業,571536,549672,570664,545815,575414,5.4,5.9
c対個人サービス業,732368,716134,713021,728807,726481,-0.3,7.4
2政府サービス生産者,935110,915740,908667,896319,866782,-3.3,8.8
(1)電気・ガス・水道業,111810,109661,107819,108060,106840,-1.1,1.1
(2)サービス業,291421,278520,279014,271751,259844,-4.4,2.6
(3)公務,531879,527559,521834,516509,500098,-3.2,5.1
3対家計民間非営利サービス生産者,283823,296609,318968,329410,323746,-1.7,3.3
(1)サービス業,283823,296609,318968,329410,323746,-1.7,3.3
4小計(1+2+3),9611043,9681099,9800584,9746779,9742805,0,99.2
5輸入品に課される税・関税,89834,97998,115991,117571,130404,10.9,1.3
6(控除)総資本形成に係る消費税,39940,42692,44909,44877,47814,6.5,0.5
7府内総生産(4+5-6),9660938,9736406,9871666,9819473,9825395,0.1,100
(参考)第1次産業,40669,41284,41650,43529,41774,-4,0.4
(参考)第2次産業,2458923,2477183,2600560,2554068,2484729,-2.7,25.3
(参考)第3次産業,7111451,7162632,7158373,7149182,7216302,0.9,73.4
