項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%)
1産業,8629740,8879016,9093101,9048297,9100404,0.6
(1)農林水産業,46010,44954,47912,46538,46691,0.3
a農業,41428,40156,43244,41033,42071,2.5
b林業,1801,1971,2463,2639,2170,-17.8
c水産業,2888,2855,2211,2686,2291,-14.7
(2)鉱業,1296,1151,1489,1268,1550,22.2
(3)製造業,2201748,2310590,2498066,2420712,2293771,-5.2
a食料品,771528,752428,757000,855416,659876,-22.9
b繊維,41713,39487,43037,37697,31446,-16.6
cパルプ・紙,31999,29489,23714,18009,24772,37.6
d化学,70608,83372,74681,63676,80089,25.8
e石油・石炭製品,4309,3149,3882,2859,2963,3.6
f窯業・土石製品,79655,80772,83830,86487,94065,8.8
g鉄鋼,-,-,-,-,-,-
h非鉄金属,10229,12979,17536,8480,9882,16.5
i金属製品,71943,64590,83480,66301,60678,-8.5
j一般機械,154167,191079,193845,170821,175703,2.9
k電気機械,414363,527560,738339,640560,670738,4.7
l輸送用機械,120572,130676,207993,112330,123477,9.9
m精密機械,63521,79570,85247,105831,90879,-14.1
nその他の製造業,350100,335325,279696,286149,358881,25.4
(4)建設業,379722,396418,415097,442205,462839,4.7
(5)電気・ガス・水道業,268744,287825,217190,182819,200660,9.8
a電気業,180543,201178,120076,85235,101087,18.6
bガス・水道・熱供給業,89544,89509,93252,90766,92685,2.1
(6)卸売・小売業,1012272,1055426,1109407,1116770,1141932,2.3
a卸売業,386947,399943,422866,425877,422601,-0.8
b小売業,630400,660942,692145,696517,726117,4.2
(7)金融・保険業,471376,466417,449269,458759,477432,4.1
(8)不動産業,1607155,1632784,1672661,1689519,1707581,1.1
a住宅賃貸業,1500739,1518536,1548566,1564543,1582978,1.2
bその他の不動産業,106656,113941,123395,124272,123866,-0.3
(9)運輸業,383941,405062,382846,382566,373658,-2.3
(10)情報通信業,349473,354245,365226,369100,389298,5.5
a通信業,219796,229685,240747,241660,259413,7.3
b放送業,12471,14000,13154,12832,13237,3.2
c情報サービス、映像・文字情報制作業,118423,112754,114096,117128,120014,2.5
(11)サービス業,1900212,1915537,1933716,1930945,1983463,2.7
a公共サービス業,588676,606869,612552,626649,643618,2.7
b対事業所サービス業,591968,582130,604083,572336,602237,5.2
c対個人サービス業,719512,725465,716715,729136,735370,0.9
2政府サービス生産者,963212,954385,946734,945895,916808,-3.1
(1)電気・ガス・水道業,109961,108713,106211,107313,105195,-2
(2)サービス業,307185,297057,298001,293358,282163,-3.8
(3)公務,546322,548693,542762,545281,529384,-2.9
3対家計民間非営利サービス生産者,298092,315262,342715,358686,351440,-2
(1)サービス業,298092,315262,342715,358686,351440,-2
4小計(1+2+3),9892240,10149751,10383211,10353353,10369131,0.2
5輸入品に課される税・関税,88707,93139,101623,100950,100533,-0.4
6(控除)総資本形成に係る消費税,39287,43674,46068,46001,48979,6.5
7府内総生産(連鎖価格)(4+5-6),9941796,10199289,10439457,10408910,10421062,0.1
8開差(7-1-2-3-5+6),1332,1162,1351,1083,855,-
(参考)第1次産業,46010,44954,47912,46538,46691,0.3
(参考)第2次産業,2583827,2708921,2914056,2869384,2769930,-3.5
(参考)第3次産業,7254499,7389234,7422636,7435989,7543366,1.4
