項目,2009年度(百万円),2010年度(百万円),2011年度(百万円),2012年度(百万円),2013年度(百万円),2013年度_対前年度増加率(%),2013年度_構成比(%)
1民間最終消費支出,6179419,6077104,6162642,6047413,6322428,4.5,64.3
(1)家計最終消費支出,6015250,5904793,5973673,5844606,6116888,4.7,62.3
a食料・非アルコール飲料,814522,803627,810246,795763,813639,2.2,8.3
bアルコール飲料・たばこ,152654,155108,163886,148177,149302,0.8,1.5
c被服・履物,186308,177373,184222,181037,193028,6.6,2
d住居・光熱水道,1948738,1967759,1988811,1999612,2037183,1.9,20.7
e家具・家庭器具・家事サービス,232044,230666,277100,226578,274781,21.3,2.8
f保健・医療,187865,185449,186512,182989,187040,2.2,1.9
g交通,491566,472088,472917,474055,499445,5.4,5.1
h通信,167878,158881,167102,160346,167254,4.3,1.7
i娯楽・レジャー・文化,614474,596609,606144,569568,590137,3.6,6
j教育,110314,94673,75955,65630,62007,-5.5,0.6
k外食・宿泊,380318,371868,368171,356005,393030,10.4,4
lその他,728569,690692,672607,684849,750042,9.5,7.6
(再掲)家計最終消費支出(除く持ち家の帰属家賃),4561295,4441767,4495428,4361729,4623775,6,47.1
持ち家の帰属家賃,1453955,1463026,1478245,1482877,1493114,0.7,15.2
(2)対家計民間非営利団体最終消費支出,164169,172311,188969,202807,205540,1.3,2.1
2政府最終消費支出,1902291,1872706,1912647,1926726,1909480,-0.9,19.4
3総資本形成,1543980,1580842,1612575,1672223,1845903,10.4,18.8
(1)総固定資本形成,1659788,1594082,1621343,1678232,1890728,12.7,19.2
a民間,1210443,1207785,1246120,1295111,1425091,10,14.5
(a)住宅,204452,210937,215668,229557,282924,23.2,2.9
(b)企業設備,1005991,996848,1030451,1065554,1142167,7.2,11.6
b公的,449345,386297,375223,383121,465637,21.5,4.7
(a)住宅,8671,9169,7643,7534,7584,0.7,0.1
(b)企業設備,156112,106355,124346,96815,145241,50,1.5
(c)一般政府,284562,270774,243234,278773,312811,12.2,3.2
(2)在庫品増加,-115808,-13241,-8768,-6009,-44824,-,-0.5
a民間企業,-110566,-11192,-9463,-8422,-37555,-,-0.4
b公的(公的企業・一般政府),-5242,-2049,695,2413,-7270,-,-0.1
4財貨・サービスの移出入(純)・統計上の不突合,35247,205755,183803,173110,-252417,-,-2.6
(1)財貨・サービスの移出入(純),-445432,-391520,-343630,-393850,-607310,-,-6.2
(2)統計上の不突合,480679,597275,527433,566960,354893,-,3.6
5府内総生産(支出側)(1+2+3+4),9660938,9736406,9871666,9819473,9825395,0.1,100
(参考)府外からの所得(純),363486,354191,382195,398162,425565,6.9,4.3
府民総所得(市場価格),10024423,10090597,10253861,10217635,10250960,0.3,104.3
