西暦,和暦,地域コード,地域,販売農家(戸),販売農家_0.3ha未満(戸),販売農家_0.3〜0.5ha(戸),販売農家_0.5〜1.0ha(戸),販売農家_1.0〜1.5ha(戸),販売農家_1.5〜2.0ha(戸),販売農家_2.0〜3.0ha(戸),販売農家_3.0〜4.0ha(戸),販売農家_3.0〜5.0ha(戸),販売農家_4.0〜5.0ha(戸),販売農家_5.0〜10.0ha(戸),販売農家_5.0ha以上(戸),販売農家_10.0ha以上(戸),(参考)総農家(戸),(参考)自給的農家(戸)
2005年,平成17年,26000,京都府,24406,187,7962,10599,3234,1065,743,284,-,110,-,222,-,38922,14516
2010年,平成22年,26000,京都府,21172,177,6348,9246,2952,1026,730,-,424,-,207,-,62,35622,14450
2015年,平成27年,26000,京都府,17485,168,5000,7511,2475,910,689,-,436,-,223,-,73,30723,13238
2015年,平成27年,26100,京都市,2065,73,698,815,270,96,65,-,25,-,16,-,7,3687,1622
2015年,平成27年,26101,京都市北区,161,17,54,63,18,3,4,-,-,-,2,-,-,262,101
2015年,平成27年,26102,京都市上京区,3,-,1,1,1,-,-,-,-,-,-,-,-,4,1
2015年,平成27年,26103,京都市左京区,157,4,83,57,9,2,-,-,2,-,-,-,-,404,247
2015年,平成27年,26104,京都市中京区,4,2,-,2,-,-,-,-,-,-,-,-,-,6,2
2015年,平成27年,26105,京都市東山区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26106,京都市下京区,5,-,1,3,-,1,-,-,-,-,-,-,-,12,7
2015年,平成27年,26107,京都市南区,150,14,56,56,18,4,2,-,-,-,-,-,-,270,120
2015年,平成27年,26108,京都市右京区,565,10,211,210,60,28,23,-,11,-,7,-,5,1031,466
2015年,平成27年,26109,京都市伏見区,553,11,130,220,110,43,23,-,9,-,5,-,2,826,273
2015年,平成27年,26110,京都市山科区,123,1,45,49,17,4,7,-,-,-,-,-,-,222,99
2015年,平成27年,26111,京都市西京区,344,14,117,154,37,11,6,-,3,-,2,-,-,650,306
2015年,平成27年,26201,福知山市,2062,7,678,916,262,82,61,-,33,-,16,-,7,3915,1853
2015年,平成27年,26202,舞鶴市,714,9,291,319,64,12,9,-,4,-,4,-,2,2041,1327
2015年,平成27年,26203,綾部市,1278,3,373,585,140,53,47,-,43,-,25,-,9,2382,1104
2015年,平成27年,26204,宇治市,169,4,37,64,35,13,8,-,6,-,2,-,-,319,150
2015年,平成27年,26205,宮津市,387,1,107,179,56,17,17,-,6,-,4,-,-,827,440
2015年,平成27年,26206,亀岡市,1807,10,410,897,296,106,49,-,25,-,12,-,2,2493,686
2015年,平成27年,26207,城陽市,290,1,77,128,35,21,21,-,7,-,-,-,-,568,278
2015年,平成27年,26208,向日市,177,1,66,71,27,9,3,-,-,-,-,-,-,285,108
2015年,平成27年,26209,長岡京市,215,10,63,88,37,11,5,-,1,-,-,-,-,361,146
2015年,平成27年,26210,八幡市,311,-,59,132,68,28,14,-,6,-,4,-,-,495,184
2015年,平成27年,26211,京田辺市,557,-,141,252,108,33,14,-,7,-,2,-,-,919,362
2015年,平成27年,26212,京丹後市,1940,8,430,732,317,151,112,-,95,-,67,-,28,3124,1184
2015年,平成27年,26213,南丹市,1883,7,586,854,274,76,46,-,30,-,8,-,2,2804,921
2015年,平成27年,26214,木津川市,788,9,205,362,124,48,25,-,11,-,2,-,2,1342,554
2015年,平成27年,26303,乙訓郡大山崎町,25,1,10,12,2,-,-,-,-,-,-,-,-,66,41
2015年,平成27年,26322,久世郡久御山町,323,3,53,124,75,25,31,-,10,-,2,-,-,475,152
2015年,平成27年,26343,綴喜郡井手町,96,-,36,38,10,6,3,-,3,-,-,-,-,236,140
2015年,平成27年,26344,綴喜郡宇治田原町,192,8,52,64,20,7,20,-,16,-,5,-,-,428,236
2015年,平成27年,26364,相楽郡笠置町,18,-,13,5,-,-,-,-,-,-,-,-,-,82,64
2015年,平成27年,26365,相楽郡和束町,258,3,27,53,36,32,45,-,49,-,13,-,-,434,176
2015年,平成27年,26366,相楽郡精華町,311,1,122,146,28,12,-,-,1,-,1,-,-,655,344
2015年,平成27年,26367,相楽郡南山城村,141,-,29,43,11,4,19,-,27,-,8,-,-,219,78
2015年,平成27年,26407,船井郡京丹波町,1022,8,325,457,114,46,42,-,18,-,10,-,2,1708,686
2015年,平成27年,26463,与謝郡伊根町,115,1,36,49,13,5,6,-,2,-,3,-,-,217,102
2015年,平成27年,26465,与謝郡与謝野町,341,-,76,126,53,17,27,-,11,-,19,-,12,641,300
