西暦,和暦,地域コード,地域,販売農家人口_男女計(人),販売農家人口_男(人),販売農家人口_女(人),15歳以上世帯員総数_男女計(人),自営農業が主_男(人),勤務が主_男(人),農業以外の自営業が主_男(人),主に家事・育児_男(人),学生_男(人),その他_男(人),自営農業が主_女(人),勤務が主_女(人),農業以外の自営業が主_女(人),主に家事・育児_女(人),学生_女(人),その他_女(人)
2010年,平成22年,26000,京都府,80706,39603,41103,73509,13818,13978,1844,94,2980,3238,9232,10288,1021,9426,2656,4934
2015年,平成27年,26000,京都府,60790,30227,30563,56401,11070,10163,1784,45,1851,3102,6394,7582,1057,6518,1706,5129
2015年,平成27年,26100,京都市,7761,3860,3901,7169,1628,954,317,13,281,353,1006,673,172,921,271,580
2015年,平成27年,26101,京都市北区,642,325,317,574,165,48,20,1,21,26,136,37,12,50,17,41
2015年,平成27年,26102,京都市上京区,13,7,6,12,4,-,1,-,1,-,2,-,-,2,-,2
2015年,平成27年,26103,京都市左京区,531,264,267,502,95,66,29,1,19,37,46,55,29,61,22,42
2015年,平成27年,26104,京都市中京区,16,8,8,15,5,-,-,-,1,1,2,2,1,1,2,-
2015年,平成27年,26105,京都市東山区,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26106,京都市下京区,24,11,13,22,7,1,1,-,1,1,8,1,-,2,-,-
2015年,平成27年,26107,京都市南区,638,311,327,579,163,58,18,1,26,17,100,53,5,75,32,31
2015年,平成27年,26108,京都市右京区,2015,1032,983,1828,338,295,107,4,62,117,179,219,50,238,60,159
2015年,平成27年,26109,京都市伏見区,2171,1062,1109,2015,472,267,76,4,77,92,291,167,38,272,81,178
2015年,平成27年,26110,京都市山科区,473,233,240,444,122,45,17,1,22,11,83,32,9,58,11,33
2015年,平成27年,26111,京都市西京区,1238,607,631,1178,257,174,48,1,51,51,159,107,28,162,46,94
2015年,平成27年,26201,福知山市,6338,3179,3159,5996,1203,1224,146,1,134,299,709,911,84,580,126,579
2015年,平成27年,26202,舞鶴市,2425,1183,1242,2218,423,415,66,1,49,132,364,314,40,155,58,201
2015年,平成27年,26203,綾部市,3856,1946,1910,3642,797,677,76,4,72,221,422,525,57,333,82,376
2015年,平成27年,26204,宇治市,660,337,323,591,140,93,22,-,18,26,57,44,12,107,27,45
2015年,平成27年,26205,宮津市,1237,625,612,1137,254,195,44,1,22,57,156,149,34,109,19,97
2015年,平成27年,26206,亀岡市,6309,3129,3180,5912,872,1252,220,7,199,380,495,855,77,793,187,575
2015年,平成27年,26207,城陽市,1162,581,581,1064,235,158,39,1,51,39,120,110,21,156,44,90
2015年,平成27年,26208,向日市,664,335,329,628,114,102,27,1,28,42,61,51,12,105,24,61
2015年,平成27年,26209,長岡京市,881,426,455,803,148,133,33,-,37,39,90,69,19,130,30,75
2015年,平成27年,26210,八幡市,1231,585,646,1112,285,135,22,-,46,46,167,121,20,138,32,100
2015年,平成27年,26211,京田辺市,2109,1051,1058,1953,345,386,46,1,73,114,178,217,30,308,57,198
2015年,平成27年,26212,京丹後市,6914,3470,3444,6350,1220,1236,175,4,199,351,641,1062,169,619,182,492
2015年,平成27年,26213,南丹市,6421,3177,3244,5950,894,1213,208,3,222,396,502,962,103,690,185,572
2015年,平成27年,26214,木津川市,2784,1369,1415,2623,571,440,67,3,98,112,304,299,47,371,86,225
2015年,平成27年,26303,乙訓郡大山崎町,98,44,54,92,16,18,-,-,3,3,14,13,1,14,2,8
2015年,平成27年,26322,久世郡久御山町,1335,645,690,1192,293,154,31,-,57,43,196,122,20,139,48,89
2015年,平成27年,26343,綴喜郡井手町,349,175,174,327,62,66,6,-,8,21,41,36,2,44,9,32
2015年,平成27年,26344,綴喜郡宇治田原町,746,380,366,682,150,104,28,-,32,35,65,90,11,83,21,63
2015年,平成27年,26364,相楽郡笠置町,61,28,33,60,11,8,1,-,3,5,6,9,1,6,1,9
2015年,平成27年,26365,相楽郡和束町,937,463,474,858,280,75,14,1,28,26,189,72,6,78,24,65
2015年,平成27年,26366,相楽郡精華町,1135,561,574,1056,187,198,23,2,42,72,113,128,8,161,37,85
2015年,平成27年,26367,相楽郡南山城村,494,245,249,458,121,63,11,1,8,28,75,45,4,51,8,43
2015年,平成27年,26407,船井郡京丹波町,3313,1613,1700,3076,532,594,90,-,95,185,291,495,51,297,103,343
2015年,平成27年,26463,与謝郡伊根町,377,202,175,349,78,61,16,-,11,18,47,46,7,21,10,34
2015年,平成27年,26465,与謝郡与謝野町,1193,618,575,1103,211,209,56,1,35,59,85,164,49,109,33,92
