西暦,和暦,地域コード,地域,販売農家数(戸),専業農家(戸),兼業農家(戸),兼業農家_第1種兼業農家(戸),兼業農家_第2種兼業農家(戸)
2005年,平成17年,26000,京都府,24406,5382,19024,3087,15937
2010年,平成22年,26000,京都府,21172,5316,15856,2286,13570
2015年,平成27年,26000,京都府,17485,5715,11770,1274,10496
2015年,平成27年,26100,京都市,2065,744,1321,164,1157
2015年,平成27年,26101,京都市北区,161,80,81,16,65
2015年,平成27年,26102,京都市上京区,3,2,1,1,-
2015年,平成27年,26103,京都市左京区,157,48,109,10,99
2015年,平成27年,26104,京都市中京区,4,2,2,1,1
2015年,平成27年,26105,京都市東山区,-,-,-,-,-
2015年,平成27年,26106,京都市下京区,5,2,3,1,2
2015年,平成27年,26107,京都市南区,150,53,97,15,82
2015年,平成27年,26108,京都市右京区,565,185,380,37,343
2015年,平成27年,26109,京都市伏見区,553,191,362,49,313
2015年,平成27年,26110,京都市山科区,123,53,70,6,64
2015年,平成27年,26111,京都市西京区,344,128,216,28,188
2015年,平成27年,26201,福知山市,2062,682,1380,121,1259
2015年,平成27年,26202,舞鶴市,714,245,469,32,437
2015年,平成27年,26203,綾部市,1278,535,743,64,679
2015年,平成27年,26204,宇治市,169,56,113,15,98
2015年,平成27年,26205,宮津市,387,142,245,22,223
2015年,平成27年,26206,亀岡市,1807,478,1329,87,1242
2015年,平成27年,26207,城陽市,290,88,202,33,169
2015年,平成27年,26208,向日市,177,46,131,18,113
2015年,平成27年,26209,長岡京市,215,67,148,18,130
2015年,平成27年,26210,八幡市,311,118,193,40,153
2015年,平成27年,26211,京田辺市,557,161,396,53,343
2015年,平成27年,26212,京丹後市,1940,552,1388,153,1235
2015年,平成27年,26213,南丹市,1883,522,1361,112,1249
2015年,平成27年,26214,木津川市,788,266,522,67,455
2015年,平成27年,26303,乙訓郡大山崎町,25,7,18,1,17
2015年,平成27年,26322,久世郡久御山町,323,123,200,43,157
2015年,平成27年,26343,綴喜郡井手町,96,39,57,9,48
2015年,平成27年,26344,綴喜郡宇治田原町,192,56,136,25,111
2015年,平成27年,26364,相楽郡笠置町,18,7,11,-,11
2015年,平成27年,26365,相楽郡和束町,258,135,123,57,66
2015年,平成27年,26366,相楽郡精華町,311,110,201,14,187
2015年,平成27年,26367,相楽郡南山城村,141,44,97,41,56
2015年,平成27年,26407,船井郡京丹波町,1022,351,671,58,613
2015年,平成27年,26463,与謝郡伊根町,115,40,75,3,72
2015年,平成27年,26465,与謝郡与謝野町,341,101,240,24,216
