西暦,和暦,地域コード,地域,総農家_総数(a),自給的農家_総数(a),販売農家_総数(a),販売農家_田(a),販売農家_畑(a),販売農家_樹園地(a)
2005年,平成17年,26000,京都府,2392527,277756,2114771,1741176,206038,167557
2010年,平成22年,26000,京都府,2252840,276367,1976473,1606521,192552,177400
2015年,平成27年,26000,京都府,2008305,250866,1757439,1423619,181962,151858
2015年,平成27年,26100,京都市,205352,29999,175353,131995,34102,9256
2015年,平成27年,26101,京都市北区,13173,1744,11429,7164,3255,1010
2015年,平成27年,26102,京都市上京区,X,X,221,141,80,-
2015年,平成27年,26103,京都市左京区,13427,4419,9008,7725,1183,100
2015年,平成27年,26104,京都市中京区,X,X,125,43,82,-
2015年,平成27年,26105,京都市東山区,-,-,-,-,-,-
2015年,平成27年,26106,京都市下京区,511,99,412,356,56,-
2015年,平成27年,26107,京都市南区,11590,2090,9500,6203,3112,185
2015年,平成27年,26108,京都市右京区,64107,9093,55014,45794,6887,2333
2015年,平成27年,26109,京都市伏見区,60465,4979,55486,42687,12173,626
2015年,平成27年,26110,京都市山科区,11134,1746,9388,5417,2165,1806
2015年,平成27年,26111,京都市西京区,30558,5788,24770,16465,5109,3196
2015年,平成27年,26201,福知山市,219440,35929,183511,157476,19772,6263
2015年,平成27年,26202,舞鶴市,76631,25412,51219,42023,7348,1848
2015年,平成27年,26203,綾部市,160263,20952,139311,124789,9823,4699
2015年,平成27年,26204,宇治市,20562,2780,17782,12355,1739,3688
2015年,平成27年,26205,宮津市,43311,8199,35112,30758,3146,1208
2015年,平成27年,26206,亀岡市,177303,13057,164246,151417,11163,1666
2015年,平成27年,26207,城陽市,32657,4966,27691,16427,4625,6639
2015年,平成27年,26208,向日市,14952,1950,13002,8530,949,3523
2015年,平成27年,26209,長岡京市,19661,2773,16888,8298,3306,5284
2015年,平成27年,26210,八幡市,36904,3645,33259,25668,5284,2307
2015年,平成27年,26211,京田辺市,55233,6999,48234,40881,5431,1922
2015年,平成27年,26212,京丹後市,305906,21903,284003,244537,32021,7445
2015年,平成27年,26213,南丹市,175691,18432,157259,146692,8742,1825
2015年,平成27年,26214,木津川市,85070,10500,74570,46614,13022,14934
2015年,平成27年,26303,乙訓郡大山崎町,2176,683,1493,1016,419,58
2015年,平成27年,26322,久世郡久御山町,39025,2863,36162,29455,6414,293
2015年,平成27年,26343,綴喜郡井手町,10396,2440,7956,5089,1089,1778
2015年,平成27年,26344,綴喜郡宇治田原町,28239,4354,23885,8263,1845,13777
2015年,平成27年,26364,相楽郡笠置町,1964,1155,809,688,121,-
2015年,平成27年,26365,相楽郡和束町,54776,3301,51475,7168,377,43930
2015年,平成27年,26366,相楽郡精華町,27238,6318,20920,19283,1269,368
2015年,平成27年,26367,相楽郡南山城村,26690,1378,25312,8505,624,16183
2015年,平成27年,26407,船井郡京丹波町,105024,13238,91786,81948,6964,2874
2015年,平成27年,26463,与謝郡伊根町,13534,1949,11585,10990,570,25
2015年,平成27年,26465,与謝郡与謝野町,70307,5691,64616,62754,1797,65
