地域,用途,2011年_件数(件),2011年_面積(千m2),2012年_件数(件),2012年_面積(千m2),2013年_件数(件),2013年_面積(千m2),2014年_件数(件),2014年_面積(千m2),2015年_件数(件),2015年_面積(千m2)
京都府,総数,840,562,997,652,1030,692,934,669,1109,811
京都市,総数,253,151,407,260,423,258,340,212,395,257
山城広域振興局,総数,261,196,311,172,299,213,329,230,411,330
南丹広域振興局,総数,112,66,58,49,85,76,37,26,97,81
中丹広域振興局,総数,102,65,123,88,122,81,158,136,131,97
丹後広域振興局,総数,112,84,98,83,101,64,70,65,75,46
京都府,住宅,406,210,516,239,556,301,458,264,445,256
京都市,住宅,115,59,207,92,204,109,133,77,170,120
山城広域振興局,住宅,152,78,171,80,193,116,180,114,154,80
南丹広域振興局,住宅,32,14,22,15,27,17,18,12,15,8
中丹広域振興局,住宅,59,34,76,31,84,39,90,41,70,32
丹後広域振興局,住宅,48,25,40,21,48,20,37,19,36,16
京都府,工場,3,3,10,19,16,25,5,6,8,15
京都市,工場,2,2,2,1,2,0,5,6,-,-
山城広域振興局,工場,-,-,1,0,12,23,-,-,3,10
南丹広域振興局,工場,-,-,1,6,-,-,-,-,1,1
中丹広域振興局,工場,-,-,1,4,-,-,-,-,-,-
丹後広域振興局,工場,1,1,5,8,2,2,-,-,4,4
京都府,学校,5,8,1,0,1,0,1,2,1,0
京都市,学校,1,5,1,0,1,0,-,-,-,-
山城広域振興局,学校,4,3,-,-,-,-,-,-,-,-
南丹広域振興局,学校,-,-,-,-,-,-,-,-,-,-
中丹広域振興局,学校,-,-,-,-,-,-,1,2,1,0
丹後広域振興局,学校,-,-,-,-,-,-,-,-,-,-
京都府,道水路,23,4,15,1,21,2,24,1,12,0
京都市,道水路,16,4,13,1,18,2,21,1,10,0
山城広域振興局,道水路,1,0,-,-,2,0,2,0,2,0
南丹広域振興局,道水路,3,0,2,0,1,0,1,0,-,-
中丹広域振興局,道水路,3,0,-,-,-,-,-,-,-,-
丹後広域振興局,道水路,-,-,-,-,-,-,-,-,-,-
京都府,植林,8,12,2,2,1,0,5,8,3,2
京都市,植林,-,-,-,-,-,-,4,6,1,1
山城広域振興局,植林,1,4,-,-,-,-,1,2,2,1
南丹広域振興局,植林,6,8,-,-,-,-,-,-,-,-
中丹広域振興局,植林,-,-,2,2,-,-,-,-,-,-
丹後広域振興局,植林,1,0,-,-,1,0,-,-,-,-
京都府,その他,395,325,453,391,435,363,441,388,640,538
京都市,その他,119,81,184,166,198,147,177,122,214,136
山城広域振興局,その他,103,111,139,92,92,72,146,113,250,239
南丹広域振興局,その他,71,44,33,28,57,59,18,15,81,72
中丹広域振興局,その他,40,31,44,51,38,43,67,93,60,65
丹後広域振興局,その他,62,58,53,54,50,42,33,46,35,26
