地域コード,地域,動力田植機(戸),動力田植機(台),トラクター(戸),トラクター(台),コンバイン(戸),コンバイン(台)
26000,京都府,11393,11618,13735,15164,10089,10344
26100,京都市,1037,1064,1385,1594,927,960
26101,京都市北区,67,67,114,132,59,60
26102,京都市上京区,2,2,3,3,1,1
26103,京都市左京区,104,107,118,125,92,93
26104,京都市中京区,1,1,2,2,1,1
26105,京都市東山区,-,-,-,-,-,-
26106,京都市下京区,2,2,3,4,2,2
26107,京都市南区,56,56,110,124,44,44
26108,京都市右京区,248,256,323,380,218,233
26109,京都市伏見区,320,328,392,464,300,310
26110,京都市山科区,70,71,91,105,67,68
26111,京都市西京区,167,174,229,255,143,148
26201,福知山市,1362,1380,1778,1916,1084,1126
26202,舞鶴市,531,541,566,605,469,473
26203,綾部市,966,996,1100,1210,872,912
26204,宇治市,92,92,103,135,86,88
26205,宮津市,271,281,295,323,225,237
26206,亀岡市,1336,1350,1537,1675,1298,1316
26207,城陽市,166,167,196,209,160,162
26208,向日市,130,131,159,174,125,126
26209,長岡京市,118,120,146,161,100,101
26210,八幡市,203,203,228,253,190,191
26211,京田辺市,414,418,435,453,409,413
26212,京丹後市,1318,1359,1562,1803,959,974
26213,南丹市,1128,1146,1469,1602,1008,1032
26214,木津川市,621,628,653,700,617,631
26303,乙訓郡大山崎町,13,13,18,19,14,14
26322,久世郡久御山町,206,208,257,311,204,205
26343,綴喜郡井手町,60,60,71,76,53,54
26344,綴喜郡宇治田原町,82,84,106,107,71,71
26364,相楽郡笠置町,16,18,17,19,16,16
26365,相楽郡和束町,155,158,168,175,129,134
26366,相楽郡精華町,237,245,247,277,236,243
26367,相楽郡南山城村,102,106,93,93,101,104
26407,船井郡京丹波町,540,552,812,906,517,535
26463,与謝郡伊根町,81,88,88,94,53,57
26465,与謝郡与謝野町,208,210,246,274,166,169
