西暦,和暦,地域コード,地域,水稲_作付面積(ha),水稲_10a当たり収量(kg),水稲_収穫量(t),陸稲_作付面積(ha),陸稲_10a当たり収量(kg),陸稲_収穫量(t),小麦_作付面積(ha),小麦_10a当たり収量(kg),小麦_収穫量(t),二条大麦_作付面積(ha),二条大麦_10a当たり収量(kg),二条大麦_収穫量(t),六条大麦_作付面積(ha),六条大麦_10a当たり収量(kg),六条大麦_収穫量(t),はだか麦_作付面積(ha),はだか麦_10a当たり収量(kg),はだか麦_収穫量(t)
2011年,平成23年,26000,京都府,15600,508,79200,X,X,X,165,105,173,120,189,227,13,44,6,0,100,0
2012年,平成24年,26000,京都府,15600,519,81000,X,X,X,160,125,200,131,154,202,X,117,X,X,X,X
2013年,平成25年,26000,京都府,15500,530,82200,-,-,-,152,113,172,112,164,184,X,X,X,-,-,-
2014年,平成26年,26000,京都府,15200,507,77100,-,-,-,140,145,203,105,255,268,X,106,X,-,-,-
2015年,平成27年,26000,京都府,15000,510,76500,-,-,-,151,104,157,112,182,204,X,99,X,-,-,-
2015年,平成27年,26100,京都市,1150,495,5700,…,…,…,X,X,X,-,-,-,-,-,-,-,-,-
2015年,平成27年,26201,福知山市,1670,492,8210,…,…,…,67,110,74,-,-,-,-,-,-,-,-,-
2015年,平成27年,26202,舞鶴市,614,485,2980,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26203,綾部市,1370,500,6850,…,…,…,39,74,29,-,-,-,-,-,-,-,-,-
2015年,平成27年,26204,宇治市,196,526,1030,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26205,宮津市,362,493,1790,…,…,…,-,-,-,-,-,-,X,X,X,-,-,-
2015年,平成27年,26206,亀岡市,1590,546,8650,…,…,…,0,…,…,112,182,204,-,-,-,-,-,-
2015年,平成27年,26207,城陽市,188,525,987,…,…,…,X,X,X,-,-,-,X,X,X,-,-,-
2015年,平成27年,26208,向日市,69,506,349,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26209,長岡京市,72,507,365,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26210,八幡市,254,531,1350,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26211,京田辺市,398,521,2070,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26212,京丹後市,2560,511,13100,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26213,南丹市,1540,515,7910,…,…,…,38,121,46,-,-,-,X,X,X,-,-,-
2015年,平成27年,26214,木津川市,570,521,2970,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26303,乙訓郡大山崎町,11,507,56,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26322,久世郡久御山町,229,531,1220,…,…,…,X,167,X,-,-,-,-,-,-,-,-,-
2015年,平成27年,26343,綴喜郡井手町,64,509,326,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26344,綴喜郡宇治田原町,112,517,579,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26364,相楽郡笠置町,18,490,88,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26365,相楽郡和束町,81,498,403,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26366,相楽郡精華町,207,530,1100,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26367,相楽郡南山城村,100,489,489,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26407,船井郡京丹波町,822,492,4040,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26463,与謝郡伊根町,117,483,565,…,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,26465,与謝郡与謝野町,661,507,3350,…,…,…,X,X,X,-,-,-,X,X,X,-,-,-
