西暦,和暦,地域コード,地域,大豆_作付面積(ha),大豆_10a当たり収量(kg),大豆_収穫量(t),小豆_作付面積(ha),小豆_10a当たり収量(kg),小豆_収穫量(t),かんしょ_作付面積(ha),かんしょ_10a当たり収量(kg),かんしょ_収穫量(t),ソルゴー_作付面積(ha),ソルゴー_収穫量(t),青刈りとうもろこし_作付面積(ha),青刈りとうもろこし_収穫量(t),牧草_作付面積(ha),牧草_収穫量(t)
2010年,平成22年,26000,京都府,509,79,403,593,49,291,205,…,…,85,2980,21,634,168,6280
2011年,平成23年,26000,京都府,458,98,449,588,56,329,197,1650,3250,80,2520,21,416,161,3860
2012年,平成24年,26000,京都府,451,133,600,600,78,468,187,…,…,79,…,19,…,159,…
2013年,平成25年,26000,京都府,407,93,379,594,50,297,168,…,…,80,…,19,…,155,…
2014年,平成26年,26000,京都府,373,122,455,565,46,260,162,1580,2560,92,3100,18,607,149,5450
2014年,平成26年,26100,京都市,17,106,18,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26201,福知山市,45,102,46,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26202,舞鶴市,9,84,8,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26203,綾部市,19,95,18,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26204,宇治市,1,126,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26205,宮津市,4,88,4,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26206,亀岡市,34,121,41,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26207,城陽市,1,117,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26208,向日市,1,115,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26209,長岡京市,0,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26210,八幡市,2,120,2,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26211,京田辺市,8,125,10,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26212,京丹後市,86,125,108,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26213,南丹市,44,127,56,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26214,木津川市,6,133,8,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26303,乙訓郡大山崎町,0,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26322,久世郡久御山町,1,122,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26343,綴喜郡井手町,2,130,3,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26344,綴喜郡宇治田原町,1,100,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26364,相楽郡笠置町,0,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26365,相楽郡和束町,1,109,1,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26366,相楽郡精華町,4,125,5,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26367,相楽郡南山城村,0,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26407,船井郡京丹波町,59,124,73,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26463,与謝郡伊根町,0,…,…,-,-,-,-,-,-,-,-,-,-,-,-
2014年,平成26年,26465,与謝郡与謝野町,28,175,49,-,-,-,-,-,-,-,-,-,-,-,-
