西暦,和暦,農作物,作付面積(結果樹面積)(ha),収穫量(t),出荷量(t)
2011年,平成23年,だいこん,263,7760,4830
2012年,平成24年,だいこん,265,8320,5190
2013年,平成25年,だいこん,262,8240,5220
2014年,平成26年,だいこん,266,8400,5340
2015年,平成27年,だいこん,264,8040,5150
2011年,平成23年,かぶ,160,5230,4610
2012年,平成24年,かぶ,166,5480,4800
2013年,平成25年,かぶ,164,5350,4670
2014年,平成26年,かぶ,163,5220,4560
2015年,平成27年,かぶ,164,5380,4680
2011年,平成23年,にんじん,61,1070,661
2012年,平成24年,にんじん,56,1140,721
2013年,平成25年,にんじん,58,1170,737
2014年,平成26年,にんじん,61,1260,793
2015年,平成27年,にんじん,62,1290,830
2011年,平成23年,ごぼう,…,…,…
2012年,平成24年,ごぼう,…,…,…
2013年,平成25年,ごぼう,32,297,149
2014年,平成26年,ごぼう,…,…,…
2015年,平成27年,ごぼう,…,…,…
2011年,平成23年,れんこん,…,…,…
2012年,平成24年,れんこん,…,…,…
2013年,平成25年,れんこん,1,8,6
2014年,平成26年,れんこん,…,…,…
2015年,平成27年,れんこん,…,…,…
2011年,平成23年,ばれいしょ,225,1940,853
2012年,平成24年,ばれいしょ,223,2140,940
2013年,平成25年,ばれいしょ,221,2000,877
2014年,平成26年,ばれいしょ,223,2290,1110
2015年,平成27年,ばれいしょ,221,2160,1040
2011年,平成23年,さといも,131,1400,672
2012年,平成24年,さといも,143,1530,753
2013年,平成25年,さといも,146,1530,753
2014年,平成26年,さといも,147,1560,768
2015年,平成27年,さといも,146,1530,756
2011年,平成23年,やまのいも,22,173,117
2012年,平成24年,やまのいも,22,171,116
2013年,平成25年,やまのいも,22,168,114
2014年,平成26年,やまのいも,…,…,…
2015年,平成27年,やまのいも,…,…,…
2011年,平成23年,はくさい,127,4000,2120
2012年,平成24年,はくさい,126,4060,2270
2013年,平成25年,はくさい,124,4060,2260
2014年,平成26年,はくさい,122,3870,2120
2015年,平成27年,はくさい,121,3760,2060
2011年,平成23年,こまつな,189,3460,3190
2012年,平成24年,こまつな,189,3350,3080
2013年,平成25年,こまつな,200,3660,3350
2014年,平成26年,こまつな,200,3720,3410
2015年,平成27年,こまつな,198,3640,3350
2011年,平成23年,キャベツ,250,6980,5580
2012年,平成24年,キャベツ,255,7670,6140
2013年,平成25年,キャベツ,257,7870,6270
2014年,平成26年,キャベツ,259,8160,6540
2015年,平成27年,キャベツ,259,7890,6330
2011年,平成23年,ちんげんさい,…,…,…
2012年,平成24年,ちんげんさい,…,…,…
2013年,平成25年,ちんげんさい,2,20,17
2014年,平成26年,ちんげんさい,…,…,…
2015年,平成27年,ちんげんさい,…,…,…
2011年,平成23年,ほうれんそう,319,5010,4310
2012年,平成24年,ほうれんそう,322,4930,4240
2013年,平成25年,ほうれんそう,327,5170,4450
2014年,平成26年,ほうれんそう,331,5160,4440
2015年,平成27年,ほうれんそう,329,5100,4390
2011年,平成23年,ふき,…,…,…
2012年,平成24年,ふき,…,…,…
2013年,平成25年,ふき,13,76,68
2014年,平成26年,ふき,…,…,…
2015年,平成27年,ふき,…,…,…
2011年,平成23年,みつば,…,…,…
2012年,平成24年,みつば,…,…,…
2013年,平成25年,みつば,2,17,11
2014年,平成26年,みつば,…,…,…
2015年,平成27年,みつば,…,…,…
2011年,平成23年,しゅんぎく,32,532,438
2012年,平成24年,しゅんぎく,31,522,430
2013年,平成25年,しゅんぎく,33,569,453
2014年,平成26年,しゅんぎく,33,578,462
2015年,平成27年,しゅんぎく,33,564,457
2011年,平成23年,みずな,155,2680,2380
2012年,平成24年,みずな,156,2540,2290
2013年,平成25年,みずな,154,2590,2360
2014年,平成26年,みずな,152,2600,2340
2015年,平成27年,みずな,150,2520,2270
2011年,平成23年,セルリー,…,…,…
2012年,平成24年,セルリー,…,…,…
2013年,平成25年,セルリー,0,2,1
2014年,平成26年,セルリー,…,…,…
2015年,平成27年,セルリー,…,…,…
2011年,平成23年,アスパラガス,…,…,…
2012年,平成24年,アスパラガス,…,…,…
2013年,平成25年,アスパラガス,2,4,2
2014年,平成26年,アスパラガス,…,…,…
2015年,平成27年,アスパラガス,…,…,…
2011年,平成23年,カリフラワー,…,…,…
2012年,平成24年,カリフラワー,…,…,…
2013年,平成25年,カリフラワー,4,57,30
2014年,平成26年,カリフラワー,…,…,…
2015年,平成27年,カリフラワー,…,…,…
2011年,平成23年,ブロッコリー,33,288,202
2012年,平成24年,ブロッコリー,34,302,214
2013年,平成25年,ブロッコリー,36,277,196
2014年,平成26年,ブロッコリー,38,306,217
2015年,平成27年,ブロッコリー,38,317,225
2011年,平成23年,レタス,…,…,…
2012年,平成24年,レタス,…,…,…
2013年,平成25年,レタス,48,1030,991
2014年,平成26年,レタス,…,…,…
2015年,平成27年,レタス,…,…,…
2011年,平成23年,ねぎ,293,6660,5570
2012年,平成24年,ねぎ,285,6470,5490
2013年,平成25年,ねぎ,296,6780,5800
2014年,平成26年,ねぎ,302,7030,6090
2015年,平成27年,ねぎ,303,6920,5950
2011年,平成23年,にら,…,…,…
2012年,平成24年,にら,…,…,…
2013年,平成25年,にら,2,13,4
2014年,平成26年,にら,…,…,…
2015年,平成27年,にら,…,…,…
2011年,平成23年,たまねぎ,119,2380,1510
2012年,平成24年,たまねぎ,118,2540,1600
2013年,平成25年,たまねぎ,120,2620,1670
2014年,平成26年,たまねぎ,124,2810,1930
2015年,平成27年,たまねぎ,124,2790,1910
2011年,平成23年,にんにく,…,…,…
2012年,平成24年,にんにく,…,…,…
2013年,平成25年,にんにく,10,50,31
2014年,平成26年,にんにく,…,…,…
2015年,平成27年,にんにく,…,…,…
2011年,平成23年,きゅうり,135,4920,4060
2012年,平成24年,きゅうり,136,5070,4170
2013年,平成25年,きゅうり,136,4950,4110
2014年,平成26年,きゅうり,137,5130,4300
2015年,平成27年,きゅうり,137,4920,4130
2011年,平成23年,かぼちゃ,…,…,…
2012年,平成24年,かぼちゃ,…,…,…
2013年,平成25年,かぼちゃ,96,1300,664
2014年,平成26年,かぼちゃ,…,…,…
2015年,平成27年,かぼちゃ,…,…,…
2011年,平成23年,なす,179,9590,8190
2012年,平成24年,なす,180,10200,8720
2013年,平成25年,なす,180,9940,8570
2014年,平成26年,なす,178,9920,8530
2015年,平成27年,なす,177,9390,8070
2011年,平成23年,トマト,146,5390,4210
2012年,平成24年,トマト,147,5490,4300
2013年,平成25年,トマト,148,5350,4220
2014年,平成26年,トマト,149,5540,4360
2015年,平成27年,トマト,149,5320,4180
2011年,平成23年,ピーマン,81,1930,1570
2012年,平成24年,ピーマン,81,2020,1650
2013年,平成25年,ピーマン,81,1970,1610
2014年,平成26年,ピーマン,88,2250,1990
2015年,平成27年,ピーマン,89,2110,1730
2011年,平成23年,スイートコーン,…,…,…
2012年,平成24年,スイートコーン,…,…,…
2013年,平成25年,スイートコーン,45,208,101
2014年,平成26年,スイートコーン,…,…,…
2015年,平成27年,スイートコーン,…,…,…
2011年,平成23年,さやいんげん,…,…,…
2012年,平成24年,さやいんげん,…,…,…
2013年,平成25年,さやいんげん,81,400,228
2014年,平成26年,さやいんげん,…,…,…
2015年,平成27年,さやいんげん,…,…,…
2011年,平成23年,さやえんどう,86,440,270
2012年,平成24年,さやえんどう,…,…,…
2013年,平成25年,さやえんどう,70,320,180
2014年,平成26年,さやえんどう,…,…,…
2015年,平成27年,さやえんどう,…,…,…
2011年,平成23年,グリーンピース,…,…,…
2012年,平成24年,グリーンピース,…,…,…
2013年,平成25年,グリーンピース,16,120,90
2014年,平成26年,グリーンピース,…,…,…
2015年,平成27年,グリーンピース,…,…,…
2011年,平成23年,そらまめ,…,…,…
2012年,平成24年,そらまめ,…,…,…
2013年,平成25年,そらまめ,11,74,30
2014年,平成26年,そらまめ,…,…,…
2015年,平成27年,そらまめ,…,…,…
2011年,平成23年,えだまめ,222,1210,1030
2012年,平成24年,えだまめ,223,1270,1090
2013年,平成25年,えだまめ,224,1240,1060
2014年,平成26年,えだまめ,224,1210,1040
2015年,平成27年,えだまめ,225,1260,1080
2011年,平成23年,しょうが,…,…,…
2012年,平成24年,しょうが,…,…,…
2013年,平成25年,しょうが,7,54,28
2014年,平成26年,しょうが,…,…,…
2015年,平成27年,しょうが,…,…,…
2011年,平成23年,いちご,…,…,…
2012年,平成24年,いちご,…,…,…
2013年,平成25年,いちご,47,446,290
2014年,平成26年,いちご,…,…,…
2015年,平成27年,いちご,…,…,…
2011年,平成23年,メロン,…,…,…
2012年,平成24年,メロン,…,…,…
2013年,平成25年,メロン,46,510,398
2014年,平成26年,メロン,…,…,…
2015年,平成27年,メロン,…,…,…
2011年,平成23年,すいか,…,…,…
2012年,平成24年,すいか,…,…,…
2013年,平成25年,すいか,81,1530,743
2014年,平成26年,すいか,…,…,…
2015年,平成27年,すいか,…,…,…
2011年,平成23年,日本なし,82,1600,1470
2012年,平成24年,日本なし,82,1530,1410
2013年,平成25年,日本なし,80,1410,1310
2014年,平成26年,日本なし,78,1620,1480
2015年,平成27年,日本なし,78,1700,1610
2011年,平成23年,かき,…,…,…
2012年,平成24年,かき,…,…,…
2013年,平成25年,かき,…,…,…
2014年,平成26年,かき,208,2010,1400
2015年,平成27年,かき,…,…,…
2011年,平成23年,もも,…,…,…
2012年,平成24年,もも,…,…,…
2013年,平成25年,もも,…,…,…
2014年,平成26年,もも,22,126,104
2015年,平成27年,もも,…,…,…
2011年,平成23年,うめ,…,…,…
2012年,平成24年,うめ,…,…,…
2013年,平成25年,うめ,…,…,…
2014年,平成26年,うめ,87,283,200
2015年,平成27年,うめ,…,…,…
2011年,平成23年,ぶどう,…,…,…
2012年,平成24年,ぶどう,…,…,…
2013年,平成25年,ぶどう,…,…,…
2014年,平成26年,ぶどう,83,739,621
2015年,平成27年,ぶどう,…,…,…
2011年,平成23年,くり,…,…,…
2012年,平成24年,くり,…,…,…
2013年,平成25年,くり,…,…,…
2014年,平成26年,くり,488,346,222
2015年,平成27年,くり,…,…,…
