西暦,和暦,種別,品目,作付面積(鉢もの類は収穫面積)(a),出荷量(鉢もの類は千鉢単位)(千本)
2011年,平成23年,切り花類,合計,…,…
2012年,平成24年,切り花類,合計,…,…
2013年,平成25年,切り花類,合計,8960,10900
2014年,平成26年,切り花類,合計,…,…
2015年,平成27年,切り花類,合計,…,…
2011年,平成23年,切り花類,きく,…,…
2012年,平成24年,切り花類,きく,…,…
2013年,平成25年,切り花類,きく,906,2110
2014年,平成26年,切り花類,きく,…,…
2015年,平成27年,切り花類,きく,…,…
2011年,平成23年,切り花類,カーネーション,…,…
2012年,平成24年,切り花類,カーネーション,…,…
2013年,平成25年,切り花類,カーネーション,X,X
2014年,平成26年,切り花類,カーネーション,…,…
2015年,平成27年,切り花類,カーネーション,…,…
2011年,平成23年,切り花類,ばら,…,…
2012年,平成24年,切り花類,ばら,…,…
2013年,平成25年,切り花類,ばら,251,1400
2014年,平成26年,切り花類,ばら,…,…
2015年,平成27年,切り花類,ばら,…,…
2011年,平成23年,切り花類,洋ラン類,…,…
2012年,平成24年,切り花類,洋ラン類,…,…
2013年,平成25年,切り花類,洋ラン類,-,-
2014年,平成26年,切り花類,洋ラン類,…,…
2015年,平成27年,切り花類,洋ラン類,…,…
2011年,平成23年,切り花類,スターチス,…,…
2012年,平成24年,切り花類,スターチス,…,…
2013年,平成25年,切り花類,スターチス,X,X
2014年,平成26年,切り花類,スターチス,…,…
2015年,平成27年,切り花類,スターチス,…,…
2011年,平成23年,切り花類,トルコギキョウ,…,…
2012年,平成24年,切り花類,トルコギキョウ,…,…
2013年,平成25年,切り花類,トルコギキョウ,124,206
2014年,平成26年,切り花類,トルコギキョウ,…,…
2015年,平成27年,切り花類,トルコギキョウ,…,…
2011年,平成23年,切り花類,ゆり（球根切り花）,…,…
2012年,平成24年,切り花類,ゆり（球根切り花）,…,…
2013年,平成25年,切り花類,ゆり（球根切り花）,446,571
2014年,平成26年,切り花類,ゆり（球根切り花）,…,…
2015年,平成27年,切り花類,ゆり（球根切り花）,…,…
2011年,平成23年,切り花類,切り葉,…,…
2012年,平成24年,切り花類,切り葉,…,…
2013年,平成25年,切り花類,切り葉,X,X
2014年,平成26年,切り花類,切り葉,…,…
2015年,平成27年,切り花類,切り葉,…,…
2011年,平成23年,切り花類,切り枝,…,…
2012年,平成24年,切り花類,切り枝,…,…
2013年,平成25年,切り花類,切り枝,2710,1940
2014年,平成26年,切り花類,切り枝,…,…
2015年,平成27年,切り花類,切り枝,…,…
2011年,平成23年,鉢もの類,合計,…,…
2012年,平成24年,鉢もの類,合計,…,…
2013年,平成25年,鉢もの類,合計,623,632
2014年,平成26年,鉢もの類,合計,…,…
2015年,平成27年,鉢もの類,合計,…,…
2011年,平成23年,鉢もの類,シクラメン,…,…
2012年,平成24年,鉢もの類,シクラメン,…,…
2013年,平成25年,鉢もの類,シクラメン,14,15
2014年,平成26年,鉢もの類,シクラメン,…,…
2015年,平成27年,鉢もの類,シクラメン,…,…
2011年,平成23年,鉢もの類,洋ラン類,…,…
2012年,平成24年,鉢もの類,洋ラン類,…,…
2013年,平成25年,鉢もの類,洋ラン類,95,24
2014年,平成26年,鉢もの類,洋ラン類,…,…
2015年,平成27年,鉢もの類,洋ラン類,…,…
2011年,平成23年,鉢もの類,観葉植物,…,…
2012年,平成24年,鉢もの類,観葉植物,…,…
2013年,平成25年,鉢もの類,観葉植物,204,177
2014年,平成26年,鉢もの類,観葉植物,…,…
2015年,平成27年,鉢もの類,観葉植物,…,…
2011年,平成23年,鉢もの類,花木類,…,…
2012年,平成24年,鉢もの類,花木類,…,…
2013年,平成25年,鉢もの類,花木類,246,161
2014年,平成26年,鉢もの類,花木類,…,…
2015年,平成27年,鉢もの類,花木類,…,…
2011年,平成23年,花壇用苗もの類,合計,2410,11900
2012年,平成24年,花壇用苗もの類,合計,2280,11300
2013年,平成25年,花壇用苗もの類,合計,2230,11400
2014年,平成26年,花壇用苗もの類,合計,2130,11200
2015年,平成27年,花壇用苗もの類,合計,2090,11200
2011年,平成23年,花壇用苗もの類,パンジー,558,4080
2012年,平成24年,花壇用苗もの類,パンジー,551,3820
2013年,平成25年,花壇用苗もの類,パンジー,551,3740
2014年,平成26年,花壇用苗もの類,パンジー,551,3680
2015年,平成27年,花壇用苗もの類,パンジー,517,3570
