西暦,和暦,広域振興局,地域コード,地域,面積(11月30日現在)_総数(ha),面積(11月30日現在)_成木園(ha),面積(11月30日現在)_2・3年生茶園(ha),面積(11月30日現在)_本年新植茶園(ha),荒茶生産量_総数(kg),荒茶生産量_煎茶(kg),荒茶生産量_一番茶(kg),荒茶生産量_二番茶(kg),荒茶生産量_三番茶(kg),荒茶生産量_かぶせ茶(kg),荒茶生産量_玉露(kg),荒茶生産量_てん茶(kg),荒茶生産量_番茶(kg),荒茶生産金額_総数(千円),荒茶生産金額_煎茶(千円),荒茶生産金額_一番茶(千円),荒茶生産金額_二番茶(千円),荒茶生産金額_三番茶(千円),荒茶生産金額_かぶせ茶(千円),荒茶生産金額_玉露(千円),荒茶生産金額_てん茶(千円),荒茶生産金額_番茶(千円)
2011年,平成23年,-,26000,京都府,1641,1578,50.7,11.9,2528883,732771,450779,279077,933,311525,145890,752584,586113,7030534,1735604,1391418,343599,587,684893,821024,3487505,301508
2012年,平成24年,-,26000,京都府,1626.2,1583.2,31.1,11.9,3071055,798399,495761,299119,1540,296953,133175,944287,898241,8124745,1846219,1483265,362133,821,700551,848698,4195600,533677
2013年,平成25年,-,26000,京都府,1624.2,1573.1,32,19.1,2909476,603032,375956,225096,-,339601,160215,1163609,643019,7071166,1324530,1112896,211634,-,763603,990838,3661675,330520
2014年,平成26年,-,26000,京都府,1618.4,1585.1,25.9,7.4,2711437,575625,398798,174877,-,316245,170420,1077739,571408,6915615,1379317,1225364,153953,-,624719,969860,3646449,295270
2015年,平成27年,-,26000,京都府,1613.1,1583.4,21.7,8,2958559,591092,438506,149701,1059,285023,166756,1405184,510504,8093382,1484511,1340881,143069,561,585924,933397,4836231,253319
2015年,平成27年,-,26100,京都市,6.7,6.7,-,-,5665,-,-,-,-,-,395,5270,-,73188,-,-,-,-,-,4770,68418,-
2015年,平成27年,山城広域振興局,26204,宇治市,80.5,78.8,1,0.7,64465,5735,5735,-,-,1302,14246,43182,-,641307,17205,17205,-,-,6509,113970,503623,-
2015年,平成27年,山城広域振興局,26207,城陽市,29.9,28.6,0.7,0.6,28370,-,-,-,-,-,-,28370,-,270366,-,-,-,-,-,-,270366,-
2015年,平成27年,山城広域振興局,26322,久御山町,3.8,3.5,0.2,0.1,3300,-,-,-,-,-,-,3300,-,33000,-,-,-,-,-,-,33000,-
2015年,平成27年,山城広域振興局,26210,八幡市,15.6,14.9,0.6,0.1,35100,-,-,-,-,-,-,35100,-,361530,-,-,-,-,-,-,361530,-
2015年,平成27年,山城広域振興局,26211,京田辺市,31,30.1,0.7,0.2,51014,1354,800,554,-,4452,15000,25000,5208,452804,4600,3500,1100,-,19600,220000,200000,8604
2015年,平成27年,山城広域振興局,26343,井手町,14.4,14.3,0.1,-,9174,-,-,-,-,-,-,9174,-,66412,-,-,-,-,-,-,66412,-
2015年,平成27年,山城広域振興局,26344,宇治田原町,258,252.4,3.9,1.7,347517,14845,6818,8027,-,4166,115166,207699,5641,1012035,28141,19672,8469,-,11104,467247,503258,2285
2015年,平成27年,山城広域振興局,26214,木津川市,142.5,139.8,1.9,0.8,309134,94510,94341,169,-,151448,534,57427,5215,885381,368351,367985,366,-,242798,1346,270320,2566
2015年,平成27年,山城広域振興局,26365,和束町,595.1,582.6,10.1,2.4,1293661,270276,203791,66485,-,84611,6567,717079,215128,3000083,730860,665173,65687,-,222103,32139,1890817,124164
2015年,平成27年,山城広域振興局,26367,南山城村,310.1,307.4,1.5,1.2,727152,190762,118962,70741,1059,39025,177,226114,271074,1016229,314928,250566,63801,561,83724,540,508493,108544
2015年,平成27年,南丹広域振興局,26206,亀岡市,0.3,0.2,0.1,-,252,252,252,-,-,-,-,-,-,291,291,291,-,-,-,-,-,-
2015年,平成27年,南丹広域振興局,26213,南丹市,7.4,7.4,-,-,2318,1620,520,874,-,19,-,-,679,4547,3544,2346,1198,-,86,-,-,917
2015年,平成27年,南丹広域振興局,26407,京丹波町,9,8.4,0.6,-,4160,4160,1792,768,-,-,-,-,-,5129,5129,3901,1228,-,-,-,-,-
2015年,平成27年,中丹広域振興局,26203,綾部市,29.2,29,-,0.2,20634,684,684,-,-,-,9529,7956,2465,109687,1306,1306,-,-,-,55829,50558,1994
2015年,平成27年,中丹広域振興局,26201,福知山市,16.3,16.3,-,-,10568,599,599,-,-,-,3514,6254,201,64086,837,837,-,-,-,25334,37745,170
2015年,平成27年,中丹広域振興局,26202,舞鶴市,17.6,17.3,0.3,-,8820,366,366,-,-,-,1628,6512,314,60414,593,593,-,-,-,12222,47338,261
2015年,平成27年,丹後広域振興局,26212,京丹後市,45.7,45.7,-,-,37255,5929,3846,2083,-,-,-,26747,4579,36893,8726,7506,1220,-,-,-,24353,3814
