西暦,和暦,地域コード,地域,乳用牛_飼養戸数(戸),乳用牛_頭数(頭),肉用牛_飼養戸数(戸),肉用牛_頭数(頭),肉用牛_繁殖(頭),肉用牛_肉専用種・乳用種(頭),馬_飼養戸数(戸),馬_頭数(頭),豚_飼養戸数(戸),豚_頭数(頭),豚_繁殖(頭),豚_子豚肥育(頭),にわとり_飼養戸数(戸),にわとり_羽数(羽),にわとり_種鶏(羽),にわとり_採卵鶏(羽),にわとり_ブロイラー(羽),あいがも・あひる_飼養戸数(戸),あいがも・あひる_羽数(羽),やぎ_飼養戸数(戸),やぎ_頭数(頭),うさぎ_飼養戸数(戸),うさぎ_羽数(羽),蜜蜂_飼養戸数(戸),蜜蜂_群数(群)
2012年,平成24年,26000,京都府,80,4988,99,7305,802,5991,29,377,20,14241,1268,12973,705,2037333,44613,1470855,521865,79,30656,56,201,12,144,129,996
2013年,平成25年,26000,京都府,79,4798,92,6644,938,5323,43,427,29,13411,1350,12061,738,1986968,44402,1509376,433190,74,24320,71,215,-,-,125,935
2014年,平成26年,26000,京都府,73,4535,93,6593,978,5376,40,451,31,13206,1348,11858,633,2126071,38895,1579642,507534,64,26541,67,206,-,-,171,1070
2015年,平成27年,26000,京都府,69,4368,94,6380,1008,5150,42,456,24,12414,1371,11043,571,2107899,29334,1569579,508986,60,31204,64,199,-,-,146,955
2016年,平成28年,26000,京都府,64,4247,89,5744,957,4605,42,480,33,13198,1377,11821,536,2127226,32757,1584152,510317,52,30804,65,234,-,-,144,1086
2016年,平成28年,26100,京都市,2,21,2,5,-,5,15,198,5,43,-,43,129,14645,374,13723,548,17,98,8,31,-,-,34,211
2016年,平成28年,26201,福知山市,5,163,15,217,171,6,2,5,4,2545,287,2258,52,1004099,-,571789,432310,4,26,10,45,-,-,16,85
2016年,平成28年,26202,舞鶴市,7,231,1,X,X,-,1,X,1,X,X,-,16,154498,-,154498,-,-,-,4,7,-,-,9,8
2016年,平成28年,26203,綾部市,10,908,16,638,119,498,4,9,2,56,47,9,40,186484,164,183380,2940,2,3,9,16,-,-,18,77
2016年,平成28年,26204,宇治市,3,81,2,42,-,38,1,X,1,X,X,X,10,30265,-,30265,-,2,3417,1,X,-,-,5,20
2016年,平成28年,26205,宮津市,-,-,1,X,X,-,-,-,1,X,-,X,12,5556,-,5556,-,-,-,-,-,-,-,6,217
2016年,平成28年,26206,亀岡市,3,137,16,1155,17,1131,2,23,4,1579,44,1535,30,262308,-,259568,2740,6,436,4,10,-,-,7,48
2016年,平成28年,26207,城陽市,1,X,-,-,-,-,1,X,-,-,-,-,9,42088,-,42086,2,3,27,3,6,-,-,7,128
2016年,平成28年,26208,向日市,-,-,-,-,-,-,-,-,-,-,-,-,1,X,-,X,-,1,X,-,-,-,-,-,-
2016年,平成28年,26209,長岡京市,-,-,-,-,-,-,-,-,-,-,-,-,5,32,-,32,-,3,8,-,-,-,-,6,23
2016年,平成28年,26210,八幡市,-,-,-,-,-,-,1,X,1,X,-,X,6,128,-,108,20,2,18,1,X,-,-,4,12
2016年,平成28年,26211,京田辺市,-,-,-,-,-,-,1,X,-,-,-,-,7,169,-,168,1,-,-,-,-,-,-,5,72
2016年,平成28年,26212,京丹後市,7,321,12,624,439,120,2,7,1,X,X,-,39,46020,-,8920,37100,2,33,4,25,-,-,9,35
2016年,平成28年,26213,南丹市,15,1335,10,1833,32,1797,3,4,8,4323,738,3585,84,77352,32219,24874,20259,7,137,13,72,-,-,5,9
2016年,平成28年,26214,木津川市,1,X,-,-,-,-,-,-,-,-,-,-,11,1300,-,1300,-,-,-,-,-,-,-,5,60
2016年,平成28年,26303,乙訓郡大山崎町,-,-,-,-,-,-,-,-,-,-,-,-,1,X,-,X,-,-,-,-,-,-,-,-,-
2016年,平成28年,26322,久世郡久御山町,-,-,-,-,-,-,-,-,-,-,-,-,3,22,-,22,-,-,-,1,X,-,-,-,-
2016年,平成28年,26343,綴喜郡井手町,-,-,-,-,-,-,-,-,-,-,-,-,6,124,-,124,-,-,-,-,-,-,-,2,19
2016年,平成28年,26344,綴喜郡宇治田原町,-,-,-,-,-,-,-,-,-,-,-,-,14,4161,-,4161,-,-,-,-,-,-,-,1,X
2016年,平成28年,26364,相楽郡笠置町,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,3,-,-,-,-,-,-,-,-,-
2016年,平成28年,26365,相楽郡和束町,-,-,-,-,-,-,-,-,-,-,-,-,5,102,-,102,-,-,-,-,-,-,-,-,-
2016年,平成28年,26366,相楽郡精華町,-,-,-,-,-,-,2,11,-,-,-,-,9,345,-,345,-,-,-,1,X,-,-,-,-
2016年,平成28年,26367,相楽郡南山城村,-,-,-,-,-,-,1,X,2,1141,129,1012,7,153,-,144,9,2,3,-,-,-,-,2,X
2016年,平成28年,26407,船井郡京丹波町,10,978,10,1129,93,1010,6,16,3,3457,105,3352,20,294105,-,279717,14388,1,X,5,10,-,-,-,-
2016年,平成28年,26463,与謝郡伊根町,-,-,2,65,62,-,-,-,-,-,-,-,2,2821,-,2821,-,-,-,-,-,-,-,-,-
2016年,平成28年,26465,与謝郡与謝野町,-,-,2,14,11,-,-,-,-,-,-,-,16,425,-,425,-,-,-,1,X,-,-,3,55
