西暦,和暦,年月等,生産量(t),移出量(t),移入量(t),処理量(t),処理量_牛乳等向け(t),処理量_乳製品向け(t),処理量_その他向け(t),飲用牛乳等生産量(kl)
2010年,平成22年,年次,35313,10381,128341,153273,153152,27,94,135980
2011年,平成23年,年次,33129,11142,126158,148145,147987,35,123,123944
2012年,平成24年,年次,32999,11285,130743,152457,152296,40,121,120873
2013年,平成25年,年次,31868,10969,120690,141589,141429,38,122,113171
2014年,平成26年,年次,30880,10501,116050,136429,136245,44,140,107931
2014年,平成26年,1月,2682,884,8997,10795,10779,3,13,8600
2014年,平成26年,2月,2467,806,9232,10893,10879,3,11,8631
2014年,平成26年,3月,2752,894,9288,11146,11132,4,10,8715
2014年,平成26年,4月,2666,839,9370,11197,11185,4,8,8708
2014年,平成26年,5月,2714,887,10152,11979,11967,4,8,9274
2014年,平成26年,6月,2544,833,10496,12207,12193,5,9,9522
2014年,平成26年,7月,2534,872,10603,12265,12252,4,9,9372
2014年,平成26年,8月,2511,894,10193,11810,11797,4,9,9127
2014年,平成26年,9月,2448,894,10857,12411,12399,3,9,9752
2014年,平成26年,10月,2522,923,9871,11470,11459,3,8,9547
2014年,平成26年,11月,2459,889,8938,10508,10466,4,38,8675
2014年,平成26年,12月,2581,886,8053,9748,9737,3,8,8008
