西暦,和暦,年月等,鶏卵_生産量(t),鶏卵_出荷量(t),鶏卵_入荷量(t)
2010年,平成22年,年次,20854,20842,49116
2011年,平成23年,年次,23009,22743,49262
2012年,平成24年,年次,25785,25525,43983
2013年,平成25年,年次,27027,26809,40892
2014年,平成26年,年次,28691,28413,49705
2014年,平成26年,1月,2240,2199,4407
2014年,平成26年,2月,2140,2104,3877
2014年,平成26年,3月,2603,2565,4352
2014年,平成26年,4月,2456,2422,4233
2014年,平成26年,5月,2629,2597,4377
2014年,平成26年,6月,2390,2367,4032
2014年,平成26年,7月,2377,2359,4024
2014年,平成26年,8月,2362,2345,3973
2014年,平成26年,9月,2352,2340,3946
2014年,平成26年,10月,2483,2481,4218
2014年,平成26年,11月,2267,2259,4001
2014年,平成26年,12月,2392,2375,4265
