西暦,和暦,年齢階級,総数(人),獣医事に従事するもの_国家公務員(人),獣医事に従事するもの_府県職員(人),獣医事に従事するもの_市町村職員(人),獣医事に従事するもの_民間団体(人),獣医事に従事するもの_診療施設(人),獣医事に従事するもの_その他(人),獣医事に従事しない者(人)
2006年,平成18年,総数,559,-,88,42,86,278,4,61
2008年,平成20年,総数,578,-,90,35,105,286,-,62
2010年,平成22年,総数,587,-,80,44,100,297,5,61
2012年,平成24年,総数,638,1,91,47,109,321,1,68
2014年,平成26年,総数,649,3,94,54,103,334,1,60
2014年,平成26年,〜29歳,95,-,7,12,16,50,-,10
2014年,平成26年,30〜39歳,138,-,18,19,21,72,1,7
2014年,平成26年,40〜49歳,154,1,35,7,16,91,-,4
2014年,平成26年,50〜59歳,121,1,29,9,28,51,-,3
2014年,平成26年,60歳以上,141,1,5,7,22,70,-,36
