西暦,和暦,項目,10a当たり(円),60kg当たり(円)
2010年,平成22年,合計,179493,22071
2011年,平成23年,合計,183551,21600
2012年,平成24年,合計,216616,25206
2013年,平成25年,合計,196394,22843
2014年,平成26年,合計,174145,20793
2014年,平成26年,費用合計①,154965,18503
2014年,平成26年,費用合計_購入（支払）,65119,7772
2014年,平成26年,費用合計_自給,54023,6451
2014年,平成26年,費用合計_償却,35823,4280
2014年,平成26年,種苗費,3621,432
2014年,平成26年,種苗費_購入,3621,432
2014年,平成26年,種苗費_自給,-,-
2014年,平成26年,肥料費,12992,1552
2014年,平成26年,肥料費_購入,12992,1552
2014年,平成26年,農業薬剤費,6380,762
2014年,平成26年,光熱動力費,6522,778
2014年,平成26年,その他の諸材料費,2720,324
2014年,平成26年,その他の諸材料費_購入,2720,324
2014年,平成26年,その他の諸材料費_自給,-,-
2014年,平成26年,土地改良及び水利費,3006,358
2014年,平成26年,賃借料及び料金,5639,672
2014年,平成26年,物件税及び公課諸負担,3364,403
2014年,平成26年,建物費,10050,1201
2014年,平成26年,建物費_償却費,8392,1003
2014年,平成26年,建物費_修繕費及び購入補充費,1658,198
2014年,平成26年,自動車及び農機具費,41342,4937
2014年,平成26年,自動車及び農機具費_償却費,27426,3276
2014年,平成26年,自動車及び農機具費_修繕費及び購入補充費,13916,1661
2014年,平成26年,生産管理費,336,40
2014年,平成26年,生産管理費_償却費,5,1
2014年,平成26年,生産管理費_購入・支払,331,39
2014年,平成26年,労働費,58993,7044
2014年,平成26年,労働費_うち家族,54023,6451
2014年,平成26年,副産物価額②,1193,142
2014年,平成26年,生産費(副産物価額差引)①-②,153772,18361
2014年,平成26年,支払利子③,381,45
2014年,平成26年,支払地代④,3849,460
2014年,平成26年,支払利子・地代算入生産費(①-②)+③+④,158002,18866
2014年,平成26年,自己資本利子⑤,10069,1202
2014年,平成26年,自作地地代⑥,6074,725
2014年,平成26年,全算入生産費(①-②)+③+④+⑤+⑥,174145,20793
