種別,2010年(t),2011年(t),2012年(t),2013年(t),2014年(t)
内水面漁業漁獲量,22,22,17,14,13
内水面漁業漁獲量_さけ類,0,0,0,0,0
内水面漁業漁獲量_その他のさけ・ます類,2,2,2,2,2
内水面漁業漁獲量_あゆ,18,18,13,11,10
内水面漁業漁獲量_こい,0,0,0,0,0
内水面漁業漁獲量_ふな,0,0,0,0,0
内水面漁業漁獲量_うぐい・おいかわ,1,0,0,0,0
内水面漁業漁獲量_うなぎ,0,0,0,0,0
内水面漁業漁獲量_はぜ類,0,0,0,0,0
内水面漁業漁獲量_その他の魚類,0,0,0,0,0
内水面漁業漁獲量_しじみ,0,-,-,-,-
内水面漁業漁獲量_その他の水産動植物類,0,0,0,0,0
内水面漁業漁獲量_その他の水産動植物類_えび類,0,0,0,0,0
内水面漁業漁獲量_その他の水産動植物類_その他,0,0,0,0,0
内水面養殖業収獲量,8,3,4,3,3
内水面養殖業収獲量_ます類_にじます,X,X,-,-,-
内水面養殖業収獲量_ます類_その他のます,5,2,3,3,X
内水面養殖業収獲量_こい,X,X,1,1,X
