西暦,和暦,漁業種別,無動力船_隻数(隻),無動力船_トン数(t),動力船総数_隻数(隻),動力船総数_トン数(t),動力船10トン未満_隻数(隻),動力船10トン未満_トン数(t),動力船10〜19トン_隻数(隻),動力船10〜19トン_トン数(t),動力船20〜49トン_隻数(隻),動力船20〜49トン_トン数(t),動力船50トン以上_隻数(隻),動力船50トン以上_トン数(t)
2011年,平成23年,総数,30,98,2259,4422,2192,3037,63,938,1,29,3,418
2012年,平成24年,総数,81,123,2208,4332,2142,2958,62,927,1,29,3,418
2013年,平成25年,総数,95,127,2118,4211,2054,2863,60,901,1,29,3,418
2014年,平成26年,総数,94,126,2057,4201,1992,2763,61,918,1,29,3,491
2015年,平成27年,総数,29,98,2019,4197,1951,2682,64,985,1,29,3,501
2015年,平成27年,採介藻,9,4,488,336,488,336,-,-,-,-,-,-
2015年,平成27年,定置網,14,90,155,886,119,299,35,559,1,29,-,-
2015年,平成27年,一本釣り,1,1,929,1612,918,1463,11,149,-,-,-,-
2015年,平成27年,延縄,-,-,32,71,32,71,-,-,-,-,-,-
2015年,平成27年,刺し網,-,-,254,302,253,291,1,12,-,-,-,-
2015年,平成27年,底びき網,-,-,11,177,-,-,11,177,-,-,-,-
2015年,平成27年,ひき網,4,2,82,133,82,133,-,-,-,-,-,-
2015年,平成27年,官公庁船,-,-,13,563,7,11,3,51,-,-,3,501
2015年,平成27年,運搬船,1,1,-,-,-,-,-,-,-,-,-,-
2015年,平成27年,雑漁業,-,-,55,117,52,79,3,38,-,-,-,-
2015年,平成27年,内水面,-,-,-,-,-,-,-,-,-,-,-,-
