品目,種別,2010年(t),2011年(t),2012年(t),2013年(t),2014年(t)
総数,海面漁業漁獲量,11053,11043,11470,11106,10743
くろまぐろ,海面漁業漁獲量,92,34,61,44,64
びんなが,海面漁業漁獲量,2,1,3,1,1
その他のまぐろ類,海面漁業漁獲量,-,-,1,4,1
めかじき,海面漁業漁獲量,-,0,0,0,0
くろかじき類,海面漁業漁獲量,7,3,9,7,6
その他のかじき類,海面漁業漁獲量,53,10,19,12,17
かつお,海面漁業漁獲量,3,6,5,3,1
そうだがつお類,海面漁業漁獲量,270,132,242,95,84
さめ類,海面漁業漁獲量,0,0,0,0,0
さけ類,海面漁業漁獲量,2,2,1,3,12
ます類,海面漁業漁獲量,1,1,1,0,2
このしろ,海面漁業漁獲量,16,20,10,13,34
まいわし,海面漁業漁獲量,217,664,249,1560,128
うるめいわし,海面漁業漁獲量,82,104,14,17,24
かたくちいわし,海面漁業漁獲量,1554,1863,1727,1169,1932
しらす,海面漁業漁獲量,14,6,13,6,5
まあじ,海面漁業漁獲量,887,1284,1112,873,778
むろあじ類,海面漁業漁獲量,63,60,53,128,136
さば類,海面漁業漁獲量,91,289,56,154,541
さんま,海面漁業漁獲量,9,27,18,70,72
ぶり類,海面漁業漁獲量,1829,1267,1808,1341,1491
ひらめ,海面漁業漁獲量,40,33,41,40,38
かれい類,海面漁業漁獲量,263,227,208,196,198
まだら,海面漁業漁獲量,4,5,5,9,5
すけとうだら,海面漁業漁獲量,0,-,0,-,-
ほっけ,海面漁業漁獲量,0,0,-,0,-
はたはた,海面漁業漁獲量,76,61,140,63,64
にぎす類,海面漁業漁獲量,55,112,92,101,111
あなご類,海面漁業漁獲量,4,6,4,4,5
たちうお,海面漁業漁獲量,24,36,70,57,59
まだい,海面漁業漁獲量,110,117,94,83,82
ちだい・きだい,海面漁業漁獲量,28,31,24,26,49
くろだい・へだい,海面漁業漁獲量,7,9,6,7,12
いさき,海面漁業漁獲量,5,6,3,5,15
さわら類,海面漁業漁獲量,1590,1286,1599,1726,1891
すずき類,海面漁業漁獲量,180,117,132,131,156
いかなご,海面漁業漁獲量,-,-,-,-,0
あまだい類,海面漁業漁獲量,26,28,28,26,27
ふぐ類,海面漁業漁獲量,41,63,62,47,43
その他の魚類,海面漁業漁獲量,1760,1464,1873,1553,1358
くるまえび,海面漁業漁獲量,0,0,0,0,0
その他のえび類,海面漁業漁獲量,6,7,6,8,9
ずわいがに,海面漁業漁獲量,100,59,81,63,83
がざみ類,海面漁業漁獲量,3,2,3,3,4
その他のかに類,海面漁業漁獲量,1,2,2,2,3
あわび類,海面漁業漁獲量,9,7,6,7,7
さざえ,海面漁業漁獲量,195,167,166,163,190
あさり類,海面漁業漁獲量,20,11,7,5,13
その他の貝類,海面漁業漁獲量,278,258,325,254,286
するめいか,海面漁業漁獲量,88,162,145,131,86
その他のいか類,海面漁業漁獲量,510,544,566,555,283
たこ類,海面漁業漁獲量,69,76,82,83,83
うに類,海面漁業漁獲量,9,9,7,8,8
海産ほ乳類,海面漁業漁獲量,8,2,4,7,11
その他の水産動物類,海面漁業漁獲量,206,221,163,122,113
その他の海藻類,海面漁業漁獲量,146,143,127,121,120
総数,海面養殖業収穫量,738,521,523,423,549
ぎんざけ,海面養殖業収穫量,-,-,-,-,X
ぶり類,海面養殖業収穫量,92,50,45,41,32
まあじ,海面養殖業収穫量,X,-,-,-,-
まだい,海面養殖業収穫量,18,9,6,7,11
ひらめ,海面養殖業収穫量,X,X,X,X,X
ふぐ類,海面養殖業収穫量,X,X,X,X,X
くろまぐろ,海面養殖業収穫量,X,X,X,X,X
その他の魚類,海面養殖業収穫量,X,X,-,-,-
かき類（殻付き）,海面養殖業収穫量,478,336,322,207,290
かき類（むき身）,海面養殖業収穫量,96,67,…,…,…
その他の貝類,海面養殖業収穫量,27,22,26,14,18
くるまえび,海面養殖業収穫量,X,X,X,X,X
わかめ類,海面養殖業収穫量,38,39,42,43,45
その他の海藻類,海面養殖業収穫量,-,-,-,X,X
