西暦,和暦,種別,引受_面積(ha),引受_戸数(戸),引受_共済金額(千円),引受_共済掛金(千円),引受_農家負担共済掛金(千円),支払_被害面積(ha),支払_被害戸数(戸),支払_共済金(千円),支払_保険金(千円)
2011年,平成23年,水稲,14793,29961,10447519,73475,36730,209,978,52613,13153
2012年,平成24年,水稲,14730,29220,10513950,39709,19862,111,648,32752,8188
2013年,平成25年,水稲,14725,28444,10493070,39647,19830,617,1951,165148,-
2014年,平成26年,水稲,14494,27549,10499913,39744,19879,285,1332,86484,-
2015年,平成27年,水稲,14200,26504,10107851,28204,14109,21200,1048,70969,-
2011年,平成23年,麦,287,71,44986,4186,2234,264,56,14053,10769
2012年,平成24年,麦,292,58,52132,5009,2333,119,26,6680,2648
2013年,平成25年,麦,260,63,37464,3726,1733,87,24,4252,-
2014年,平成26年,麦,240,53,33666,3407,1583,40,19,968,-
2015年,平成27年,麦,262,51,18781,1550,726,87,18,1550,-
