西暦,和暦,種別,有資格頭数(頭),引受_頭数(頭),引受_共済金額(千円),引受_共済掛金(千円),引受_農家負担共済掛金(千円),支払_死亡廃用事故_頭数(頭),支払_死亡廃用事故_共済金(千円),支払_死亡廃用事故_保険金(千円),支払_疾病傷害事故_件数(件),支払_疾病傷害事故_共済金(千円),支払_疾病傷害事故_保険金(千円)
2011年,平成23年,乳用牛,5380,4711,453217,114059,66913,494,39403,31522,3987,52917,15765
2012年,平成24年,乳用牛,4858,4570,485664,120470,70647,524,41516,33213,4141,53517,15814
2013年,平成25年,乳用牛,4662,4377,463210,114312,67152,551,46072,-,3955,50876,-
2014年,平成26年,乳用牛,7507,4238,466005,113568,65786,504,41332,-,3639,46284,-
2015年,平成27年,乳用牛,7395,4113,460853,112319,65119,476,39866,-,4061,48550,-
2011年,平成23年,肉用牛,4620,3584,284372,27809,16720,64,4570,3656,1497,16400,4644
2012年,平成24年,肉用牛,4705,3622,376951,34865,20965,55,4351,3481,1506,16896,4901
2013年,平成25年,肉用牛,4255,3690,385443,34434,20827,59,4742,-,1576,17922,-
2014年,平成26年,肉用牛,6430,3543,409853,36241,22055,80,6587,-,1677,18791,-
2015年,平成27年,肉用牛,6439,3375,409909,35621,21706,60,4669,-,1716,18613,-
