西暦,和暦,項目,総数(団体),京都市(団体),山城広域振興局(団体),南丹広域振興局(団体),中丹広域振興局(団体),丹後広域振興局(団体)
2011年度,平成23年度,総数,752,554,62,45,69,22
2012年度,平成24年度,総数,739,548,59,44,67,21
2013年度,平成25年度,総数,735,544,60,43,67,21
2014年度,平成26年度,総数,717,532,58,42,65,20
2015年度,平成27年度,総数,773,577,64,41,70,21
2015年度,平成27年度,事業協同組合,615,464,52,29,54,16
2015年度,平成27年度,事業協同小組合,-,-,-,-,-,-
2015年度,平成27年度,協同組合連合会,10,9,-,-,1,-
2015年度,平成27年度,企業組合,82,61,-,9,11,1
2015年度,平成27年度,協業組合,4,4,-,-,-,-
2015年度,平成27年度,商工組合,32,32,-,-,-,-
2015年度,平成27年度,中小企業団体中央会,1,1,-,-,-,-
2015年度,平成27年度,商工会,20,4,10,2,1,3
2015年度,平成27年度,商工会連合会,1,1,-,-,-,-
2015年度,平成27年度,商工会議所(所管外),8,1,2,1,3,1
