西暦,和暦,業種,総数(組合),京都市(組合),山城広域振興局(組合),南丹広域振興局(組合),中丹広域振興局(組合),丹後広域振興局(組合),年度内設立数(組合),年度内解散数(組合)
2011年度,平成23年度,総数,84,62,-,10,11,1,-,3
2012年度,平成24年度,総数,84,62,-,10,11,1,1,1
2013年度,平成25年度,総数,82,61,-,9,11,1,-,2
2014年度,平成26年度,総数,82,61,-,9,11,1,-,-
2015年度,平成27年度,総数,82,61,-,9,11,1,-,-
2015年度,平成27年度,製造業,23,12,-,5,6,-,-,-
2015年度,平成27年度,製造業_食料品製造業,1,-,-,1,-,-,-,-
2015年度,平成27年度,製造業_繊維工業・繊維製品製造業,16,12,-,1,3,-,-,-
2015年度,平成27年度,製造業_木材・木製品・家具製造業,-,-,-,-,-,-,-,-
2015年度,平成27年度,製造業_紙製品製造業、印刷,-,-,-,-,-,-,-,-
2015年度,平成27年度,製造業_化学製品・ゴム製品・皮革製品製造業,1,-,-,-,1,-,-,-
2015年度,平成27年度,製造業_窯業・土石製品製造業,-,-,-,-,-,-,-,-
2015年度,平成27年度,製造業_鉄鋼機械金属関連産業,2,-,-,-,2,-,-,-
2015年度,平成27年度,製造業_その他の製造業,3,-,-,3,-,-,-,-
2015年度,平成27年度,非製造業,31,22,-,4,5,-,-,-
2015年度,平成27年度,非製造業_農業、林業、漁業,-,-,-,-,-,-,-,-
2015年度,平成27年度,非製造業_鉱業,-,-,-,-,-,-,-,-
2015年度,平成27年度,非製造業_建設業,6,-,-,3,3,-,-,-
2015年度,平成27年度,非製造業_卸売業,1,1,-,-,-,-,-,-
2015年度,平成27年度,非製造業_小売業(単一業種),11,10,-,-,1,-,-,-
2015年度,平成27年度,非製造業_小売業(総合),-,-,-,-,-,-,-,-
2015年度,平成27年度,非製造業_小売業(飲食業),-,-,-,-,-,-,-,-
2015年度,平成27年度,非製造業_金融・保険、不動産、運輸、倉庫業,1,1,-,-,-,-,-,-
2015年度,平成27年度,非製造業_サービス業,12,10,-,1,1,-,-,-
2015年度,平成27年度,その他,28,27,-,-,-,1,-,-
