西暦,和暦,税務署,総数(社),内国法人_普通法人_会社等(社),内国法人_普通法人_特定目的会社(社),内国法人_普通法人_企業組合(社),内国法人_普通法人_医療法人(社),内国法人_人格のない社団等(社),内国法人_協同組合等(社),内国法人_公益法人等(社),外国法人(社)
2010年,平成22年,総数,55170,51223,1,81,840,233,1079,1683,31
2011年,平成23年,総数,55191,51229,3,78,843,238,1054,1720,29
2012年,平成24年,総数,55308,51325,1,69,870,249,1019,1749,27
2013年,平成25年,総数,55537,51508,1,67,892,266,991,1783,30
2014年,平成26年,総数,55859,51819,1,63,919,277,974,1777,30
2014年,平成26年,上京税務署,5623,5132,1,22,82,36,76,270,5
2014年,平成26年,左京税務署,3870,3544,-,1,76,15,37,194,3
2014年,平成26年,中京税務署,6074,5672,-,9,66,32,113,177,5
2014年,平成26年,東山税務署,4335,4052,-,9,60,11,40,161,2
2014年,平成26年,下京税務署,8181,7689,-,8,84,29,134,233,4
2014年,平成26年,右京税務署,8113,7618,-,1,161,14,94,224,1
2014年,平成26年,伏見税務署,5010,4709,-,2,98,12,66,121,2
2014年,平成26年,福知山税務署,1900,1678,-,4,40,32,92,54,-
2014年,平成26年,舞鶴税務署,1458,1323,-,-,25,7,50,52,1
2014年,平成26年,宇治税務署,7642,7195,-,-,166,25,93,157,6
2014年,平成26年,宮津税務署,726,634,-,1,16,22,14,39,-
2014年,平成26年,園部税務署,2073,1809,-,6,39,14,140,64,1
2014年,平成26年,峰山税務署,854,764,-,-,6,28,25,31,-
