西暦,和暦,税務署,総数(社),100万円以下(社),100万円超(社),500万円超(社),1000万円超(社),5000万円超(社),１億円超(社),5億円超(社),10億円超(社),50億円超(社),100億円超(社),（再掲）1億円未満(社),（再掲）1億円以上(社)
2011年,平成23年,総数,52150,3236,20915,19099,7564,969,266,29,42,13,17,51635,515
2012年,平成24年,総数,52264,3802,20881,18810,7455,973,247,27,41,13,15,51769,495
2013年,平成25年,総数,52467,4328,20861,18570,7381,987,246,25,41,13,15,51974,493
2014年,平成26年,総数,52801,4890,20976,18278,7319,1003,242,24,39,15,15,52306,495
2014年,平成26年,上京税務署,5236,505,2062,1968,604,82,8,1,4,1,1,5210,26
2014年,平成26年,左京税務署,3621,341,1558,1242,405,66,8,-,-,1,-,3605,16
2014年,平成26年,中京税務署,5747,616,1968,2109,836,164,38,6,7,2,1,5659,88
2014年,平成26年,東山税務署,4121,386,1739,1468,463,52,8,2,1,1,1,4105,16
2014年,平成26年,下京税務署,7781,659,2578,2917,1288,233,79,5,8,5,9,7627,154
2014年,平成26年,右京税務署,7780,756,3405,2581,893,103,29,2,7,3,1,7722,58
2014年,平成26年,伏見税務署,4809,484,2058,1569,595,67,24,3,6,2,1,4767,42
2014年,平成26年,福知山税務署,1722,105,704,533,340,28,9,1,1,-,1,1705,17
2014年,平成26年,舞鶴税務署,1348,84,577,428,239,17,2,-,1,-,-,1342,6
2014年,平成26年,宇治税務署,7361,752,3100,2343,1019,117,25,2,3,-,-,7310,51
2014年,平成26年,宮津税務署,651,41,230,243,114,18,3,1,1,-,-,645,6
2014年,平成26年,園部税務署,1854,123,721,619,349,37,5,-,-,-,-,1846,8
2014年,平成26年,峰山税務署,770,38,276,258,174,19,4,1,-,-,-,763,7
