西暦,和暦,産業,事業所数(事業所),事業所数_民営(事業所),従業者数(人),従業者数_民営(人),売上(収入)金額(国試算値)(百万円),売上(収入)金額(国試算値)_民営(百万円)
2009年,平成21年,総数,131275,128678,1269015,1180615,…,…
2012年,平成24年,総数,…,117884,…,1118404,…,22171532
2014年,平成26年,総数,121895,119145,1242107,1153495,…,21781844
2014年,平成26年,農林漁業,323,312,4207,4147,…,27538
2014年,平成26年,非農林漁業,121572,118833,1237900,1149348,…,21754307
2014年,平成26年,"非農林漁業_鉱業,採石業,砂利採取業",25,25,178,178,…,4385
2014年,平成26年,非農林漁業_建設業,8965,8965,53034,53034,…,1158269
2014年,平成26年,非農林漁業_製造業,14682,14677,186612,186525,…,4545796
2014年,平成26年,非農林漁業_電気・ガス・熱供給・水道業,170,71,5121,2917,…,316644
2014年,平成26年,非農林漁業_情報通信業,1044,1042,14592,14570,…,240370
2014年,平成26年,"非農林漁業_運輸業,郵便業",2197,2157,60711,59019,…,673323
2014年,平成26年,"非農林漁業_卸売業,小売業",30369,30363,250046,249992,…,6787150
2014年,平成26年,"非農林漁業_金融業,保険業",1577,1577,27057,27057,…,3196198
2014年,平成26年,"非農林漁業_不動産業,物品賃貸業",8691,8676,31551,31481,…,472368
2014年,平成26年,"非農林漁業_学術研究,専門・技術サービス業",4573,4511,32689,30878,…,274054
2014年,平成26年,"非農林漁業_宿泊業,飲食サービス業",15965,15934,130144,129859,…,439259
2014年,平成26年,"非農林漁業_生活関連サービス業,娯楽業",9531,9467,48793,48259,…,563799
2014年,平成26年,"非農林漁業_教育,学習支援業",4727,3804,90234,62802,…,502671
2014年,平成26年,"非農林漁業_医療,福祉",9116,8642,172145,161076,…,2078856
2014年,平成26年,非農林漁業_複合サービス事業,619,618,8550,8548,…,49095
2014年,平成26年,非農林漁業_サービス業(他に分類されないもの),8470,8304,85307,83153,…,452070
2014年,平成26年,非農林漁業_公務(他に分類されるものを除く),851,…,41136,…,…,…
