西暦,和暦,産業,事業所数_総数(事業所),事業所数_1〜4人(事業所),事業所数_5〜9人(事業所),事業所数_10〜29人(事業所),事業所数_30〜49人(事業所),事業所数_50〜99人(事業所),事業所数_100〜299人(事業所),事業所数_300人以上(事業所),事業所数_出向・派遣従業者のみ(平成21年は派遣従業者のみ)(事業所),従業者数_総数(人),従業者数_1〜4人(人),従業者数_5〜9人(人),従業者数_10〜29人(人),従業者数_30〜49人(人),従業者数_50〜99人(人),従業者数_100〜299人(人),従業者数_300人以上(人)
2009年,平成21年,総数,128678,80074,24231,17697,3242,1951,954,264,265,1180615,172329,157226,285570,120831,133702,148835,162122
2012年,平成24年,総数,117884,72344,22237,16851,3013,1859,901,247,432,1118404,156328,144906,273847,113499,126327,142550,160947
2014年,平成26年,総数,119145,72628,22390,17433,3103,1969,942,260,420,1153495,155243,146184,284002,116130,134282,147986,169668
2014年,平成26年,農林漁業,312,117,81,83,20,5,3,1,2,4147,277,537,1409,760,393,447,324
2014年,平成26年,"農林漁業_農業,林業",290,113,77,73,17,4,3,1,2,3744,269,513,1229,647,315,447,324
2014年,平成26年,農林漁業_漁業,22,4,4,10,3,1,-,-,-,403,8,24,180,113,78,-,-
2014年,平成26年,非農林漁業(公務を除く),118833,72511,22309,17350,3083,1964,939,259,418,1149348,154966,145647,282593,115370,133889,147539,169344
2014年,平成26年,"非農林漁業(公務を除く)_鉱業,採石業,砂利採取業",25,11,4,10,-,-,-,-,-,178,27,27,124,-,-,-,-
2014年,平成26年,非農林漁業(公務を除く)_建設業,8965,5542,2060,1178,96,73,6,-,10,53034,12488,13325,17857,3527,4835,1002,-
2014年,平成26年,非農林漁業(公務を除く)_製造業,14677,8712,2657,2233,476,328,203,55,13,186525,18835,17411,36535,18121,22218,32902,40503
2014年,平成26年,非農林漁業(公務を除く)_電気・ガス・熱供給・水道業,71,11,14,25,8,5,4,3,1,2917,25,92,429,301,342,598,1130
2014年,平成26年,非農林漁業(公務を除く)_情報通信業,1042,522,205,217,38,28,26,3,3,14570,1133,1330,3514,1412,1870,4237,1074
2014年,平成26年,"非農林漁業(公務を除く)_運輸業,郵便業",2157,736,307,613,201,175,95,20,10,59019,1301,2110,10624,7557,11894,15838,9695
2014年,平成26年,"非農林漁業(公務を除く)_卸売業,小売業",30363,18327,6022,4655,713,366,159,31,90,249992,41577,39176,75590,26576,25122,23604,18347
2014年,平成26年,"非農林漁業(公務を除く)_金融業,保険業",1577,556,272,569,101,41,21,6,11,27057,1224,1803,10408,3802,2685,2771,4364
2014年,平成26年,"非農林漁業(公務を除く)_不動産業,物品賃貸業",8676,7170,976,376,54,27,11,1,61,31481,13794,6146,5639,2031,1816,1706,349
2014年,平成26年,"非農林漁業(公務を除く)_学術研究,専門・技術サービス業",4511,3182,819,384,42,31,34,3,16,30878,6717,5251,5948,1558,2169,5332,3903
2014年,平成26年,"非農林漁業(公務を除く)_宿泊業,飲食サービス業",15934,9293,3158,2684,497,209,39,13,41,129859,20428,20739,44450,18304,13778,5433,6727
2014年,平成26年,"非農林漁業(公務を除く)_生活関連サービス業,娯楽業",9467,7293,1195,699,123,84,23,2,48,48259,14379,7668,11543,4626,5692,3284,1067
2014年,平成26年,"非農林漁業(公務を除く)_教育,学習支援業",3804,2240,599,660,120,99,45,26,15,62802,3817,4014,10792,4508,6690,7269,25712
2014年,平成26年,"非農林漁業(公務を除く)_医療,福祉",8642,3047,2539,2089,410,316,158,67,16,161076,7117,17120,33458,15413,22044,25229,40695
2014年,平成26年,非農林漁業(公務を除く)_複合サービス事業,618,208,280,95,4,6,22,1,2,8548,633,1657,1389,146,521,3858,344
2014年,平成26年,非農林漁業(公務を除く)_サービス業(他に分類されないもの),8304,5661,1202,863,200,176,93,28,81,83153,11471,7778,14293,7488,12213,14476,15434
