大分類項目,中分類項目名,事業所数(事業所),民営事業所(事業所),民営事業所_個人(事業所),民営事業所_法人(事業所),民営事業所_会社(事業所),民営事業所_会社以外の法人(事業所),国(事業所),地方公共団体(事業所),従業者数(人),民営事業所(人),民営事業所_個人(人),民営事業所_法人(人),民営事業所_会社(人),民営事業所_会社以外の法人(人),国(人),地方公共団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
全産業,全産業,121895,119145,51565,66967,55905,11062,152,2598,1242107,1153495,153997,997344,778419,218925,12620,75992,49620,17419,74231,617348,426095,57394
A_農業，林業,合計,301,290,-,286,190,96,5,6,3804,3744,-,3734,2590,1144,40,20,-,-,672,1529,1164,439
A_農業，林業,01_農業,250,248,-,244,174,70,-,2,3110,3096,-,3086,2480,606,-,14,-,-,490,1127,1107,386
A_農業，林業,02_林業,51,42,-,42,16,26,5,4,694,648,-,648,110,538,40,6,-,-,182,402,57,53
B_漁業,合計,22,22,-,21,10,11,-,-,403,403,-,402,211,191,-,-,-,-,74,288,21,20
B_漁業,03_漁業（水産養殖業を除く）,11,11,-,11,8,3,-,-,254,254,-,254,200,54,-,-,-,-,39,189,18,8
B_漁業,04_水産養殖業,11,11,-,10,2,8,-,-,149,149,-,148,11,137,-,-,-,-,35,99,3,12
非農林漁業,非農林漁業計,121572,118833,51565,66660,55705,10955,147,2592,1237900,1149348,153997,993208,775618,217590,12580,75972,49620,17419,73485,615531,424910,56935
C_鉱業，採石業，砂利採取業,合計,25,25,4,21,20,1,-,-,178,178,25,153,152,1,-,-,4,-,35,105,30,4
C_鉱業，採石業，砂利採取業,05_鉱業，採石業，砂利採取業,25,25,4,21,20,1,-,-,178,178,25,153,152,1,-,-,4,-,35,105,30,4
D_建設業,合計,8965,8965,3299,5663,5592,71,-,-,53034,53034,8426,44604,44319,285,-,-,3165,1019,9273,30524,6179,2874
D_建設業,06_総合工事業,4283,4283,1354,2927,2903,24,-,-,27956,27956,3850,24103,24013,90,-,-,1295,442,4885,16396,3365,1573
D_建設業,07_職別工事業（設備工事業を除く）,2426,2426,1239,1187,1167,20,-,-,10461,10461,2970,7491,7449,42,-,-,1184,368,1913,4847,1373,776
D_建設業,08_設備工事業,2256,2256,706,1549,1522,27,-,-,14617,14617,1606,13010,12857,153,-,-,686,209,2475,9281,1441,525
E_製造業,合計,14682,14677,6172,8481,8045,436,-,5,186612,186525,15601,170679,168266,2413,-,87,5984,2687,14039,118464,40104,5334
E_製造業,09_食料品製造業,1086,1083,356,721,691,30,-,3,22754,22680,1380,21265,20976,289,-,74,348,184,1154,8620,11028,1420
E_製造業,10_飲料・たばこ・飼料製造業,262,260,55,190,178,12,-,2,5513,5500,580,4728,4628,100,-,13,51,28,369,2977,1357,731
E_製造業,11_繊維工業,4953,4953,3081,1872,1682,190,-,-,22540,22540,6738,15802,14878,924,-,-,2968,1505,2964,9778,4532,793
E_製造業,12_木材・木製品製造業（家具を除く）,343,343,155,188,172,16,-,-,2383,2383,409,1974,1874,100,-,-,152,66,290,1530,275,70
E_製造業,13_家具・装備品製造業,617,617,357,260,237,23,-,-,2593,2593,857,1736,1670,66,-,-,347,124,373,1297,372,80
E_製造業,14_パルプ・紙・紙加工品製造業,389,389,125,264,250,14,-,-,4745,4745,404,4341,4288,53,-,-,120,60,445,3024,1007,89
E_製造業,15_印刷・同関連業,1001,1001,305,695,661,34,-,-,10909,10909,794,10111,9981,130,-,-,296,107,1158,7808,1404,136
E_製造業,16_化学工業,221,221,13,208,206,2,-,-,8681,8681,58,8623,8248,375,-,-,12,5,373,6591,1644,56
E_製造業,17_石油製品・石炭製品製造業,23,23,3,20,20,-,-,-,198,198,8,190,190,-,-,-,3,2,20,150,23,-
E_製造業,18_プラスチック製品製造業,443,443,100,343,340,3,-,-,8783,8783,323,8460,8439,21,-,-,99,47,564,5486,2381,206
E_製造業,19_ゴム製品製造業,29,29,4,25,25,-,-,-,781,781,7,774,774,-,-,-,4,3,40,539,193,2
E_製造業,20_なめし革・同製品・毛皮製造業,135,135,52,82,70,12,-,-,1068,1068,128,935,903,32,-,-,51,25,130,465,376,21
E_製造業,21_窯業・土石製品製造業,570,570,232,338,291,47,-,-,5380,5380,560,4820,4672,148,-,-,227,89,438,3608,814,204
E_製造業,22_鉄鋼業,118,118,31,87,86,1,-,-,1482,1482,75,1407,1406,1,-,-,31,9,132,1132,157,21
E_製造業,23_非鉄金属製造業,97,97,31,66,65,1,-,-,2178,2178,84,2094,2091,3,-,-,31,14,133,1513,448,39
E_製造業,24_金属製品製造業,1043,1043,364,679,667,12,-,-,11522,11522,900,10622,10575,47,-,-,356,119,1181,7878,1806,182
E_製造業,25_はん用機械器具製造業,336,336,113,223,219,4,-,-,4942,4942,270,4672,4662,10,-,-,108,30,363,3766,644,31
E_製造業,26_生産用機械器具製造業,942,942,226,716,710,6,-,-,14994,14994,541,14453,14431,22,-,-,221,69,1337,11571,1643,153
E_製造業,27_業務用機械器具製造業,319,319,49,270,268,2,-,-,11912,11912,111,11801,11794,7,-,-,48,12,510,8912,2343,87
E_製造業,28_電子部品・デバイス・電子回路製造業,239,239,30,208,206,2,-,-,12597,12597,100,12488,12473,15,-,-,30,20,346,9959,2099,143
E_製造業,29_電気機械器具製造業,488,488,74,414,413,1,-,-,12498,12498,237,12261,12257,4,-,-,73,25,704,8773,2795,128
