西暦,和暦,大分類項目,中分類項目名,事業所数(事業所),事業所数_個人(事業所),事業所数_法人(事業所),事業所数_会社(事業所),事業所数_会社以外の法人(事業所),事業所_法人でない団体(事業所),従業者数(人),従業者数_個人(人),従業者数_法人(人),従業者数_会社(人),従業者数_会社以外の法人(人),従業者数_法人でない団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
2009年,平成21年,総数,総数,128678,61650,66421,56442,9979,607,1180615,188671,989831,805600,184231,2113,60820,20213,87505,558275,374636,79166
2012年,平成24年,総数,総数,117884,54015,63220,53203,10017,649,1118404,166502,949443,758757,190686,2459,52611,18116,76618,525832,375453,69774
2014年,平成26年,総数,総数,119145,51565,66967,55905,11062,613,1153495,153997,997344,778419,218925,2154,49620,17419,74231,550174,407008,55043
2014年,平成26年,A〜B_農林漁業,合計,312,-,307,200,107,5,4147,-,4136,2801,1335,11,-,-,746,1794,1173,434
2014年,平成26年,A_農業，林業,合計,290,-,286,190,96,4,3744,-,3734,2590,1144,10,-,-,672,1506,1152,414
2014年,平成26年,A_農業，林業,01_農業,248,-,244,174,70,4,3096,-,3086,2480,606,10,-,-,490,1126,1107,373
2014年,平成26年,A_農業，林業,02_林業,42,-,42,16,26,-,648,-,648,110,538,-,-,-,182,380,45,41
2014年,平成26年,B_漁業,合計,22,-,21,10,11,1,403,-,402,211,191,1,-,-,74,288,21,20
2014年,平成26年,B_漁業,03_漁業（水産養殖業を除く）,11,-,11,8,3,-,254,-,254,200,54,-,-,-,39,189,18,8
2014年,平成26年,B_漁業,04_水産養殖業,11,-,10,2,8,1,149,-,148,11,137,1,-,-,35,99,3,12
2014年,平成26年,C〜R_非農林漁業(S公務を除く),合計,118833,51565,66660,55705,10955,608,1149348,153997,993208,775618,217590,2143,49620,17419,73485,548380,405835,54609
2014年,平成26年,C_鉱業，採石業，砂利採取業,合計,25,4,21,20,1,-,178,25,153,152,1,-,4,-,35,105,30,4
2014年,平成26年,C_鉱業，採石業，砂利採取業,05_鉱業，採石業，砂利採取業,25,4,21,20,1,-,178,25,153,152,1,-,4,-,35,105,30,4
2014年,平成26年,D_建設業,合計,8965,3299,5663,5592,71,3,53034,8426,44604,44319,285,4,3165,1019,9273,30524,6179,2874
2014年,平成26年,D_建設業,06_総合工事業,4283,1354,2927,2903,24,2,27956,3850,24103,24013,90,3,1295,442,4885,16396,3365,1573
2014年,平成26年,D_建設業,07_職別工事業（設備工事業を除く）,2426,1239,1187,1167,20,-,10461,2970,7491,7449,42,-,1184,368,1913,4847,1373,776
2014年,平成26年,D_建設業,08_設備工事業,2256,706,1549,1522,27,1,14617,1606,13010,12857,153,1,686,209,2475,9281,1441,525
2014年,平成26年,E_製造業,合計,14677,6172,8481,8045,436,24,186525,15601,170679,168266,2413,245,5984,2687,14039,118440,40052,5323
2014年,平成26年,E_製造業,09_食料品製造業,1083,356,721,691,30,6,22680,1380,21265,20976,289,35,348,184,1154,8599,10982,1413
2014年,平成26年,E_製造業,10_飲料・たばこ・飼料製造業,260,55,190,178,12,15,5500,580,4728,4628,100,192,51,28,369,2974,1351,727
2014年,平成26年,E_製造業,11_繊維工業,4953,3081,1872,1682,190,-,22540,6738,15802,14878,924,-,2968,1505,2964,9778,4532,793
2014年,平成26年,E_製造業,12_木材・木製品製造業（家具を除く）,343,155,188,172,16,-,2383,409,1974,1874,100,-,152,66,290,1530,275,70
