地域コード,地域,事業所数(事業所),事業所数_農業，林業(事業所),事業所数_漁業(事業所),事業所数_鉱業，採石業，砂利採取業(事業所),事業所数_建設業(事業所),事業所数_製造業(事業所),事業所数_電気・ガス・熱供給・水道業(事業所),事業所数_情報通信業(事業所),事業所数_運輸業，郵便業(事業所),事業所数_卸売業，小売業(事業所),事業所数_金融業，保険業(事業所),事業所数_不動産業，物品賃貸業(事業所),事業所数_学術研究，専門・技術サービス業(事業所),事業所数_宿泊業，飲食サービス業(事業所),事業所数_生活関連サービス業，娯楽業(事業所),事業所数_教育，学習支援業(事業所),事業所数_医療，福祉(事業所),事業所数_複合サービス事業(事業所),事業所数_サービス業（他に分類されないもの）(事業所),事業所数_公務（他に分類されるものを除く）(事業所),従業者数(人),従業者数_農業，林業(人),従業者数_漁業(人),従業者数_鉱業，採石業，砂利採取業(人),従業者数_建設業(人),従業者数_製造業(人),従業者数_電気・ガス・熱供給・水道業(人),従業者数_情報通信業(人),従業者数_運輸業，郵便業(人),従業者数_卸売業，小売業(人),従業者数_金融業，保険業(人),従業者数_不動産業，物品賃貸業(人),従業者数_学術研究，専門・技術サービス業(人),従業者数_宿泊業，飲食サービス業(人),従業者数_生活関連サービス業，娯楽業(人),従業者数_教育，学習支援業(人),従業者数_医療，福祉(人),従業者数_複合サービス事業(人),従業者数_サービス業（他に分類されないもの）(人),従業者数_公務（他に分類されるものを除く）(人)
26000,京都府,121895,301,22,25,8965,14682,170,1044,2197,30369,1577,8691,4573,15965,9531,4727,9116,619,8470,851,1242107,3804,403,178,53034,186612,5121,14592,60711,250046,27057,31551,32689,130144,48793,90234,172145,8550,85307,41136
26100,京都市,75282,75,3,2,4473,8252,61,796,1249,19804,1017,6169,3179,10963,5560,2501,5344,286,5192,356,788170,1085,21,6,29619,94934,3111,12658,35995,169548,21021,23954,21467,96348,29838,61804,100107,3324,61274,22056
26101,京都市北区,5445,10,-,-,351,724,2,32,46,1344,58,479,202,663,463,235,489,20,305,22,42440,62,-,-,1502,3348,351,270,1406,8658,616,1411,913,4476,1893,6950,7942,152,1929,561
26102,京都市上京区,5497,3,-,-,161,1012,5,43,19,1458,39,514,229,637,343,145,357,20,468,44,47343,31,-,-,830,5587,99,799,196,9404,429,1771,1079,4490,1326,4252,8378,321,2370,5981
26103,京都市左京区,7222,9,1,1,447,388,6,60,56,1661,69,927,311,1184,545,292,588,33,599,45,72847,109,1,1,2369,2741,101,599,1639,12262,2162,2597,1421,9471,2560,16076,12634,188,4706,1210
26104,京都市中京区,10724,3,-,-,298,1085,1,189,64,3093,201,719,786,1781,789,300,659,30,672,54,109552,333,-,-,3092,11584,2,3805,1071,24180,3186,3066,4909,18678,5979,6876,9657,486,7114,5534
26105,京都市東山区,4490,1,-,-,93,372,2,8,24,1184,17,290,96,1606,223,85,172,15,286,16,34369,2,-,-,508,3140,49,65,234,5922,160,1074,775,11545,1194,3107,3862,192,1881,659
26110,京都市山科区,4750,9,-,-,499,502,4,30,106,1097,53,373,157,587,470,166,410,14,256,17,45579,30,-,-,3175,5676,74,535,2833,9506,581,1265,952,3743,2252,2544,8583,322,2501,1007
26106,京都市下京区,8989,5,1,-,256,721,6,224,103,3015,270,607,441,1252,577,262,449,32,741,27,122044,117,2,-,2422,5181,918,3213,3801,33381,9509,3602,4402,17219,4030,3921,7231,180,21244,1671
26107,京都市南区,5910,2,-,-,416,1204,12,51,264,1723,71,256,158,550,333,84,301,17,445,23,92410,16,-,-,4431,23865,876,1818,10237,23129,1181,2279,2980,5267,1984,1778,5314,103,6409,743
26108,京都市右京区,8119,10,1,-,663,983,3,66,150,1797,86,793,268,1054,699,316,616,39,537,38,75825,95,18,-,3407,14713,81,784,4315,14567,1137,2767,1327,7642,3034,5663,9160,742,5275,1098
26111,京都市西京区,4351,14,-,-,452,326,6,26,73,947,54,428,201,494,356,251,458,22,225,18,37541,107,-,-,2235,2101,79,105,1501,7656,553,1323,1020,4518,1496,3960,8184,271,1093,1339
26109,京都市伏見区,9785,9,-,1,837,935,14,67,344,2485,99,783,330,1155,762,365,845,44,658,52,108220,183,-,5,5648,16998,481,665,8762,20883,1507,2799,1689,9299,4090,6677,19162,367,6752,2253
26201,福知山市,4178,24,1,5,461,305,7,33,80,1075,68,199,162,503,359,156,299,41,357,43,42767,313,2,38,3031,7566,285,208,2484,7616,706,636,784,3054,1419,2036,5947,496,3964,2182
26202,舞鶴市,3945,15,5,-,377,249,15,18,73,1063,77,122,101,610,404,159,266,33,307,51,36141,194,97,-,2456,3862,458,70,1397,6638,791,465,478,3076,1366,2418,5575,488,2146,4166
26203,綾部市,1659,22,-,-,168,204,7,7,38,387,16,39,50,211,151,67,126,24,122,20,16119,239,-,-,862,4493,60,55,641,2386,176,134,389,948,621,550,2879,335,902,449
26204,宇治市,5910,6,-,1,534,672,11,38,75,1283,77,391,190,715,605,346,583,21,320,42,66560,256,-,12,2676,13903,215,553,2188,11578,906,1160,789,4843,3211,5116,11842,424,3571,3317
