西暦,和暦,地域コード,地域,事業所数(事業所),事業所数_1〜4人(事業所),事業所数_5〜9人(事業所),事業所数_10〜19人(事業所),事業所数_20〜29人(事業所),事業所数_30〜49人(事業所),事業所数_50〜99人(事業所),事業所数_100人以上(事業所),事業所数_出向・派遣従業者のみ(平成21年は派遣従業者のみ)(事業所),従業者数(人),従業者数_1〜4人(人),従業者数_5〜9人(人),従業者数_10〜19人(人),従業者数_20〜29人(人),従業者数_30〜49人(人),従業者数_50〜99人(人),従業者数_100人以上(人)
2009年,平成21年,26000,京都府,128678,80074,24231,13023,4674,3242,1951,1218,265,1180615,172329,157226,174712,110858,120831,133702,310957
2012年,平成24年,26000,京都府,117884,72344,22237,12309,4542,3013,1859,1148,432,1118404,156328,144906,166026,107821,113499,126327,303497
2014年,平成26年,26000,京都府,119145,72628,22390,12635,4798,3103,1969,1202,420,1153495,155243,146184,170182,113820,116130,134282,317654
2014年,平成26年,26100,京都市,74419,44650,14338,8064,3092,2000,1206,773,296,746742,96991,93537,108538,73439,74750,82486,217001
2014年,平成26年,26101,京都市北区,5387,3686,928,404,177,86,55,32,19,40326,7621,6053,5387,4227,3212,3783,10043
2014年,平成26年,26102,京都市上京区,5412,3715,943,409,143,100,45,35,22,40136,7755,6057,5514,3436,3658,3021,10695
2014年,平成26年,26103,京都市左京区,7116,4633,1292,669,220,132,96,58,16,69678,9769,8486,8854,5153,4957,6490,25969
2014年,平成26年,26104,京都市中京区,10629,6255,2151,1146,446,306,166,100,59,102087,13942,14107,15294,10621,11403,11385,25335
2014年,平成26年,26105,京都市東山区,4458,2982,820,387,128,68,39,26,8,33154,6640,5209,5130,2995,2489,2597,8094
2014年,平成26年,26110,京都市山科区,4702,2949,864,481,145,124,73,49,17,43458,6324,5675,6556,3401,4614,5082,11806
2014年,平成26年,26106,京都市下京区,8935,4453,1985,1230,521,346,200,145,55,119581,10370,13060,16635,12420,13031,13462,40603
2014年,平成26年,26107,京都市南区,5839,2694,1226,907,400,283,174,121,34,89413,6073,8067,12257,9439,10581,11983,31013
2014年,平成26年,26108,京都市右京区,8022,5104,1408,799,323,170,127,63,28,72382,10851,9100,10802,7741,6295,9228,18365
2014年,平成26年,26111,京都市西京区,4295,2644,849,465,152,89,61,27,8,34758,5581,5547,6327,3617,3314,4072,6300
2014年,平成26年,26109,京都市伏見区,9624,5535,1872,1167,437,296,170,117,30,101769,12065,12176,15782,10389,11196,11383,28778
2014年,平成26年,26201,福知山市,4019,2408,776,432,153,106,89,47,8,37819,4983,5094,5679,3593,3866,5959,8645
2014年,平成26年,26202,舞鶴市,3805,2374,733,401,138,82,51,21,5,29713,4967,4774,5402,3250,3051,3273,4996
2014年,平成26年,26203,綾部市,1582,1007,249,175,47,55,25,20,4,14883,2097,1642,2362,1096,2065,1802,3819
2014年,平成26年,26204,宇治市,5750,3467,1090,610,237,160,108,64,14,60382,7401,7125,8418,5626,6022,7488,18302
2014年,平成26年,26205,宮津市,1288,873,219,111,36,25,14,7,3,8737,1844,1416,1485,863,973,1083,1073
2014年,平成26年,26206,亀岡市,3113,1862,607,346,110,89,60,31,8,27644,3960,3950,4692,2610,3400,4143,4889
2014年,平成26年,26207,城陽市,2515,1610,443,238,85,60,42,28,9,22287,3332,2868,3255,2009,2294,2707,5822
2014年,平成26年,26208,向日市,1815,1199,309,158,63,41,25,14,6,13924,2445,2032,2164,1483,1558,1659,2583
2014年,平成26年,26209,長岡京市,2682,1642,485,290,104,66,47,31,17,30567,3351,3127,3887,2487,2479,3317,11919
2014年,平成26年,26210,八幡市,1946,1061,361,261,114,71,52,19,7,21081,2306,2396,3449,2674,2641,3623,3992
2014年,平成26年,26211,京田辺市,2007,1106,409,256,104,67,30,28,7,23932,2366,2704,3436,2456,2454,2076,8440
2014年,平成26年,26212,京丹後市,4322,3279,540,301,105,49,26,17,5,23002,6349,3499,4062,2443,1859,1688,3102
2014年,平成26年,26213,南丹市,1453,958,252,126,48,20,31,16,2,12347,2075,1648,1666,1140,715,2155,2948
2014年,平成26年,26214,木津川市,1905,1110,416,207,79,38,31,13,11,15332,2382,2728,2752,1893,1398,2020,2159
2014年,平成26年,26303,乙訓郡大山崎町,416,279,62,35,15,12,6,6,1,5392,553,408,465,339,438,456,2733
2014年,平成26年,26322,久世郡久御山町,1604,711,347,243,129,85,51,30,8,24700,1649,2297,3323,3134,3244,3390,7663
2014年,平成26年,26343,綴喜郡井手町,340,214,58,35,12,12,3,6,-,4807,414,394,480,299,485,212,2523
2014年,平成26年,26344,綴喜郡宇治田原町,435,250,78,44,19,17,16,9,2,5253,547,524,607,420,630,1022,1503
2014年,平成26年,26364,相楽郡笠置町,87,61,16,8,-,2,-,-,-,421,131,111,102,-,77,-,-
2014年,平成26年,26365,相楽郡和束町,124,66,37,14,3,2,1,-,1,801,148,233,187,66,79,88,-
2014年,平成26年,26366,相楽郡精華町,901,503,189,110,40,18,28,12,1,9278,1111,1259,1485,966,689,1912,1856
2014年,平成26年,26367,相楽郡南山城村,89,60,12,8,2,2,1,1,3,590,121,83,101,44,76,58,107
2014年,平成26年,26407,船井郡京丹波町,729,482,134,57,28,11,14,3,-,5280,1000,849,780,653,431,926,641
2014年,平成26年,26463,与謝郡伊根町,133,104,15,8,1,4,1,-,-,623,209,94,107,25,132,56,-
2014年,平成26年,26465,与謝郡与謝野町,1666,1292,215,97,34,9,11,6,2,7958,2511,1392,1298,812,324,683,938
