地域コード,地域,2011年度(法人),2012年度(法人),2013年度(法人),2014年度(法人),2015年度(法人)
26000,京都府,1154,1283,1312,1338,1353
26100,京都市,761,856,862,877,884
26101,京都市北区,55,58,64,69,77
26102,京都市上京区,65,69,70,74,73
26103,京都市左京区,103,111,108,101,102
26104,京都市中京区,135,152,145,145,150
26105,京都市東山区,21,29,28,31,32
26110,京都市山科区,48,47,45,48,49
26106,京都市下京区,109,125,126,118,118
26107,京都市南区,51,59,60,64,62
26108,京都市右京区,63,70,69,74,74
26111,京都市西京区,34,41,49,54,53
26109,京都市伏見区,77,95,98,99,94
26201,福知山市,37,39,39,38,35
26202,舞鶴市,30,33,34,34,34
26203,綾部市,20,18,19,21,19
26204,宇治市,46,54,56,55,57
26205,宮津市,11,11,12,12,13
26206,亀岡市,31,32,34,34,38
26207,城陽市,26,28,30,31,31
26208,向日市,15,19,18,20,15
26209,長岡京市,27,29,31,32,32
26210,八幡市,20,20,20,20,22
26211,京田辺市,17,21,24,25,27
26212,京丹後市,19,24,24,28,29
26213,南丹市,25,26,25,28,31
26214,木津川市,16,19,22,22,24
26303,乙訓郡大山崎町,3,3,4,5,5
26322,久世郡久御山町,5,4,6,4,4
26343,綴喜郡井手町,5,4,4,4,4
26344,綴喜郡宇治田原町,2,2,3,3,3
26364,相楽郡笠置町,2,3,3,3,3
26365,相楽郡和束町,3,3,3,3,3
26366,相楽郡精華町,12,12,11,11,10
26367,相楽郡南山城村,4,4,5,5,5
26407,船井郡京丹波町,8,9,11,11,11
26463,与謝郡伊根町,3,3,3,3,3
26465,与謝郡与謝野町,6,7,9,9,11
